整租 | 比佩亚新出便宜好房，家私齐全3800，拎包入住看球场,观澜湖比佩亚大宅,3800,https://sz.58.com/zufang/44367031842727x.shtml,经度,纬度
整租 | 银泉花园 2室2厅1卫 4000元月 73平 电梯房,龙光玖钻,4000,https://sz.58.com/zufang/44268010175643x.shtml,114.057868,22.543099
整租 | 整租 4号线清湖地铁站尚美中心旁 两房一厅 家具齐全,富茂新村,2380,https://sz.58.com/zufang/43483755901575x.shtml,114.057868,22.543099
整租 | 业主初次出租，便宜出租。精装复式靓房，家私齐全环境优,警备区龙华公寓,3200,https://sz.58.com/zufang/44350149368727x.shtml,114.057868,22.543099
整租 | 富茂新村 2室1厅1卫,民乐澳门新村,2380,https://sz.58.com/zufang/44280955855247x.shtml,114.057868,22.543099
整租 | 押一付一 富士康 展滔大厦 两房一厅 电梯采光好,锦绣花园(龙华),2000,https://sz.58.com/zufang/44124900078733x.shtml,114.057868,22.543099
整租 | 4号线上梅林民乐白石龙村，精装45平米大单间 拎包入,宝山新村二区,2500,https://sz.58.com/zufang/44384304095109x.shtml,114.057868,22.543099
整租 | 龙华地铁口500米精装两房，业主降价急租！,白石龙一区,2800,https://sz.58.com/zufang/44377815521547x.shtml,114.057868,22.543099
整租 | 宝山新村二区 3室1厅1卫,玉翠新村A区,2200,https://sz.58.com/zufang/44346688125187x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 精装电梯一房一厅拎包入住,横岭五区,2000,https://sz.58.com/zufang/44377942930051x.shtml,114.057868,22.543099
整租 | 龙军花园  精装大三房  4000 配套齐全 拎包入,龙军花园,4000,https://sz.58.com/zufang/44378611381645x.shtml,114.057868,22.543099
整租 | 福田4号线，梅林关，小区房地铁口100米，家私全齐，,惠鑫公寓,2750,https://sz.58.com/zufang/44333644526223x.shtml,114.057868,22.543099
整租 | 标准一房一厅户户带阳台看房随时花园式管理清湖,幸福城公寓,3900,https://sz.58.com/zufang/44381525730337x.shtml,114.057868,22.543099
整租 | 伽乐园 2室1厅1卫,伽乐园,3500,https://sz.58.com/zufang/44381103323168x.shtml,114.057868,22.543099
整租 | 地铁站俩房 业主精心装修家私电器全 领包即住,大信花园,3950,https://sz.58.com/zufang/43747679253890x.shtml,114.057868,22.543099
整租 | 靠近地铁 靠近商圈 押一付一 价格实惠,白石龙一区,2007,https://sz.58.com/zufang/44377109199142x.shtml,114.057868,22.543099
整租 | 免租一个月复式白石龙一房一厅租房押一付一民乐微棠近地,新彩苑,2900,https://sz.58.com/zufang/44348831406863x.shtml,114.057868,22.543099
整租 | 宇峰苑 3室 2厅2卫,宇峰苑,3600,https://sz.58.com/zufang/42820723480460x.shtml,114.057868,22.543099
整租 | 龙华花园小区 百丽名苑2房 高楼层朝南  免费停车,百丽名苑,2700,https://sz.58.com/zufang/43318374001171x.shtml,114.057868,22.543099
整租 | 白石龙租房复式近地铁loft公寓豪华上梅林民乐光雅园,鑫海公寓(龙华),3380,https://sz.58.com/zufang/44372355248131x.shtml,114.057868,22.543099
整租 | 龙华观澜 百丽名苑2房精装修出租花园小区.配套全齐.,百丽名苑,2600,https://sz.58.com/zufang/43318409148707x.shtml,114.057868,22.543099
整租 | 锦绣花园(龙华) 2室2厅1卫,锦绣花园(龙华),2600,https://sz.58.com/zufang/44380983402142x.shtml,114.057868,22.543099
整租 | 苹果园1室超值 进来看看不后悔哦,苹果园,3000,https://sz.58.com/zufang/44157575045506x.shtml,114.057868,22.543099
整租 | 近5号线民治地铁站 大润发 精装公寓 家私家电齐全,向南二区,3000,https://sz.58.com/zufang/44340284103944x.shtml,114.057868,22.543099
整租 | 6号线大浪羊台山站小区两房环境优美家电齐全拎包入住专,大浪华侨新村,2000,https://sz.58.com/zufang/44381976560007x.shtml,114.057868,22.543099
整租 | 警备区龙华公寓 2室1厅1卫,警备区龙华公寓,3000,https://sz.58.com/zufang/44227936122781x.shtml,114.057868,22.543099
整租 | 四号线白石龙地铁口大单间带大阳台 交通便利 采光好,白石龙一区,2400,https://sz.58.com/zufang/44168797797633x.shtml,114.057868,22.543099
整租 | 年签立减4800免费停车可拎包入住精装24h,富联一区,2980,https://sz.58.com/zufang/44189720048392x.shtml,114.057868,22.543099
整租 | 醉后一天冲业绩 签约有惊喜 拎包入住 近地铁 押一付,元芬村,2799,https://sz.58.com/zufang/44356828328595x.shtml,114.057868,22.543099
整租 | 龙苑新村 3室 1厅1卫,龙苑新村,2600,https://sz.58.com/zufang/44380916034593x.shtml,114.057868,22.543099
整租 | 地铁口！龙华花半里 !3室2厅1卫! 3800元月,龙华花半里,3800,https://sz.58.com/zufang/44234634495652x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 精装一房一 独立阳台 可做饭 家私齐全,民乐澳门新村,2680,https://sz.58.com/zufang/43881306989726x.shtml,114.057868,22.543099
整租 | 微商公寓楼出租停车位充足,嘉霖微商大楼,2000,https://sz.58.com/zufang/44236228798886x.shtml,114.057868,22.543099
整租 | 华景乐园 1室0厅1卫,华景乐园,2100,https://sz.58.com/zufang/44380917351077x.shtml,114.057868,22.543099
整租 | 4号线白石龙站 大两房一厅 停车位充足 居家合租都适,民乐澳门新村,2980,https://sz.58.com/zufang/44268049203496x.shtml,114.057868,22.543099
整租 | 龙胜元芬 空房两房一厅出租 可以配家私 房 东直租,上早新村A80栋小区,2200,https://sz.58.com/zufang/40641429627277x.shtml,114.057868,22.543099
整租 | 4号线白石龙地铁站 单间 一房一厅 两房一厅 三房一,龙光玖龙玺,2400,https://sz.58.com/zufang/43727974629274x.shtml,114.057868,22.543099
整租 | 沙吓村 2室1厅1卫,沙吓村,2200,https://sz.58.com/zufang/44312176480901x.shtml,114.057868,22.543099
整租 | 龙军花园  精装2房   配套齐全 拎包入住  业主,龙军花园,4000,https://sz.58.com/zufang/44214391319451x.shtml,114.057868,22.543099
整租 | 地铁口800米，停车位充足，金威大厦三房出租，采光好,金威大厦,3800,https://sz.58.com/zufang/44156939717283x.shtml,114.057868,22.543099
整租 | 近地铁 民水民电 拎包入住 元芬地铁站两房2999起,翠景园(龙华),2799,https://sz.58.com/zufang/44349214179330x.shtml,114.057868,22.543099
整租 | 皓月花园 1室1厅1卫,皓月花园,2300,https://sz.58.com/zufang/44380815752213x.shtml,114.057868,22.543099
整租 | 四号线地铁长湖站，福成天虹附近，华盛观荟一房一厅一卫,华盛观荟,2300,https://sz.58.com/zufang/44093119191310x.shtml,114.057868,22.543099
整租 | 龙华区大浪六号线元芬地铁口统建房金威大厦大型花园小区,金威大厦,3400,https://sz.58.com/zufang/43551002036100x.shtml,114.057868,22.543099
整租 | 贤华名苑 3室2厅1卫,贤华名苑,3800,https://sz.58.com/zufang/44380742128531x.shtml,114.057868,22.543099
整租 | 民乐翠园，精装三房，看湖风景优美 看房有钥匙,民乐翠园小区,4000,https://sz.58.com/zufang/44389242794378x.shtml,114.057868,22.543099
整租 | 找房找累了吧，就选这套吧，在公园里，看山，环境太好了,中森公园华府,4000,https://sz.58.com/zufang/44326432342934x.shtml,114.057868,22.543099
整租 | 锦绣科学园旁，精装三房如图所见，家私电器齐全，拎包入,观汇御景,2800,https://sz.58.com/zufang/44094789558304x.shtml,114.057868,22.543099
整租 | 佳华领域广场 2室1厅1卫 3500元月 48平 地,佳华领域广场,3000,https://sz.58.com/zufang/44278028534308x.shtml,114.057868,22.543099
整租 | 玫瑰苑 超大两房 环境优美 配套齐全 拎包入住,深业泰然观澜玫瑰苑,3500,https://sz.58.com/zufang/44388581879557x.shtml,114.057868,22.543099
整租 | 地铁口旁  两房一厅  3000月  拎包入住,华盛观荟,3000,https://sz.58.com/zufang/44349190500230x.shtml,114.057868,22.543099
整租 | 龙军花园精装修两房 家私家电齐全 刚跟业主谈下来的价,龙军花园,4000,https://sz.58.com/zufang/44337872369794x.shtml,114.057868,22.543099
整租 | 6号线大浪站旁，小3房，价格实惠，看房方便,三合二新村,2000,https://sz.58.com/zufang/44278685601188x.shtml,114.057868,22.543099
整租 | 清湖北地铁口 小区公寓一房一厅 高层无遮挡 环境好,贤华名苑,2200,https://sz.58.com/zufang/44333159596161x.shtml,114.057868,22.543099
整租 | 龙华4号线地铁旁 美佳华首誉精装两房两卫（随时看房）,美佳华首誉,3800,https://sz.58.com/zufang/44145300695064x.shtml,114.057868,22.543099
整租 | 交通主干道精装！拎包入住！,陶润懿峰,3500,https://sz.58.com/zufang/44357816464663x.shtml,114.057868,22.543099
整租 | 龙华观澜，百丽名苑旁精装2出租，花园小区，免费停车,百丽名苑,2100,https://sz.58.com/zufang/44001557562790x.shtml,114.057868,22.543099
整租 | 4号线竹村地铁站！2室2厅1卫！4000元！轻轨口！,陶润懿峰,3800,https://sz.58.com/zufang/44183415643419x.shtml,114.057868,22.543099
整租 | 新出！精装大二房，业主只求一租！不想空置太久！,恒龙大厦,3600,https://sz.58.com/zufang/44360781566596x.shtml,114.057868,22.543099
整租 | 长湖站 家私齐全 拎包入住 业主急租 随时看房,阳基御龙山,3999,https://sz.58.com/zufang/44366696471571x.shtml,114.057868,22.543099
整租 | 押一付一 富士康 展滔大厦 两房一厅 电梯采光好,警备区龙华公寓,2000,https://sz.58.com/zufang/44124900078733x.shtml,114.057868,22.543099
整租 | 4号线上梅林民乐白石龙村，精装45平米大单间 拎包入,民乐澳门新村,2500,https://sz.58.com/zufang/44384304095109x.shtml,114.057868,22.543099
整租 | 龙华地铁口500米精装两房，业主降价急租！,锦绣花园(龙华),2800,https://sz.58.com/zufang/44377815521547x.shtml,114.057868,22.543099
整租 | 龙光玖钻 2室1厅1卫,龙光玖钻,4000,https://sz.58.com/zufang/44389281130518x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 精装电梯一房一厅拎包入住,白石龙一区,2000,https://sz.58.com/zufang/44377942930051x.shtml,114.057868,22.543099
整租 | 实图!近龙华汽车站 电梯房两房 押一付一 业主直租,玉翠新村A区,2000,https://sz.58.com/zufang/43948438714510x.shtml,114.057868,22.543099
整租 | 龙华公寓 靠近地铁口  交通方便  带空中花园 精装,警备区龙华公寓,3600,https://sz.58.com/zufang/44082128703494x.shtml,114.057868,22.543099
整租 | 玉翠新村B区 3室1厅1卫,玉翠新村B区,2800,https://sz.58.com/zufang/44369457193634x.shtml,114.057868,22.543099
整租 | 民乐澳门新村 2室1厅1卫 2380元月 电梯房,民乐澳门新村,2380,https://sz.58.com/zufang/44079321231137x.shtml,114.057868,22.543099
整租 | 清湖地铁站~超大靓丽2室~全新公寓~拎包入住另还有单,富联二区,2000,https://sz.58.com/zufang/44235619783461x.shtml,114.057868,22.543099
整租 | 白石龙租房复式近地铁loft公寓豪华上梅林民乐光雅园,鑫海公寓(龙华),3150,https://sz.58.com/zufang/44372056806161x.shtml,114.057868,22.543099
整租 | 东泉新村 2室1厅2卫,东泉新村,4000,https://sz.58.com/zufang/44377510791819x.shtml,114.057868,22.543099
整租 | 上油松村 近港深国际 万众城 展涛大厦 天汇大厦 两,上油松村,2400,https://sz.58.com/zufang/44347249597216x.shtml,114.057868,22.543099
整租 | 租2300元龙华区大浪六号线阳台山东站新出俩房高楼层,三合新二村,2300,https://sz.58.com/zufang/44357903469471x.shtml,114.057868,22.543099
整租 | 龙华观澜百丽名苑精装大2房朝南家私家电齐全出租 停车,百丽名苑,2700,https://sz.58.com/zufang/44336495089168x.shtml,114.057868,22.543099
整租 | 招商澜园(南区) 2室1厅1卫,招商澜园(南区),3700,https://sz.58.com/zufang/44388978449545x.shtml,114.057868,22.543099
整租 | 银泉花园 2室0厅1卫 3800元月 精装修 电梯房,银泉花园,3700,https://sz.58.com/zufang/44256159979916x.shtml,114.057868,22.543099
整租 | 龙华地铁站 富士康 拎包入住 家电齐全 采光好 精装,共和花园,2500,https://sz.58.com/zufang/44356938693031x.shtml,114.057868,22.543099
整租 | 民治 绿景香颂 展涛科技大厦上寓公寓免费停车 租一年,绿景香颂花园,2680,https://sz.58.com/zufang/43560393437066x.shtml,114.057868,22.543099
整租 | 东环花园 2室 1厅1卫,东环花园,2100,https://sz.58.com/zufang/44388990731429x.shtml,114.057868,22.543099
整租 | 两室一厅 押一付一 温馨情侣独居 超高性价比 近地铁,元芬花园,2699,https://sz.58.com/zufang/44355999591943x.shtml,114.057868,22.543099
整租 | 大浪小区超大两房 三房 采光好 好停车 好房子不等人,上横朗新村,2650,https://sz.58.com/zufang/44079838411277x.shtml,114.057868,22.543099
整租 | 白石龙二区 超大一房一厅 价格优惠 采光好 家电齐全,白石龙二区,2260,https://sz.58.com/zufang/44062226233090x.shtml,114.057868,22.543099
整租 | 水围二区 2室1厅1卫,水围二区,2500,https://sz.58.com/zufang/44116233613478x.shtml,114.057868,22.543099
整租 | 龙胜元芬地铁口陶吓新村 精装大三房 拎包入住 高楼层,陶吓新村,3800,https://sz.58.com/zufang/44350171469731x.shtml,114.057868,22.543099
整租 | 4号线白石龙地铁300米大单间带阳台拎包入住,白石龙一区,2200,https://sz.58.com/zufang/44218765266596x.shtml,114.057868,22.543099
整租 | 直租免中介，地铁口300米精装两房，民水民电，免费公,元芬老村,2569,https://sz.58.com/zufang/44348435745800x.shtml,114.057868,22.543099
整租 | 大水坑三村 3室 1厅1卫,大水坑三村,2500,https://sz.58.com/zufang/44388910107396x.shtml,114.057868,22.543099
整租 | 深圳北0距离 业主直租 有车位实用两房 交通便利 拎,龙悦居四期,3500,https://sz.58.com/zufang/43917515168793x.shtml,114.057868,22.543099
整租 | 锦绣花园  ，精装大2房， 家私齐全， 家私齐全，,锦绣花园(龙华),3000,https://sz.58.com/zufang/44355720279333x.shtml,114.057868,22.543099
整租 | 整租近地铁免中介押一付一精装修民水民电随时看房,元芬新村,2699,https://sz.58.com/zufang/44369102528529x.shtml,114.057868,22.543099
整租 | 金庸阁(一期) 2室2厅1卫,金庸阁(一期),3800,https://sz.58.com/zufang/44388147126279x.shtml,114.057868,22.543099
整租 | 民治 上寓公寓 独立花园房环境优美 安静向阳 交通购,智慧谷创新广场,2700,https://sz.58.com/zufang/43982978202139x.shtml,114.057868,22.543099
整租 | 优选！碧家公寓 独立卫生间 4号线直达 家电齐全 拎,创业花园,2400,https://sz.58.com/zufang/43041215138434x.shtml,114.057868,22.543099
整租 | 华盛观荟 3室1厅1卫,华盛观荟,4000,https://sz.58.com/zufang/44388871750279x.shtml,114.057868,22.543099
整租 | 4号线 民乐翠园小区 二房一厅 这个温暖的家需要你的,民乐翠园小区,3080,https://sz.58.com/zufang/44333659201300x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 1室1厅1卫 2300元月 南北通透,白石龙二区,2300,https://sz.58.com/zufang/43938227084190x.shtml,114.057868,22.543099
整租 | 湖润名苑 一房一厅 大水坑市场对面花园小区 看房致电,湖润名苑,2000,https://sz.58.com/zufang/43583773706629x.shtml,114.057868,22.543099
整租 | 悠山美地家园 3室 2厅2卫,悠山美地家园,2900,https://sz.58.com/zufang/44360737358629x.shtml,114.057868,22.543099
整租 | 新房出租复试两层民用水电欢迎看房,嘉霖微商大楼,2800,https://sz.58.com/zufang/44236043558800x.shtml,114.057868,22.543099
整租 | 免中介 近地铁 押一付一 家私家电齐全 精装修公寓,翠景园(龙华),2699,https://sz.58.com/zufang/44367115127968x.shtml,114.057868,22.543099
整租 | 樟坑一区 1室1厅1卫  豪华装修 电梯房,樟坑一区,2080,https://sz.58.com/zufang/43852180525070x.shtml,114.057868,22.543099
整租 | 龙光玖钻 2室1厅1卫,龙光玖钻,4000,https://sz.58.com/zufang/44360543993742x.shtml,114.057868,22.543099
整租 | 图片不是假的，价格也不是假的，只是你心动了~,创业花园,2999,https://sz.58.com/zufang/43342248037149x.shtml,114.057868,22.543099
整租 | 新出 首租2房 精装修 户型很好 业主诚租 看房方便,风和日丽花园,3200,https://sz.58.com/zufang/44367349980054x.shtml,114.057868,22.543099
整租 | 龙华 观澜 华盛峰荟名庭 精装四房 看房方便,华盛峰荟名庭,4000,https://sz.58.com/zufang/44347273346072x.shtml,114.057868,22.543099
整租 | 共和花园 2室1厅1卫,共和花园,2000,https://sz.58.com/zufang/38035225316134x.shtml,114.057868,22.543099
整租 | 创业花园 红山地铁口 近深圳北 1房1厅 拎包入住,创业花园,2500,https://sz.58.com/zufang/43653641407895x.shtml,114.057868,22.543099
整租 | 西头新村 上芬地铁口 6号线 精装修 拎包入住 无中,西头新村,2080,https://sz.58.com/zufang/43653428106910x.shtml,114.057868,22.543099
