整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
"整租 | 秒杀房源,3室,别有洞天!舒适如新,经典把握,机会难",龙湖天璞,7000,https://sh.58.com/zufang/44643229368479x.shtml
整租 | 富友嘉园(北区) 2室 1厅1卫,富友嘉园(北区),3800,https://sh.58.com/zufang/44745862079270x.shtml
整租 | 嘉定西附近 一室一厅 押一付一 随时看房入住 水电民,同盛园,2000,https://sh.58.com/zufang/44668972278538x.shtml
整租 | 地铁口 精装一室朝南户型 水电名用 房子非常漂亮,紫荆四村,1300,https://sh.58.com/zufang/44698529881377x.shtml
整租 | 兰棠佳苑一室一厅精装修全配周边生活购物方便,兰棠佳苑,1800,https://sh.58.com/zufang/44733447001346x.shtml
整租 | 通用国际(公寓住宅) 1室1厅1卫,通用国际(公寓住宅),3000,https://sh.58.com/zufang/43331487773578x.shtml
整租 | 金运路地铁口，精装全配一室一厅，手机实拍，看房随时拎,澜茵华庭(东区),4000,https://sh.58.com/zufang/44645078119969x.shtml
整租 | 拧包入住，业主诚心出租 近大融城 环境OK 住的人多,保利湖畔阳光苑(西区),4100,https://sh.58.com/zufang/44637329612185x.shtml
整租 | 整租一居室，民用水电，金运路地铁口，手机实拍，近万达,大宅风范城,2600,https://sh.58.com/zufang/44732778078491x.shtml
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1780,https://sh.58.com/hezu/44745799179420x.shtml
整租 | 近地铁站 兰棠佳苑 精装修大两房 可办居住证 南北通,兰棠佳苑,2400,https://sh.58.com/zufang/44733570123144x.shtml
整租 | 13号线金运路，正规1室1厅，朝南阳光好，付一押一，,泰宸复兴苑,2700,https://sh.58.com/zufang/44732817774601x.shtml
整租 | 11号线 嘉定西附近 一室一厅整租 押一付一 随时看,练祁佳城永泰嘉苑(608...,2000,https://sh.58.com/zufang/44668938143399x.shtml
单间 | 绿地新江桥城(南区) 4室2厅1卫 次卧 西,绿地新江桥城(南区),1600,https://sh.58.com/hezu/44745801524883x.shtml
整租 | 整租，阳光房，独立厨卫，精装，可短租，月付，随时看房,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721913157637x.shtml
整租 | 办暂住证精装修 环境优美 近真新学校 近14号地铁,嘉利坊,3600,https://sh.58.com/zufang/44721470068242x.shtml
整租 | 上实海上荟 精装两房 近远香湖公园 价格可谈 拎包入,上实海上荟(公寓住宅),3300,https://sh.58.com/zufang/44714543248920x.shtml
单间 | 绿地新江桥城(西区) 2室2厅1卫 次卧 南,绿地新江桥城(西区),1500,https://sh.58.com/hezu/43166642397707x.shtml
单间 | 大阳台，原价1650，月底前仅需1300，押一付一，,日月光伯爵天地鼎固君庭,1300,https://sh.58.com/hezu/44623892210049x.shtml
整租 | 刚退租精装一房 近轻纺市场 毗邻14号地铁站 家具家,嘉利坊,2900,https://sh.58.com/zufang/44724316706204x.shtml
单间 | 大宅风范城 2室1厅1卫 主卧 南,大宅风范城,1780,https://sh.58.com/hezu/44745767384850x.shtml
﻿单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
整租 | 房租949元 月付 随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44666031198742x.shtml
单间 | 金元坊 2室1厅1卫 主卧 南,金元坊,2100,https://sh.58.com/hezu/44744012358165x.shtml
单间 | 用心服务 可短租3个月 无仲阶费 真实押一付一 民用,日月光伯爵天地城市华庭,990,https://sh.58.com/hezu/44687209908517x.shtml
"整租 | 秒杀房源,3室,别有洞天!舒适如新,经典把握,机会难",龙湖天璞,7000,https://sh.58.com/zufang/44643229368479x.shtml
整租 | 真实 房源 万达广场和13号地铁口旁,大宅风范城,2580,https://sh.58.com/zufang/44270910646952x.shtml
单间 | 枫树林景苑(北区) 3室1厅1卫 主卧 南,枫树林景苑(北区),1250,https://sh.58.com/hezu/44743996441740x.shtml
整租 | 嘉定西附近 一室一厅 押一付一 随时看房入住 水电民,同盛园,2000,https://sh.58.com/zufang/44668972278538x.shtml
单间 | 繁华配套 水电民用 押一付一 与房东直签合同 卫生已,泰宸沙河茗苑,2000,https://sh.58.com/hezu/44722889175204x.shtml
整租 | 地铁口 精装一室朝南户型 水电名用 房子非常漂亮,紫荆四村,1300,https://sh.58.com/zufang/44698529881377x.shtml
单间 | 新城金郡常青藤(一期北区) 3室2厅1卫 次卧 北,新城金郡常青藤(一期北区...,780,https://sh.58.com/hezu/44743990491152x.shtml
整租 | 富友嘉园(南区) 3室2厅1卫 钥匙房 已空关 随时,富友嘉园(南区),4500,https://sh.58.com/zufang/44554765109515x.shtml
整租 | 兰棠佳苑一室一厅精装修全配周边生活购物方便,兰棠佳苑,1800,https://sh.58.com/zufang/44733447001346x.shtml
整租 | 金运路地铁口，精装全配一室一厅，手机实拍，看房随时拎,澜茵华庭(东区),4000,https://sh.58.com/zufang/44645078119969x.shtml
单间 | 嘉星小区 2室1厅1卫 主卧 朝南,嘉星小区,1100,https://sh.58.com/hezu/44732043393427x.shtml
整租 | 保真！！真实存在 假一罚十 钥匙房 随时看房  朝南,海伦堡爱ME城市,3800,https://sh.58.com/zufang/44581600112261x.shtml
整租 | 近11号线嘉定新城站，整租独立一室户，给漂泊的你一个,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598630594566x.shtml
整租 | 拧包入住，业主诚心出租 近大融城 环境OK 住的人多,保利湖畔阳光苑(西区),4100,https://sh.58.com/zufang/44637329612185x.shtml
单间 | 骏丰玲珑坊东苑 3室0厅1卫 次卧 北,骏丰玲珑坊东苑,1100,https://sh.58.com/hezu/44743969155472x.shtml
整租 | 整租一居室，民用水电，金运路地铁口，手机实拍，近万达,大宅风范城,2600,https://sh.58.com/zufang/44732778078491x.shtml
整租 | 近安亭地铁站温馨一居室，装修奈斯，适合情侣和单身住可,世昶生活广场,1300,https://sh.58.com/zufang/44543599437968x.shtml
整租 | 地铁直达徐家汇 商圈好 购物方便 无中介费 看中入住,嘉峰汇财富广场,2560,https://sh.58.com/zufang/44524170720163x.shtml
单间 | 富友嘉园(北区) 2室2厅1卫 次卧 北,富友嘉园(北区),1150,https://sh.58.com/hezu/44566113916446x.shtml
整租 | 近地铁站 兰棠佳苑 精装修大两房 可办居住证 南北通,兰棠佳苑,2400,https://sh.58.com/zufang/44733570123144x.shtml
整租 | 13号线金运路，正规1室1厅，朝南阳光好，付一押一，,泰宸复兴苑,2700,https://sh.58.com/zufang/44732817774601x.shtml
整租 | 13号线 地铁直达长寿路 品牌公寓直租 家具齐全拎包,高潮新苑,2610,https://sh.58.com/zufang/44524545450402x.shtml
单间 | 增建村自建房 1室0厅1卫 主卧 南,增建村自建房,1200,https://sh.58.com/hezu/44647822706824x.shtml
整租 | 11号线 嘉定西附近 一室一厅整租 押一付一 随时看,练祁佳城永泰嘉苑(608...,2000,https://sh.58.com/zufang/44668938143399x.shtml
整租 | 整租，阳光房，独立厨卫，精装，可短租，月付，随时看房,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44721913157637x.shtml
整租 | 非中介 精装一室户 独立厨卫 可短租 拎包入住 随时,胜辛南路800号办公楼,1664,https://sh.58.com/zufang/44699055327876x.shtml
整租 | 外冈新苑(南区) 2室1厅1卫,外冈新苑(南区),2100,https://sh.58.com/zufang/44666735276822x.shtml
整租 | 办暂住证精装修 环境优美 近真新学校 近14号地铁,嘉利坊,3600,https://sh.58.com/zufang/44721470068242x.shtml
整租 | 上实海上荟 精装两房 近远香湖公园 价格可谈 拎包入,上实海上荟(公寓住宅),3300,https://sh.58.com/zufang/44714543248920x.shtml
整租 | 胜悦嘉苑(西苑) 2室1厅1卫,胜悦嘉苑(西苑),2880,https://sh.58.com/zufang/44723089159693x.shtml
﻿整租 | 手机实拍，不做虚假房源欺客，近地铁和万达，房租月付，,澜茵华庭(西区),4700,https://sh.58.com/zufang/44742566211860x.shtml
单间 | 可短租 纯女生 11号线地铁700米 无仲阶费 押一,日月光伯爵天地鼎固君庭,1020,https://sh.58.com/hezu/44687173852322x.shtml
整租 | 近11号线马陆站，品牌公寓！可短租！月付！独立厨卫！,胜辛南路800号办公楼,1500,https://sh.58.com/zufang/44598766868248x.shtml
整租 | 曹安公路4510号楼 1室0厅1卫,曹安公路4510号楼,1000,https://sh.58.com/zufang/42684358784018x.shtml
整租 | 11号线 地铁直达江苏路 精装修 家具齐全 超大窗户,桃园公寓(嘉定),2114,https://sh.58.com/zufang/44535256371741x.shtml
整租 | 胜辛南路800号办公楼 1室1厅1卫 1598元月,胜辛南路800号办公楼,1598,https://sh.58.com/zufang/44711228597656x.shtml
整租 | 大宅新出精装三房近地铁万达广场 可做员工宿舍 另有多,大宅风范城,5000,https://sh.58.com/zufang/44742806498192x.shtml
单间 | 天禧嘉苑(西区) 2室2厅1卫 次卧 北,天禧嘉苑(西区),1250,https://sh.58.com/hezu/44710155273473x.shtml
整租 | 江桥老街附近，精装二室一厅一卫，民用水电燃气做饭,江桥佳苑,4300,https://sh.58.com/zufang/44734786406807x.shtml
整租 | 宝龙广场 太湖世家 远香湖公园 看房方便 一室通燃气,光明D9空间,2700,https://sh.58.com/zufang/44700534709253x.shtml
整租 | 永翔佳苑(东区) 1室1厅 一套一房 看房随时 可办,永翔佳苑(东区),3500,https://sh.58.com/zufang/44499823253256x.shtml
单间 | 金沙湾绿地和苑(一期) 4室0厅3卫 主卧 南,金沙湾绿地和苑(一期),1600,https://sh.58.com/hezu/44737499217179x.shtml
整租 | 刚退租好房急租，近百联梅川步行街，中间楼层精装一房，,嘉利坊,2800,https://sh.58.com/zufang/44599116237831x.shtml
整租 | 目前手里多套一居 嘉龙大厦 1号公馆门口 精装复式,嘉龙大厦,3000,https://sh.58.com/zufang/44570324080792x.shtml
单间 | 无中介嘉定北地铁站日月光鼎固君庭民用电,日月光伯爵天地鼎固君庭,990,https://sh.58.com/hezu/44665956256658x.shtml
整租 | 利翔公寓 2室1厅1卫,利翔公寓,4100,https://sh.58.com/zufang/44609765618982x.shtml
整租 | 豪华装修，价格真实，近南翔地铁站500米,绿地新翔家园,3400,https://sh.58.com/zufang/44700936957717x.shtml
整租 | 海伦堡海伦广场 精装两房 近嘉定新城地铁站 拎包入住,海伦堡海伦广场,2500,https://sh.58.com/zufang/44367308517271x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
单间 | 湖畔天下(公寓住宅) 3室2厅2卫 次卧 西北,湖畔天下(公寓住宅),2100,https://sh.58.com/hezu/44544078632354x.shtml
单间 | 云翔佳苑 精装修 单间出租 欢迎致电,云翔佳苑,1400,https://sh.58.com/hezu/44493421238174x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
单间 | 徐行别墅小区 1室0厅0卫 次卧 北,徐行别墅小区,450,https://sh.58.com/hezu/43991772985231x.shtml
整租 | 合景峰汇精装2室朝南出租,合景峰汇,3000,https://sh.58.com/zufang/44226382406685x.shtml
单间 | 玉兰三村押一付一，家电齐全，近市民广场，随时可租，水,玉兰三村,900,https://sh.58.com/hezu/44478979687447x.shtml
整租 | 同济科技园旁边 莱英北郡 毛坯3房2400 有部分东,莱英北郡(公寓住宅),2400,https://sh.58.com/zufang/44446140616842x.shtml
单间 | 泰翔嘉苑 5室1厅3卫 次卧 西,泰翔嘉苑,1450,https://sh.58.com/hezu/44742916664616x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
整租 | 金运路万达商圈，电梯高区采光好，居家全配，随时入驻，,金沙鼎苑,4350,https://sh.58.com/zufang/44687227657236x.shtml
单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
单间 | 金鹤新城水岸秀苑 3室1厅1卫 主卧 南,金鹤新城水岸秀苑,1500,https://sh.58.com/hezu/44687615383177x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
整租 | 房租949元 月付 随时看房 不收中介非 拎包入住,漳翔路1086弄2号楼,949,https://sh.58.com/zufang/44666031198742x.shtml
单间 | 中冶祥腾城市佳园(二期) 3室2厅1卫 次卧 南,中冶祥腾城市佳园(二期),2000,https://sh.58.com/hezu/43078945709445x.shtml
﻿整租 | 13号线丰庄地铁口 精装大三房 看房随时 拎包入住,金丰新村,6000,https://sh.58.com/zufang/44734098441765x.shtml
整租 | 黄渡公园旁民房别墅 豪装中央空调3房3卫实拍图有车位,绿苑四村,4000,https://sh.58.com/zufang/44039045410831x.shtml
整租 | 精装修双南两房，祁连山南路地铁站，可押一付一，有钥匙,真南小区,4900,https://sh.58.com/zufang/44721068953874x.shtml
整租 | 龙湖天璞，118.43平大三房，南北通格局，带车位，,龙湖天璞,8400,https://sh.58.com/zufang/44742948651928x.shtml
整租 | 精装修小三房 南北通户型 家具家电全配 出门即地铁,绿地昌吉名邸新里米兰公寓,5000,https://sh.58.com/zufang/44612034879255x.shtml
整租 | 精装地铁口三房，近和美广场，有钥匙，随时看房，房租可,金丰新村,6000,https://sh.58.com/zufang/44744850914709x.shtml
整租 | 两房精装，性价比好房，手机实拍，看房随时，有钥匙,金鹤新城双佳翠庭,4200,https://sh.58.com/zufang/44305215378594x.shtml
整租 | 上实海上公元 精装修大三房，看房方便，拎包入住，靠近,上实海上公元,5200,https://sh.58.com/zufang/44747803240865x.shtml
整租 | 保真 急租 空关钥匙房 精装100平大两房全配 楼层,华江景城,5000,https://sh.58.com/zufang/44742950604967x.shtml
单间 | 单间出租嘉定新城宝龙广场，精装修一室户，看房随时电话,嘉定宝龙城市广场,1800,https://sh.58.com/hezu/44743979508496x.shtml
整租 | 整栋独立出租，提前约看，办公居家均可,高潮中心村,10000,https://sh.58.com/zufang/37824673793680x.shtml
整租 | 住友嘉馨，精装三房，交通便利，配套齐全，风景房，固定,住友嘉馨名园,4800,https://sh.58.com/zufang/44733791685404x.shtml
整租 | 大业主 14号线 嘉城 沃尔玛朝南精装修一室户 诚意,香馥湾(公寓住宅),4000,https://sh.58.com/zufang/44747426406302x.shtml
单间 | 只此一间！唐家苑 朝南主卧 独立卫生间 南北通透 民,唐家苑(南区),1300,https://sh.58.com/hezu/44742960377358x.shtml
整租 | 恒荣府邸一室一卫一厨 出租,路劲上海庄园(公寓住宅),1500,https://sh.58.com/zufang/44744007361940x.shtml
单间 | 急租阳台房，刚刚退房，云翔佳苑，两室合租，民用水电,云翔佳苑,1150,https://sh.58.com/hezu/44745276677024x.shtml
整租 | 嘉定蔷薇苑 2室1厅1卫,嘉定蔷薇苑,2900,https://sh.58.com/zufang/44605125293851x.shtml
整租 | 豪华地段德华四村大三房紧邻南翔小学 自住装修 保养得,德华四村,4500,https://sh.58.com/zufang/44655809017614x.shtml
单间 | 深城投十一街区(东区) 独立卫生间 1000元月 精,深城投十一街区(东区),1000,https://sh.58.com/hezu/44744815720598x.shtml
整租 | 房东首租 阳光三楼 双南大两房 近地铁14号线 全明,真建七街坊,5400,https://sh.58.com/zufang/44746881832604x.shtml
整租 | 风荷丽景精装两房  价格优惠    配置齐全  近宝,风荷丽景尚城(西区公寓住...,4500,https://sh.58.com/zufang/44515043911305x.shtml
"整租 | 万达城市公寓,整租一室户,近地铁,手机实拍视频,不做",万达城市公寓,2600,https://sh.58.com/zufang/44731799600662x.shtml
整租 | 近地铁两房精装修，这么好的房子还在等什么，快来看房吧,金沙缘圆宝邸,4500,https://sh.58.com/zufang/44483385970843x.shtml
整租 | 马陆汽配城 停车免费 押一付一 精装修 配套齐全,马陆汽配城,900,https://sh.58.com/zufang/44742541368579x.shtml
整租 | 朗诗绿色街区 2室2厅2卫 7500元月 精装修,朗诗绿色街区,7500,https://sh.58.com/zufang/44677336554503x.shtml
整租 | 嘉定上影广场，精装全配，看房有钥匙，适合居家,嘉定上影商业广场,3500,https://sh.58.com/zufang/44499921301279x.shtml
单间 | 金鼎香樟苑(西区) 1室0厅1卫 其他 南,金鼎香樟苑(西区),2100,https://sh.58.com/hezu/44406717177478x.shtml
整租 | 出门即是金运路地铁站房源实拍有效看房随时拎包可入住,金沙缘圆宝邸,5000,https://sh.58.com/zufang/44731799546003x.shtml
单间 | 金沙湾绿地和苑(二期) 1室0厅1卫 主卧 南,金沙湾绿地和苑(二期),1200,https://sh.58.com/hezu/44746401633420x.shtml
整租 | 朝南大落地窗 豪华装修 时尚复试 白领好的选择,安亭财富广场(北楼),1350,https://sh.58.com/zufang/44114751885071x.shtml
整租 | 好房出租 金帝城市岸泊一楼大两房精装修 带天井 带储,金帝城市岸泊(公寓住宅),3800,https://sh.58.com/zufang/44744991333507x.shtml
整租 | 本 月特价 13号线 独立1室户干净清爽 拎包住 直,大宅风范城,1850,https://sh.58.com/zufang/43604956331047x.shtml
整租 | 湖畔天下(公寓住宅) 3室2厅2卫 5500元月 电,湖畔天下(公寓住宅),5500,https://sh.58.com/zufang/44234533714334x.shtml
整租 | 靖远路1200号楼 1室1厅1卫,靖远路1200号楼,1500,https://sh.58.com/zufang/44403049559047x.shtml
单间 | 仓新小区(北区) 5室2厅5卫 主卧 南,仓新小区(北区),1200,https://sh.58.com/hezu/44295158882309x.shtml
整租 | 大名城名郡 1室1厅1卫,大名城名郡,1300,https://sh.58.com/zufang/44678192757377x.shtml
单间 | 明亮欢快的地中海风格 民用水电 电梯高区景观可拎包入,大宅风范城,1800,https://sh.58.com/hezu/44746065137317x.shtml
整租 | 马陆地铁站，两室一厅整租，民用水电，燃气做饭，实图实,金沙湾绿地和苑(一期),3000,https://sh.58.com/zufang/44721307550723x.shtml
整租 | 近地铁万达  两室一厅 性价比超高 照片实拍 来电即,绿地新江桥城(南区),4000,https://sh.58.com/zufang/44676210353057x.shtml
整租 | 安亭地铁站旁 底特律北楼大套 精装房 复式两层 可办,安亭财富广场(北楼),3200,https://sh.58.com/zufang/44743509588630x.shtml
单间 | 恒荣府邸1室一卫1厨出租,路劲上海庄园(别墅),1500,https://sh.58.com/hezu/44743945687564x.shtml
整租 | 南北通透 浴缸 干净整洁 品质装修 民用水电 前方无,金鹤新城水岸秀苑,3900,https://sh.58.com/zufang/44466221610513x.shtml
整租 | 汇丰凯苑 精装一房一厅 近嘉定西地铁旁 拎包入住,汇丰凯苑,2500,https://sh.58.com/zufang/44543580640910x.shtml
整租 | 刚退，14号线口，租期灵活，可月付，正规一房一厅，随,嘉利坊,3000,https://sh.58.com/zufang/44724134017317x.shtml
整租 | 独厨独卫一室户，给钱就租，无中芥费，押一付一年底降价,金沙湾绿地和苑(一期),1600,https://sh.58.com/zufang/44334220973078x.shtml
整租 | 三室一厅整租，紧靠11号线马陆，无中芥费，押一付一，,金沙湾绿地和苑(一期),4000,https://sh.58.com/zufang/44721506453009x.shtml
整租 | 本人实拍 品质小区 繁华地段 朝南户型彩光非常好,大名城名郡,1300,https://sh.58.com/zufang/43504463068558x.shtml
整租 | 金运路地铁口，整租一室户，近万达广场，华泰中心，北虹,泰宸沙河茗苑,2650,https://sh.58.com/zufang/44732804337569x.shtml
整租 | 风荷丽景 精装两房 南北通透 近宝龙城市广场 拎包入,风荷丽景尚城(西区),4000,https://sh.58.com/zufang/44714387724430x.shtml
整租 | 绿洲香润苑 4室1厅1卫 3200元月 电梯房 配套,绿洲香润苑,3200,https://sh.58.com/zufang/44678236683534x.shtml
单间 | 新城悠活城(南区) 2室1厅1卫 主卧 南,新城悠活城(南区),950,https://sh.58.com/hezu/44723289545091x.shtml
整租 | 安亭大众厂附近 整租一室 精装全配 押一付一 独立厨,龙安佳苑,1300,https://sh.58.com/zufang/44709765135745x.shtml
整租 | 房源真实 价格优惠 近地铁 精装修 拎包入住 品质小,嘉善坊,3600,https://sh.58.com/zufang/44643389777828x.shtml
整租 | 嘉定11号线地铁沿线 各个站点都有房源 精装修领包入,金桂新村,1200,https://sh.58.com/zufang/44710175726367x.shtml
单间 | 迎春新苑 3室1厅2卫 主卧 南,迎春新苑,850,https://sh.58.com/hezu/44545026104741x.shtml
整租 | 白金涟庭，别墅精装修，上三层地下一层，近陈翔地铁口，,白金涟庭,13000,https://sh.58.com/zufang/44702515075457x.shtml
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,V6时代,1400,https://sh.58.com/zufang/44715941578652x.shtml
整租 | 可短租 精装修 可养宠 1室1厅1卫 1599元月,胜辛南路800号办公楼,1599,https://sh.58.com/zufang/44613650617618x.shtml
整租 | 保利星海屿筑(北区) 4室1厅1卫,保利星海屿筑(北区),5000,https://sh.58.com/zufang/44748278486678x.shtml
单间 | 11号线南翔地铁口 曙光苑 全新装修 独厨独卫 拎包,曙光苑(嘉定),2300,https://sh.58.com/hezu/44724305214629x.shtml
整租 | 初次出租 家电全新 交通便利 居家装修 适合年轻人,嘉尚坊,3150,https://sh.58.com/zufang/44732140746516x.shtml
整租 | 大宅风范城，俩室一厅，近万达广场，华泰中心，绿地集团,大宅风范城,4200,https://sh.58.com/zufang/44732718554641x.shtml
单间 | 泰宸沙河茗苑 2室1厅1卫 主卧 南,泰宸沙河茗苑,1980,https://sh.58.com/hezu/44168663583656x.shtml
整租 | 精装一楼两房一厅，楼层低，装修好，家电齐，拎包入住，,真新新村嘉秀坊,3900,https://sh.58.com/zufang/44656484718726x.shtml
整租 | 印象城800米 湖畔天下 湖景三房 5200元月 电,湖畔天下(公寓住宅),5200,https://sh.58.com/zufang/43519854367782x.shtml
整租 | 紧邻万达及13号线，小区安静 环境优美 装修两室 可,绿地新江桥城(南区),3500,https://sh.58.com/zufang/44669104469415x.shtml
整租 | 新建一路2158弄小区 2室1厅1卫,新建一路2158弄小区,2000,https://sh.58.com/zufang/44748205919489x.shtml
整租 | 刚退租房源，近轻纺市场丰庄茶城精装两房居家装修，价格,嘉美坊,4200,https://sh.58.com/zufang/44732991750824x.shtml
整租 | 近地铁，精装联排别墅，周边设备齐全，居家的不二选择，,白金果岭(别墅),18800,https://sh.58.com/zufang/44734358753556x.shtml
整租 | 我是房东 独立厨卫可以烧饭，家具家电全配 1个月短租,北虹桥协通科技大厦,1344,https://sh.58.com/zufang/44702146727431x.shtml
整租 | 练祁佳城永泰嘉苑(608弄) 2室1厅1卫,练祁佳城永泰嘉苑(608...,2500,https://sh.58.com/zufang/44748191003558x.shtml
整租 | 丰华苑，三室一厅，手机实拍视频，不做虚假房源，精装拎,丰华苑,5000,https://sh.58.com/zufang/44737719222412x.shtml
整租 | 南翔地铁口精装公寓，5.7米复式商 住两用，可办公可,中冶祥腾城市广场,8000,https://sh.58.com/zufang/44687269717124x.shtml
整租 | 独栋别墅 南北通透 适合居住加办公 车位充足 出行便,包桥小区,7500,https://sh.58.com/zufang/44747200428056x.shtml
整租 | 大宅风范城 2室1厅1卫,大宅风范城,4200,https://sh.58.com/zufang/44416816314779x.shtml
单间 | 出租放心，求租安心 省时省力又放心 绝无虚假 真实价,日月光伯爵天地城市华庭,1200,https://sh.58.com/hezu/44566314597671x.shtml
整租 | 丰庄四村，精装一房，拎包入住，配套齐全，随时看房，价,丰庄四村,3500,https://sh.58.com/zufang/44632199107621x.shtml
"整租 | 蠡家真实房屋,紧邻大融城,品质小区,价格可谈",嘉宝紫提湾(公寓住宅),4500,https://sh.58.com/zufang/44667396610699x.shtml
单间 | 兰郡花田洋房 3室1厅1卫 次卧 南,兰郡花田洋房,750,https://sh.58.com/hezu/44611439457445x.shtml
单间 | 地铁口 可短租 临时的家也温暖 轻松找房 押一付一,新城悠活城(南区),1200,https://sh.58.com/hezu/44665419159965x.shtml
整租 | 新城金郡(一期南区) 2室1厅1卫 4500元月 电,新城金郡(一期南区),4500,https://sh.58.com/zufang/44637308275857x.shtml
单间 | 玉兰一村 3室2厅2卫 主卧 南,玉兰一村,1400,https://sh.58.com/hezu/44390072146697x.shtml
"整租 | 缘圆宝坻 精装一室户,多套户型可选,看房随时,拎包即",万达城市公寓,2788,https://sh.58.com/zufang/44731799245351x.shtml
单间 | 云翔佳苑 精装修 单间出租 欢迎致电,云翔佳苑,1400,https://sh.58.com/hezu/44493421238174x.shtml
整租 | 拎包入住 1室1厅1卫 1589元月 0中介,胜辛南路800号办公楼,1589,https://sh.58.com/zufang/44711108501897x.shtml
单间 | 丽江佳苑 3室2厅2卫 次卧 朝北,丽江佳苑,1400,https://sh.58.com/hezu/44743881337746x.shtml
整租 | 安亭近大众 整租两房两厅 电梯房 精装全配 房间干净,澳丽映象嘉园,2500,https://sh.58.com/zufang/44632313442330x.shtml
单间 | 玉兰三村押一付一，家电齐全，近市民广场，随时可租，水,玉兰三村,900,https://sh.58.com/hezu/44478979687447x.shtml
整租 | 年底好房 降价出租 家电齐全 拎包入住 和房东签约,嘉利坊,3700,https://sh.58.com/zufang/44699224608387x.shtml
单间 | 金桂新村 3室1厅2卫 次卧 北,金桂新村,1000,https://sh.58.com/hezu/44743865857410x.shtml
整租 | 金运路万达商圈，电梯高区采光好，居家全配，随时入驻，,金沙鼎苑,4350,https://sh.58.com/zufang/44687227657236x.shtml
单间 | 大名城名郡 飘窗单间 1100元月 月付,大名城名郡,1100,https://sh.58.com/hezu/44743143741730x.shtml
整租 | 龙湖郦城 有阳台 2600元月 精装修 看房子方便，,龙湖郦城(商住楼),2600,https://sh.58.com/zufang/44588480928160x.shtml
