<<<<<<< HEAD
<<<<<<< HEAD
﻿整租 | 租房 龙华清湖双地铁 ，全新家具拎包入住，有全新公共,弓村二区,3060,https://sz.58.com/zufang/45364952983707x.shtml,经度,纬度
"整租 | 蠡家真实房屋,紧邻大融城,品质小区,价格可谈",嘉宝紫提湾(公寓住宅),4500,https://sh.58.com/zufang/44667396610699x.shtml,121.473701,31.230416
单间 | 地铁口 可短租 临时的家也温暖 轻松找房 押一付一,新城悠活城(南区),1200,https://sh.58.com/hezu/44665419159965x.shtml,121.473701,31.230416
单间 | 叶城三街坊 3室2厅2卫 次卧 南,叶城三街坊,1300,https://sh.58.com/hezu/44745606586529x.shtml,121.473701,31.230416
整租 | 新城金郡(一期南区) 2室1厅1卫 4500元月 电,新城金郡(一期南区),4500,https://sh.58.com/zufang/44637308275857x.shtml,121.473701,31.230416
单间 | 冬日暖阳，阳光保证，温馨宜居，还可晾晒，不办分期贷款,日月光伯爵天地鼎固君庭,1360,https://sh.58.com/hezu/44642979921445x.shtml,121.473701,31.230416
整租 | 嘉利坊实房实价看房随时，精装修随时可看急租，押一付一,嘉利坊,2800,https://sh.58.com/zufang/44691686682381x.shtml,121.473701,31.230416
整租 | 森林公馆(西区) 2室1厅1卫,森林公馆(西区),4200,https://sh.58.com/zufang/44745533691807x.shtml,121.473701,31.230416
整租 | 光明D9空间精装两房两厅两卫朝南采光好 近宝龙 远香,光明D9空间,3100,https://sh.58.com/zufang/44743874024577x.shtml,121.473701,31.230416
整租 | 江桥佳苑紧邻江桥老街，沪宁小学！大看房方便,江桥二村六街坊,3000,https://sh.58.com/zufang/44579595456522x.shtml,121.473701,31.230416
整租 | 嘉邦小区 2室1厅1卫,嘉邦小区,2300,https://sh.58.com/zufang/42176001369745x.shtml,121.473701,31.230416
﻿单间 | 南翔 印象城附近 云翔佳苑 单间独卫 燃气厨房  拎,云翔佳苑,1100,https://sh.58.com/hezu/44493414479644x.shtml,121.473701,31.230416
整租 | 金地旗下 长短租皆可 拎包入住 免中介,胜辛南路800号办公楼,1599,https://sh.58.com/zufang/44711082439315x.shtml,121.473701,31.230416
整租 | 枫树林景苑3室1厅1卫 3600元月 配套齐全 随时,枫树林景苑(北区),3600,https://sh.58.com/zufang/44654298133669x.shtml,121.473701,31.230416
单间 | 徐行别墅小区 1室0厅0卫 次卧 北,徐行别墅小区,450,https://sh.58.com/hezu/43991772985231x.shtml,121.473701,31.230416
整租 | 金运路地铁0距离，繁华商圈，精装修全配，随时看房，拎,嘉定万达广场(商住楼),3500,https://sh.58.com/zufang/44654044931970x.shtml,121.473701,31.230416
整租 | 绿地新江桥城(南区) 3室2厅2卫 7500元月 精,绿地新江桥城(南区),7400,https://sh.58.com/zufang/44534061558031x.shtml,121.473701,31.230416
整租 | 泰翔一室一厅精装全配看房有钥匙 近地铁,泰翔嘉苑,3500,https://sh.58.com/zufang/44654586487045x.shtml,121.473701,31.230416
整租 | 利翔公寓 2室1厅1卫,利翔公寓,4100,https://sh.58.com/zufang/44609765618982x.shtml,121.473701,31.230416
整租 | 精装四房，主卧带卫！出门地铁！家具全配，中心位置，房,大宅风范城,10800,https://sh.58.com/zufang/44392937480868x.shtml,121.473701,31.230416
整租 | 近华二中学 创融嘉天地 现代化装修 房东搬到外地陪读,创融嘉天地,2600,https://sh.58.com/zufang/44511492124291x.shtml,121.473701,31.230416
整租 | 毛坯大三房 可办居住证 价格便宜 交通便利 看房方便,爱德佳苑三街坊(公寓住宅...,4800,https://sh.58.com/zufang/44611602045197x.shtml,121.473701,31.230416
单间 | 泰翔嘉苑 5室1厅3卫 次卧 西,泰翔嘉苑,1450,https://sh.58.com/hezu/44742916664616x.shtml,121.473701,31.230416
整租 | 漪园新村 1室1厅1卫 3000元月出租 配套齐全,漪园新村,3000,https://sh.58.com/zufang/44510593795081x.shtml,121.473701,31.230416
单间 | 温馨南向单间，可住情侣，包物业宽带，押一付一近地铁，,日月光伯爵天地鼎固君庭,1150,https://sh.58.com/hezu/44655394927248x.shtml,121.473701,31.230416
整租 | 地铁口精装修2房整套出租，看房随时。可配合办居住证。,水岸金桥苑,4900,https://sh.58.com/zufang/44245153890062x.shtml,121.473701,31.230416
单间 | 金鹤新城水岸秀苑 3室1厅1卫 主卧 南,金鹤新城水岸秀苑,1500,https://sh.58.com/hezu/44687615383177x.shtml,121.473701,31.230416
整租 | 11号线白银路地铁口 真正的精装两房 看房有钥匙 拎,白银时代尚苑(二期),4000,https://sh.58.com/zufang/44490956915725x.shtml,121.473701,31.230416
整租 | 精装全配公寓，近地铁和万达广场，房租月付，手机实拍,万达城市公寓,2600,https://sh.58.com/zufang/44737631520670x.shtml,121.473701,31.230416
整租 | 正规两房一厅，可月付，可办居住证，随时看房随时入住，,真新新村嘉德坊,3900,https://sh.58.com/zufang/44656459463965x.shtml,121.473701,31.230416
单间 | 中冶祥腾城市佳园(二期) 3室2厅1卫 次卧 南,中冶祥腾城市佳园(二期),2000,https://sh.58.com/hezu/43078945709445x.shtml,121.473701,31.230416
整租 | AAA 你已经弄乱了我的心，什么时候弄乱我的床,嘉定上影商业广场,2588,https://sh.58.com/zufang/44742274524967x.shtml,121.473701,31.230416
整租 | 高端小区素质住户 精装一房 11号线地铁口 房子非常,红梅小区(嘉定),1500,https://sh.58.com/zufang/44715155424662x.shtml,121.473701,31.230416
单间 | 可短租 蛋壳违约房东收房 与房东直签 独立厨房卫生间,大宅风范城,1700,https://sh.58.com/hezu/44690255642899x.shtml,121.473701,31.230416
整租 | 君得莉商务楼 1室1厅1卫,君得莉商务楼,1500,https://sh.58.com/zufang/44577573789608x.shtml,121.473701,31.230416
整租 | 协通大一房 婚房装修 中间楼层 位置安静方便停车 求,协通公寓,2100,https://sh.58.com/zufang/44665246189857x.shtml,121.473701,31.230416
整租 | 嘉定北地铁口 日月光鼎固君庭 两房出租 民用水电押一,日月光伯爵天地鼎固君庭,3800,https://sh.58.com/zufang/44516780868640x.shtml,121.473701,31.230416
整租 | 近嘉定新城地铁站 万达广场 精装全配 随时看房 拎包,合景理想家,2300,https://sh.58.com/zufang/44692418242968x.shtml,121.473701,31.230416
整租 | 泰翔嘉苑 2室 1厅1卫,泰翔嘉苑,3700,https://sh.58.com/zufang/44720686942886x.shtml,121.473701,31.230416
整租 | 胜辛南路800号办公楼 1室1厅1卫 1569元月,胜辛南路800号办公楼,1569,https://sh.58.com/zufang/44711207476481x.shtml,121.473701,31.230416
单间 | 可短租 性价比高 无仲阶费近地铁 民用水电押一付一,阳光嘉苑,880,https://sh.58.com/hezu/44687130554126x.shtml,121.473701,31.230416
整租 | 整租一室户，民用水电，近地铁和万达，手机实拍视频，拎,澜茵华庭(东区),2300,https://sh.58.com/zufang/44732771039375x.shtml,121.473701,31.230416
整租 | 丽江佳苑 1室1厅1卫,丽江佳苑,3700,https://sh.58.com/zufang/44708824664224x.shtml,121.473701,31.230416
整租 | 新出好房，可合租养宠物，租金月付，温馨居家，干净清爽,嘉尚坊,3300,https://sh.58.com/zufang/44732126258197x.shtml,121.473701,31.230416
单间 | 单间出租嘉定新城宝龙广场，精装修一室户，看房随时电话,嘉定宝龙城市广场,1800,https://sh.58.com/hezu/44743979508496x.shtml,121.473701,31.230416
单间 | 泰宸沙河茗苑 4室1厅1卫 主卧 南,泰宸沙河茗苑,1500,https://sh.58.com/hezu/44698881154317x.shtml,121.473701,31.230416
﻿整租 | 上实海上公元 精装修大三房，看房方便，拎包入住，靠近,上实海上公元,5200,https://sh.58.com/zufang/44747803240865x.shtml,121.473701,31.230416
整租 | 怡华家园精装实惠大三房，南北通透，近北站华润信业购物,怡华家园,3000,https://sh.58.com/zufang/44494114271778x.shtml,121.473701,31.230416
整租 | 万立城两房出租 临近地铁 豪华装修 家具家电全配,万立城(公寓住宅),3700,https://sh.58.com/zufang/44649277174293x.shtml,121.473701,31.230416
整租 | 龙湖天璞，118.43平大三房，南北通格局，带车位，,龙湖天璞,8400,https://sh.58.com/zufang/44742948651928x.shtml,121.473701,31.230416
整租 | 恒大御景湾2室2厅1卫 豪华装修 马陆地铁口,恒大御景湾,5800,https://sh.58.com/zufang/44665194492931x.shtml,121.473701,31.230416
整租 | 出门即地铁 精装两房 家具家电全配 拎包入住 高楼层,路劲上海派花香澜庭,3400,https://sh.58.com/zufang/44636633597057x.shtml,121.473701,31.230416
整租 | 精装修双南两房，祁连山南路地铁站，可押一付一，有钥匙,真南小区,4900,https://sh.58.com/zufang/44721068953874x.shtml,121.473701,31.230416
整租 | 13号线丰庄地铁口 精装大三房 看房随时 拎包入住,金丰新村,6000,https://sh.58.com/zufang/44734098441765x.shtml,121.473701,31.230416
整租 | 黄渡公园旁民房别墅 豪装中央空调3房3卫实拍图有车位,绿苑四村,4000,https://sh.58.com/zufang/44039045410831x.shtml,121.473701,31.230416
整租 | 大众春盛苑 精装三房两卫 有固定停车位 实拍图 有钥,大众春盛苑(公寓住宅),3300,https://sh.58.com/zufang/44634894670731x.shtml,121.473701,31.230416
整租 | 精装修小三房 南北通户型 家具家电全配 出门即地铁,绿地昌吉名邸新里米兰公寓,5000,https://sh.58.com/zufang/44612034879255x.shtml,121.473701,31.230416
整租 | 两房精装，性价比好房，手机实拍，看房随时，有钥匙,金鹤新城双佳翠庭,4200,https://sh.58.com/zufang/44305215378594x.shtml,121.473701,31.230416
整租 | 精装地铁口三房，近和美广场，有钥匙，随时看房，房租可,金丰新村,6000,https://sh.58.com/zufang/44744850914709x.shtml,121.473701,31.230416
整租 | 豪华装修 家具家电齐全 近百联 近学校 电梯房 手次,方舟苑,4500,https://sh.58.com/zufang/44659483185311x.shtml,121.473701,31.230416
整租 | 保真 急租 空关钥匙房 精装100平大两房全配 楼层,华江景城,5000,https://sh.58.com/zufang/44742950604967x.shtml,121.473701,31.230416
单间 | 明亮欢快的地中海风格 民用水电 电梯高区景观可拎包入,大宅风范城,1800,https://sh.58.com/hezu/44746065137317x.shtml,121.473701,31.230416
单间 | 单间出租嘉定新城宝龙广场，精装修一室户，看房随时电话,嘉定宝龙城市广场,1800,https://sh.58.com/hezu/44743979508496x.shtml,121.473701,31.230416
整租 | 次新小区，精装修，商业配套完善，近地铁，近万达,澜茵华庭(东区),3500,https://sh.58.com/zufang/44538264624268x.shtml,121.473701,31.230416
"整租 | 万达城市公寓,整租一室户,近地铁,手机实拍视频,不做",万达城市公寓,2600,https://sh.58.com/zufang/44731799600662x.shtml,121.473701,31.230416
整租 | 马陆地铁站，两室一厅整租，民用水电，燃气做饭，实图实,金沙湾绿地和苑(一期),3000,https://sh.58.com/zufang/44721307550723x.shtml,121.473701,31.230416
整租 | 汇丰凯苑 精装一房一厅 近嘉定西地铁旁 拎包入住,汇丰凯苑,2500,https://sh.58.com/zufang/44543580640910x.shtml,121.473701,31.230416
整租 | 上实海上荟(公寓住宅) 3室2厅1卫 3900元月,上实海上荟(公寓住宅),3900,https://sh.58.com/zufang/44712048330887x.shtml,121.473701,31.230416
整租 | 朗诗绿色街区 2室2厅2卫 7500元月 精装修,朗诗绿色街区,7500,https://sh.58.com/zufang/44677336554503x.shtml,121.473701,31.230416
整租 | 出门即是金运路地铁站房源实拍有效看房随时拎包可入住,金沙缘圆宝邸,5000,https://sh.58.com/zufang/44731799546003x.shtml,121.473701,31.230416
整租 | 近地铁两房精装修，这么好的房子还在等什么，快来看房吧,金沙缘圆宝邸,4500,https://sh.58.com/zufang/44483385970843x.shtml,121.473701,31.230416
整租 | 嘉定蔷薇苑 2室1厅1卫,嘉定蔷薇苑,2900,https://sh.58.com/zufang/44605125293851x.shtml,121.473701,31.230416
整租 | 嘉定上影广场，精装全配，看房有钥匙，适合居家,嘉定上影商业广场,3500,https://sh.58.com/zufang/44499921301279x.shtml,121.473701,31.230416
整租 | 本 月特价 13号线 独立1室户干净清爽 拎包住 直,大宅风范城,1850,https://sh.58.com/zufang/43604956331047x.shtml,121.473701,31.230416
整租 | 独厨独卫一室户，给钱就租，无中芥费，押一付一年底降价,金沙湾绿地和苑(一期),1600,https://sh.58.com/zufang/44334220973078x.shtml,121.473701,31.230416
整租 | 靖远路1200号楼 1室1厅1卫,靖远路1200号楼,1500,https://sh.58.com/zufang/44403049559047x.shtml,121.473701,31.230416
整租 | 马陆汽配城 停车免费 押一付一 精装修 配套齐全,马陆汽配城,900,https://sh.58.com/zufang/44742541368579x.shtml,121.473701,31.230416
整租 | 整栋独立出租，提前约看，办公居家均可,高潮中心村,10000,https://sh.58.com/zufang/37824673793680x.shtml,121.473701,31.230416
整租 | 大融城商圈 嘉宝紫提湾 南北通透 拎包入住 看房有钥,嘉宝紫提湾(公寓住宅),6600,https://sh.58.com/zufang/44577417793954x.shtml,121.473701,31.230416
单间 | 仓新小区(北区) 5室2厅5卫 主卧 南,仓新小区(北区),1200,https://sh.58.com/hezu/44295158882309x.shtml,121.473701,31.230416
单间 | 急租阳台房，刚刚退房，云翔佳苑，两室合租，民用水电,云翔佳苑,1150,https://sh.58.com/hezu/44745276677024x.shtml,121.473701,31.230416
整租 | 精装修 户型正 光线充足 环境优美 物业和保安非常到,泰宸复兴苑,4200,https://sh.58.com/zufang/44538215997464x.shtml,121.473701,31.230416
整租 | 房东首租 阳光三楼 双南大两房 近地铁14号线 全明,真建七街坊,5400,https://sh.58.com/zufang/44746881832604x.shtml,121.473701,31.230416
整租 | 恒荣府邸一室一卫一厨 出租,路劲上海庄园(公寓住宅),1500,https://sh.58.com/zufang/44744007361940x.shtml,121.473701,31.230416
整租 | 住友嘉馨，精装三房，交通便利，配套齐全，风景房，固定,住友嘉馨名园,4800,https://sh.58.com/zufang/44733791685404x.shtml,121.473701,31.230416
单间 | 恒荣府邸1室一卫1厨出租,路劲上海庄园(别墅),1500,https://sh.58.com/hezu/44743945687564x.shtml,121.473701,31.230416
整租 | 大业主 14号线 嘉城 沃尔玛朝南精装修一室户 诚意,香馥湾(公寓住宅),4000,https://sh.58.com/zufang/44747426406302x.shtml,121.473701,31.230416
整租 | 精致的房子不需要过多的解释，过多的说辞，看就完了,金沙缘圆宝邸,4800,https://sh.58.com/zufang/44538229250708x.shtml,121.473701,31.230416
单间 | 金沙湾绿地和苑(二期) 1室0厅1卫 主卧 南,金沙湾绿地和苑(二期),1200,https://sh.58.com/hezu/44746401633420x.shtml,121.473701,31.230416
单间 | 只此一间！唐家苑 朝南主卧 独立卫生间 南北通透 民,唐家苑(南区),1300,https://sh.58.com/hezu/44742960377358x.shtml,121.473701,31.230416
整租 | 本人实拍 品质小区 繁华地段 朝南户型彩光非常好,大名城名郡,1300,https://sh.58.com/zufang/43504463068558x.shtml,121.473701,31.230416
整租 | 三室一厅整租，紧靠11号线马陆，无中芥费，押一付一，,金沙湾绿地和苑(一期),4000,https://sh.58.com/zufang/44721506453009x.shtml,121.473701,31.230416
单间 | 金鼎香樟苑(西区) 1室0厅1卫 其他 南,金鼎香樟苑(西区),2100,https://sh.58.com/hezu/44406717177478x.shtml,121.473701,31.230416
整租 | 豪华地段德华四村大三房紧邻南翔小学 自住装修 保养得,德华四村,4500,https://sh.58.com/zufang/44655809017614x.shtml,121.473701,31.230416
