﻿视频标题,视频时长,观看人数,弹幕数,up主昵称,上传时间,视频链接,评论链接
中国人的文化自信，就应该在这里找！,03:28,2.8万,61,一条视频,2019-11-20,https://www.bilibili.com/video/BV1XJ41117kT?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=76405590&sort=1
海外华人角度聊中国文化输出，文化自信，是我们每个中国人的责任,08:10,4043,28,澳洲刘凯文,2020-11-17,https://www.bilibili.com/video/BV1XK411G7T6?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500289010&sort=1
中国人不应该过圣诞节？抵制洋节日才是文化不自信的表现,02:18,879,2,雷雷和乔乔,2020-12-24,https://www.bilibili.com/video/BV1kA411p72Y?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=330860653&sort=1
中华文化的自信！全国掀起汉服热！配上魔性歌曲，画面太美了！,04:03,73.1万,1340,每日鲜音乐,2019-04-04,https://www.bilibili.com/video/BV1sb411W7EV?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=48231170&sort=1
中国没有神话？哪吒大火的背后是文化自信,15:51,3.2万,241,记录官残阳,2019-08-31,https://www.bilibili.com/video/BV1A4411m7AK?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=66161451&sort=1
葛剑雄：文化何以自信,02:07:21,5217,31,东风-寄千愁,2020-05-22,https://www.bilibili.com/video/BV1gT4y1g7jd?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=925804357&sort=1
故宫博物院前院长单霁翔：中国人凭什么充满文化自信？,03:50,2095,0,视界中国CM,2020-08-20,https://www.bilibili.com/video/BV1xC4y1t7jo?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=796768840&sort=1
文化自信的文化，就是“你的就是我的，我的还是我的”,04:44,5.4万,367,我是章小亮,2019-07-24,https://www.bilibili.com/video/BV16t411L7mL?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=60571684&sort=1
康震-中国文化的自信和力量2017,02:04:58,4242,37,一点零一的N次方,2020-06-12,https://www.bilibili.com/video/BV1PC4y1a7jY?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=795903987&sort=1
俄罗斯文化崛起告诉我们：文化自信的源头，就是民族自信,03:35,6.0万,266,我是章小亮,2018-07-11,https://www.bilibili.com/video/BV1Ms411H7Zb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=26607983&sort=1
坚定文化自信，建设文化强国,06:21,421,1,天地西伦,2020-12-18,https://www.bilibili.com/video/BV1Ef4y1e7N2?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=288216116&sort=1
中国文化复兴的自信力量 外国网友:地球上没有哪种文化能与之比肩,12:00,6.3万,317,歪果看中国,2020-05-30,https://www.bilibili.com/video/BV11k4y167iJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=753290722&sort=1
南开大学教授艾跃进——我们要有文化自信,00:34,5128,4,默写无惧,2020-05-14,https://www.bilibili.com/video/BV1dz4y1R7B8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=583164100&sort=1
【单霁翔】讲述中华文脉与文化自信（中华文化大讲堂 首讲）,46:32,755,1,爱学习的小刚子,2020-10-23,https://www.bilibili.com/video/BV1L5411L7Pn?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=457552523&sort=1
我坚决不过圣诞节，坚定文化自信！,03:49,249,1,北漂频道,2020-12-24,https://www.bilibili.com/video/BV1Az4y1k7XJ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=585866222&sort=1
【走向共和】馄饨摊主论文化自信,02:25,15.0万,336,宇治川英治,2020-11-29,https://www.bilibili.com/video/BV1vy4y167er?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=797875017&sort=1
郭继承：《坚定文化自信——从四史学习到文化自信》,02:00:15,970,14,长江日报传播有限公司,2020-12-18,https://www.bilibili.com/video/BV1my4y1S7tw?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=798127091&sort=1
没有热爱就成不了李子柒，没有一个字夸中国好，但她讲好了中国文化，讲好了中国故事。今天起，像李子柒一样热爱生活，活出中国人的精彩和自信！,04:56,4.7万,67,福大卷爱剪辑,2019-12-13,https://www.bilibili.com/video/BV1HJ411C7D1?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=79058465&sort=1
复旦大学张维为教授讲解东西方政治经济文化【中国人，你要自信】,17:00,1.6万,14,天罡之斡旋造化,2018-07-22,https://www.bilibili.com/video/BV1ts411K799?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=27448035&sort=1
【青课2.0 好好学习】第9集《坚定新时代中国特色社会主义文化自信》张明明,48:12,2.6万,33,共青团中央,2018-11-22,https://www.bilibili.com/video/BV1ht411U7b7?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=35822450&sort=1
王建林；要想文化自信，必须克服崇洋媚外的心理。,03:40,9597,42,白山黑水背嵬军,2020-03-06,https://www.bilibili.com/video/BV1PE411s7pv?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=94027093&sort=1
希望借此次疫情大力弘扬我们的传统文化，文化自信要坚定,00:34,4392,24,骗眼泪的文艺龙茗川,2020-04-24,https://www.bilibili.com/video/BV1ze411s7o4?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=242915171&sort=1
温铁军教授现代化发展的国际比较。制度自信，道路自信，理论自信，文化自信，说到底还是文化自信。,02:06:36,3.5万,45,温铁军教授的小迷弟,2019-11-21,https://www.bilibili.com/video/BV1iJ41127UM?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=76516361&sort=1
李健：唱歌咬字不清晰，是对文化的不自信。歌手须重视歌词。,01:48,16.8万,279,远方的眺望者,2020-12-18,https://www.bilibili.com/video/BV1Jp4y1678F?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=970691533&sort=1
司马南2009北大讲座：中国的文化自信与体制自信（1）,18:24,3.3万,207,司马南,2020-09-14,https://www.bilibili.com/video/BV1ZK4y1h7wS?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=884502063&sort=1
郭继承纵论“文化自信”,08:51,418,3,长江日报传播有限公司,2020-12-17,https://www.bilibili.com/video/BV1QV411h7vx?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=415727758&sort=1
司马南2009北大讲座：中国的文化自信与体制自信（3）,41:46,1.7万,186,司马南,2020-09-18,https://www.bilibili.com/video/BV1sv411C7NG?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=244584677&sort=1
儒商论域 · 第二讲：企业家精神何所向：中华文化自信的底层逻辑浅淡,02:11:11,311,0,北大高研院,2020-12-24,https://www.bilibili.com/video/BV1Gi4y1w7Vg?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=543321431&sort=1
【葛大炮音频】文化何以自信,01:44:46,719,0,历史系の沙丁鱼_llz,2020-11-16,https://www.bilibili.com/video/BV1fa4y1p7Lo?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=670368954&sort=1
什么是真正的民族自信？《生命·成长》| 尹烨,00:59,1.2万,12,此念文化,2020-03-06,https://www.bilibili.com/video/BV1TE411472M?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=93413053&sort=1
【曾仕强】为什么中国人从来不讲自信？,02:10,8617,11,星坤承易学文化,2020-11-02,https://www.bilibili.com/video/BV14K411G7yW?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500173926&sort=1
【文化自信的理由】王者荣耀学术顾问葛剑雄主讲,04:03:02,4337,14,文采飘逸的归来,2020-06-15,https://www.bilibili.com/video/BV1PV411k7BP?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=413564149&sort=1
司马南2009北大讲座：中国的文化自信与体制自信（2）,36:48,1.4万,233,司马南,2020-09-15,https://www.bilibili.com/video/BV1xv411C7rQ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=244596141&sort=1
导演论坛：青年世代与文化自信 | 中国电影金鸡奖,01:25:26,2218,1,哔斯卡金像奖,2020-11-27,https://www.bilibili.com/video/BV1iK411V7dm?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=500432741&sort=1
评分9.8的国产动画，开宗辟题，以武侠的悲鸣重塑中国动画的文化自信,12:07,36.6万,991,赫萝老师,2020-01-11,https://www.bilibili.com/video/BV1cJ411p7C6?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=82955188&sort=1
[时代少年团]以人民为中心、坚定文化自信、引领社会风尚。,00:28,356,0,珠珠zmzzz,2020-12-24,https://www.bilibili.com/video/BV18X4y1T7re?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=713356854&sort=1
mercy膜老师为上青年大学习之文化自信做演讲准备,23:53,4627,58,ZOO_PL,2020-06-20,https://www.bilibili.com/video/BV1C54y1B7m5?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=841087153&sort=1
【业余毁三观】中国人对自己文化没自信？日本的传统文化输出不过亚文化。字幕版,12:26,1.4万,259,龙宇君的老号,2018-05-09,https://www.bilibili.com/video/BV16p411f7iX?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=23199550&sort=1
公务员面试，审对题，你就赢了|文化自信是个啥？【面哥讲题】,06:59,165,0,面哥说面,2020-12-14,https://www.bilibili.com/video/BV1gy4y1i7Jw?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=800717979&sort=1
外国人学汉语难这件事，为啥增强了国人的文化自信？,07:10,10.5万,1563,KatAndSid,2018-04-11,https://www.bilibili.com/video/BV1oW411K7v9?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=21959135&sort=1
说中国好是财富密码？为什么你们没有文化自信呢？外国的月亮圆？,02:27,2980,30,越南玲,2020-08-07,https://www.bilibili.com/video/BV1yZ4y1M7js?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=371688511&sort=1
为中国文化自豪！那惊艳时光的汉服，是华夏之美，是文化自信！,01:32,7905,68,云仔de日记,2019-09-17,https://www.bilibili.com/video/BV15J411w7oG?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=68085025&sort=1
十九届五中全会第六弹——坚定文化自信,05:36,2143,5,公考小缅-面试,2020-11-07,https://www.bilibili.com/video/BV1i54y1r7zM?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=842664395&sort=1
司马南2009北大讲座：中国的文化自信与体制自信（5）,16:44,2.9万,250,司马南,2020-11-11,https://www.bilibili.com/video/BV1hz4y1C7dD?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=585136174&sort=1
满清民国拜洋神，无民族自信，无文化自尊，无工业体系，自取灭亡,02:11,1543,4,葵倾震旦-日出东方,2020-09-15,https://www.bilibili.com/video/BV1J54y1m7W5?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=839581883&sort=1
北大思政课：中国理论为什么值得自信？,37:50,6364,0,北京大学,2019-12-16,https://www.bilibili.com/video/BV1VJ411672i?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=79466154&sort=1
日本人的素质真就这么高么?中国留学生为什么会遭受歧视？中国正在崛起，自信也请复兴！,05:21,6.8万,714,令和日本留学,2020-03-29,https://www.bilibili.com/video/BV1w5411r7sq?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=455051559&sort=1
习近平在看望参加政协会议的文艺界社科界委员时强调 坚定文化自信把握时代脉搏聆听时代声音 坚持以精品奉献人民用明德引领风尚,09:40,9.5万,2,共青团中央,2019-03-04,https://www.bilibili.com/video/BV1qb411i7nb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=45374263&sort=1
【复旦王德峰教授[10]】命理学-中国式的科学！中国文化真的很自信！,03:11,1.0万,26,悲酥轻拂,2020-03-27,https://www.bilibili.com/video/BV1r7411X7jj?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=99627651&sort=1
李成儒穿狱服朗诵《狱中日记》，史航：文化自信源于文化的依恋,19:09,5062,0,情感需要咕嘟,2020-01-08,https://www.bilibili.com/video/BV1LJ411G7Xa?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=82589442&sort=1
洞箫吹凑《孤星独吟》。民族复兴，首先要文化自信，弘扬民族文化，传播千年古韵！,03:09,17,0,箫埙缘,2021-01-04,https://www.bilibili.com/video/BV1Wv411x7LD?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=246020096&sort=1
宫猫金宝的改名过程，失去了仅有的文化自信。,02:48,1.1万,22,宫猫图鉴,2020-08-18,https://www.bilibili.com/video/BV1X5411873K?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=456772547&sort=1
【杨幂】五分钟告诉你《筑梦情缘》的立意有多高：文化自信、性别歧视、女性独立、以人为本,05:26,8933,100,爱生活--爱大幂幂,2019-05-13,https://www.bilibili.com/video/BV1i4411a76R?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=52330676&sort=1
司马南2009北大讲座：中国的文化自信与体制自信（4）,36:48,4.9万,464,司马南,2020-11-10,https://www.bilibili.com/video/BV1da411c7Dx?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=202740792&sort=1
各地的夸张巨型地标建筑，背后是文化的不自信？你们那有吗？,01:59,9675,29,鲁生可畏,2020-10-12,https://www.bilibili.com/video/BV17a4y1L7CZ?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=669918483&sort=1
"【一堂好课】郑爽提问如何自信的表达自己：一切源于强大的内心
",01:57,18.5万,344,综艺哔哔姬,2020-02-21,https://www.bilibili.com/video/BV1i7411w7Y9?from=search,
印度网民号称亚洲第一强国，迷之自信源泉是啥？【印度】,07:12,3.9万,316,孤寂寒光,2020-07-04,https://www.bilibili.com/video/BV1oK411n7Zc?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=498720054&sort=1
CCTV专访花絮全球五百强小姐姐聊聊文化自信,02:34,1.1万,6,就是Cathy啊,2019-10-05,https://www.bilibili.com/video/BV1fE411X71Q?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=69623197&sort=1
这是什么梗：勿que？他那么普通，que那么自信,00:55,4383,4,李没梗,2020-11-16,https://www.bilibili.com/video/BV1az4y1y7Wb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=585333245&sort=1
北大思政课第六集：中国制度为什么值得自信？,45:34,5765,0,北京大学,2019-12-24,https://www.bilibili.com/video/BV1tJ411x7Uv?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=80445559&sort=1
蹭碟的自信,00:16,54,0,胖胖的国旗,2021-01-03,https://www.bilibili.com/video/BV1Ha4y1n7sn?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=670904371&sort=1
[以人民为中心、坚定文化自信、引领社会风尚。欢迎大家和@时代少年团  一起关注由@环球时报 主办的 #时代旋律 家国情怀 —— 环球影视文化传播优选#,00:21,8397,2,爱听小马哥唱歌的楼丝,2020-12-23,https://www.bilibili.com/video/BV1q54y1t7HK?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=843306635&sort=1
【人文】经常使用“我只是”、“我在想”、“XX要我这样做”....这样的口头禅并不会让别人觉得你好说话，反而会觉得你缺乏自信、不真诚。,03:35,7716,1,大宝剑联盟,2020-08-05,https://www.bilibili.com/video/BV1dK411J7Bq?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=499042989&sort=1
自信的中华文明,03:14:48,161,2,真如国学,2020-10-11,https://www.bilibili.com/video/BV19a411w7Fb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=202432887&sort=1
韩国疫情反弹，吐槽一下韩国人的迷之自信！,06:49,3034,16,旅行大壮五千环游中国,2020-08-25,https://www.bilibili.com/video/BV1SZ4y1K7Qs?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=371872039&sort=1
【闲聊】18岁来中国留学/工作/生活的日本人眼中的中国人是怎样的？凶？吃太多？不剃腋毛？蜜汁自信？,12:58,44.9万,6317,泡福Witheve,2019-04-05,https://www.bilibili.com/video/BV1yb411g7Q8?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=48381974&sort=1
【Drama姐妹花Vlog#4】在日本穿汉服出街，50米的路走了40分钟，中华文化的自信,03:08,6.4万,117,露西西米露OnLine,2019-07-22,https://www.bilibili.com/video/BV15t411J7u3?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=60221550&sort=1
【七哥撩车】国产车用中文按键真的可以提高文化自信吗？,00:54,3.3万,35,七哥撩车,2020-05-13,https://www.bilibili.com/video/BV1Ee411W72T?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=243176626&sort=1
【闪耀暖暖】材质对比，累了，直接看简介吧。请不要忘了，我们中国人的文化自信！我们守护文化精神！可以的话，看看简介和评论置顶吧。,19:25,1.0万,21,樾槐,2020-11-04,https://www.bilibili.com/video/BV1PV41117uK?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=415192203&sort=1
【阿曾】初到美国要如何融入当地校园文化 | 自信的人最美 | 美国留学那些事,09:26,1.9万,39,阿曾曾儿,2018-07-27,https://www.bilibili.com/video/BV1ps411A7ua?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=27863266&sort=1
曾仕强：所有人都告诉你，一个人要自信？千万别上当，这样才对！,01:44,4.0万,18,UP主硬照鬼才,2020-01-30,https://www.bilibili.com/video/BV1g7411679K?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=85659269&sort=1
郑强教授讲陕西百姓有自信是因为有兵马俑和西安交大等名校!,07:05,4.0万,167,取个名字真难aoa,2020-04-24,https://www.bilibili.com/video/BV1Sk4y1r7GT?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=752969332&sort=1
美帝文化自信巅峰时期的作品  糊涂侦探1-02 外交官的女儿 这集电视版没有,05:27,5645,39,凉凉的考古,2019-12-08,https://www.bilibili.com/video/BV1JJ411v7wb?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=78538855&sort=1
【王珮瑜】瑜老板“抛难题”给老艺术家 裴艳玲老师接招展现民族自信文化自信 语速平和却字字铿锵,01:44,9344,17,汀苳,2020-05-15,https://www.bilibili.com/video/BV1J54y1D7g4?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=840727337&sort=1
曾仕强：所有人都告诉你，一个人要自信？千万别上当，这样才对！,01:44,1.5万,15,UP主硬照鬼才,2020-07-20,https://www.bilibili.com/video/BV1W54y1q7gW?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=841348268&sort=1
Incredible India 印度獨有的音樂民族的舞蹈賞心悅目，在歌舞娛樂方面體現自己的文化自信,02:55,3935,2,Winnifred7750,2020-04-13,https://www.bilibili.com/video/BV1cK411j7PU?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=497718464&sort=1
【李里西】说英语=崇洋媚外？对本土文化有自信，就不会这么想了（全英视频）,06:44,2.4万,146,李里西,2020-11-15,https://www.bilibili.com/video/BV1Ri4y1L7qj?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=542816591&sort=1
美国人也开始不自信了？美国议员建议“中国留美学生应该只学文科”，殊不知如果真的这样做才会害了美国,04:55,8.9万,274,通晓天下事,2020-04-29,https://www.bilibili.com/video/BV1wk4y1k7R4?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=752983399&sort=1
印度人的蜜汁自信都是谁给的？,05:32,10.0万,211,未知局,2020-07-24,https://www.bilibili.com/video/BV1PT4y1j7f9?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=926469669&sort=1
用公知思维思考印度，我突然知道他为什么自信了,07:17,9.2万,560,孤寂寒光,2020-08-13,https://www.bilibili.com/video/BV1Ci4y1u7tj?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=541641429&sort=1
世界搅屎棍的优越陷阱与华夏民族的自信重塑，心理上的自我否定和情感上的社会屈从,25:38,6236,309,心医林霖,2020-07-30,https://www.bilibili.com/video/BV1ih411Z7XS?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=201571729&sort=1
好奇大叔【三看印度人】解密 “迷之自信” 之谜,21:23,1804,2,战芙局驻湘通讯处,2020-09-26,https://www.bilibili.com/video/BV1w54y1176y?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=839659698&sort=1
伊拉克女性：裹头饰露出脸颊，比阿富汗女性自信开放,04:54,3.0万,175,冒险雷探长,2018-05-03,https://www.bilibili.com/video/BV1CW41137VB?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=22928636&sort=1
王老菊教你骑砍04：文化自信南帝国,52:07,131.2万,3.0万,怕上火暴王老菊,2020-04-21,https://www.bilibili.com/video/BV13i4y1t7KE?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=540331033&sort=1
【文化自信/衣锦夜行/比赛整活/2020年黄金联赛6月8日比赛/】,01:42,6476,7,MC299,2020-06-08,https://www.bilibili.com/video/BV1jZ4y1W7eY?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=370892425&sort=1
曾仕强：一个人太有自信，对自己是非常不利的，对自己有自信心是很肤浅的,11:10,1592,0,UP主硬照鬼才,2021-01-04,https://www.bilibili.com/video/BV1To4y1Z7ww?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=373320665&sort=1
外国博主：这样的中国需要你们的救赎吗？国人自信！老外夸咱们了，,00:19,616,0,尼古拉司机-Nicholas姬,2020-12-07,https://www.bilibili.com/video/BV1jy4y1S71E?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=798028801&sort=1
【蘇格蘭土生土長】謝嘉怡融合兩地文化_自信能代表香港,03:54,3703,6,supervior,2020-09-19,https://www.bilibili.com/video/BV1xt4y1q7J4?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=627233351&sort=1
【东梦人物志】拿破仑加冕为皇帝！自信如LBW一般的沙皇败北！,23:42,3.6万,540,酒痴东梦,2020-09-12,https://www.bilibili.com/video/BV1av41117RA?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=244513722&sort=1
无印良品、贡茶、资生堂…日本疫情下开张旗舰店的自信源于何处？(中日双语)(20/12/03),10:12,9552,11,MOJi辞書官方帐号,2020-12-04,https://www.bilibili.com/video/BV1Za411F7cC?from=search,https://api.bilibili.com/x/v2/reply?pn=1&type=1&oid=203072239&sort=1
