B站id,昵称,性别,回复内容
传统文化不能丢,8020298,法号清森,保密
总结就三个字“不服输”。流在血液里，刻到骨髓里的那种。,314979136,游川随风戏,保密
四分二十八秒up是哽咽了么,237266373,墨笔青灯映琉璃,保密
自古文死谏，武死战，文武双全则出将入相。天子守国门，君王死社稷。中华文明屹立不倒，不是没有原因的,2540838,没教养的工具人,男
这么说吧，我相信我国的文化，但当下谈文化自信就好比你给我一把枪，却非得让我拿枪托砸人一样[无语],1930755,73MORO,男
最近K的视频越来越水了。,30027889,芥子晓草,男
已三连,111479863,硬币保护协会,保密
这个视频曾经发过了吧。是重制作了嘛。我说有段时间找不到这个视频了。,436194681,跳起来给你掌,保密
一个赞一个币还是我投的好惨,53093034,麻瓜不是呆瓜ぃ,女
918再来N刷,436194681,跳起来给你掌,保密
巧了，昨晚刚做肖大大的考研政治1000题，原题。文化自信来自中华5000年优秀传统文化,284062819,DiVinE啊,保密
等等，这些台词和你去年的一个视频說的一模一样,103683170,悠唐双子星,保密
还有一个重要的原因，那些增幅华夏的外来民族没有像msl一样大量贩卖汉族女性做女奴（女性是可以生育，如果一个民族的女性被另一个民族的掠夺光了，没有生育人口；这个民族因为繁衍不出后代就灭亡了）。,88196824,北冥寒霜,保密
这个是不是发了好几次了，我好像看了好几次了。难道老K是找不到说什么了，就又发一次？,409579678,胖嘟嘟小猪猪,保密
喜欢上集！！！当然这集也非常不错，只是个人喜欢上一集！,405089220,神魔不是妖怪,男
为啥总搞这个。我看新闻联播不比这个强。开个公众号能不能把团委和党委人员请出去,228366800,我家笨傻傻,保密
看完了，2000+的论文还是写不出来[热词系列_我哭了],221179204,免二呀,保密
4天时间看完了7节课，总体感觉北大的这个节目做的很棒的。两个老师同台竞技，非常有意思。厉害的人，厉害在他的思维方式成体系，思考问题全面且有章法。两位放在一起录制节目，拉垮的很容易就被看出来了。如果说我学到了什么，要用一句话概括的话，那就是认识规律，结合实情，运用规律才能把事情办好。,3772524,冷酷无情的小松鼠,女
"初三上册政治书
中国共产党领导中国人民开辟了中国特色社会主义道路，形成中国特色社会主义理论体系，确立中国特色社会主义制度，发展中国特色社会主义文化，这是中国自信，民族自信的根本所在
类型:中华优秀传统文化、革命文化和社会主义先进文化
重要性:是一个国家，一个民族对自身文化价值的充分肯定，是对自身文化生命力的坚定信念
为什么要有文化自信?坚定文化自信，事关国运兴衰，文化安全和民族精神的传承发展
如何增强文化自信？必须坚持马克思主义的指导，推动中华优秀传统文化创造性的转化，创造性的发展，继承革命文化，发展社会主义先进文化，不忘本来吸收，外来面对未来",333166636,蓝莓小官,男
薛定谔的评论区，薛定谔的自信,261024451,脉焓o,保密
我哥北大建筑系的研究生hh[呲牙],431139277,牛牛视界,男
孙熙国 孙蚌珠 ……[喜极而泣],33805759,么么么sn,男
marx不是德国人吗,338754262,晋国最后一个武士,保密
两位老师很多方面讲的非常好，但是我觉得许多问题并没有扣住主题，有些脱离了主题，对于如何建立文化自信这一方面也没有给出很好的解读,288420861,多特蒙德-BVB09,保密
1,287026017,唐宋元明清_____,男
这对我期末很有帮助啊[妙啊],177240632,hb毒,保密
薛定谔的评论区，薛定谔的自信,12515707,klxxsisParagon,男
不说了，重拳出击[热词系列_battle][热词系列_battle][热词系列_battle],22191806,戳戳戳戳戳戳龙,保密
文科生上必修三感觉学的不透彻，听了这节课觉得整体把握能力提升了不少[OK],184358688,西川北马,男
(⊙o⊙)哇，都看完了，受益匪浅。,51923960,良水凉,女
啥也不说了，易马合一，天下无双,18910099,anordtraffic,男
看得我头疼，盘子里放了一块砖，硬不硬？,427286048,76866278106_bili,保密
国家强大了,436168264,Vsinger包弟,男
[笑哭]2020高考考上北大,85272290,_新一_,男
👍,42143788,弥勒来,男
官方的文化推广。果然有水平gf,193490596,这不是我最胖的时候,保密
请问这是CGTN的节目吗？在哪里可以找到呢？谢谢阿婆主[害羞][害羞],344412746,猪猪俱乐部,保密
我是在学习强国发现的 非常喜欢,168065472,Legion-official,保密
当然是从言论自由那里来啊，其他国家言论管控太严重。[支持][支持][支持],621004713,账号已注销,保密
虽然中国文化被毁了很多次，但也不是一个外国人能理解的。对牛弹琴肤浅的很！ 这种片到故宫照几下，再穿上清朝野猪皮的丑陋衣服，去丢失文化大半的街道就是中国文化自信了？我不是杠这个外国人确实理解不了中国文化。我甚至怀疑有人给钱让他拍的。,413719261,潇湘故郡,男
什么时候没有外国人代报案这种东西了再谈自信吧，笑死了。,26692507,懒癌_晚期,男
当然是中国创造的历史！历史是最好的记录,73553924,为什么追我wq,保密
这个视频对于高中作文真的很好,480119100,还存在着光芒,男
大大，能不能请求下视频原件呀,375307005,22962999030_bili,保密
？[微笑]（ ’ - ’ * ),420347023,卤煮s体味,保密
u care coz u got paid.,40490168,北美吸猫研究所,保密
我就喜欢这个在情人节里发着一本正经视频的up主[doge],39717246,-我不想抽烟,男
对本民族文化认同感太低，说白了有些人骨子里的自卑，说京剧就说过时没人听，说唢呐就知道红白丧事，说二胡就知道瞎子要饭，搞得像这些本民族文化都是拿不上台面的东西，俗的东西，西方日本的就是高大上的。追其根本我觉得除了自卑，第二点是不了解，我国对传统文化弘扬确实做的不好。举个例子，当你现场听一曲唢呐的百鸟朝凤，一定是现场的，我相信你会对唢呐这个乐器有全新的看法。,40948586,五律拖他嘛80,保密
这确实是很致命的问题,9266370,奇迹cat,男
对自己脚下的历史不以为然，对外界编造的幻想疯狂向往,207341370,Praise-the-sun-,保密
对待外来文化要以我为主，为我所用,109982513,猫的波粒二象性,保密
五卷毛选抵得上一万个孔子学院,53336166,LOVE殇COC,保密
我国其实两极分化很严重的，要么就太不自信，要么就太自信了,487184445,星辰-star-sky,男
某个说着“我爱中国”的某国人的爆火，就是大多数人缺乏文化自信的表现[tv_无奈],381479354,我不不不是上单,男
孔子学院就是最好的文化输出，黑神话悟空是网瘾游戏会教坏小朋友[doge],4830966,兵长来削你了,女
没关系，我们的自信正在慢慢找回[奋斗],236468109,从海到海_,男
文化有要有好的载体去表达，这才让人想要去了解。前些天的黑神话悟空就有不少外国人表示想了解西游。越是发达地区文化越是有优势这也是没办法的事，毕竟落后地区缺乏好的载体成长分好土壤。不过随着这些年中国国际地位的提升，这些都会慢慢改善的。,8877196,ID已被制裁,保密
我就想知道这款车的主动安全和被动安全性能测试怎么样，品控怎么样。扯文化其他有的没的没啥用，除了标价和喷漆对这车还一无所知。,13288012,沐云111,男
很奇怪，零几年我上小学、初中的时候，国内公知还很猖狂，老师也非常吃这一套，都会说什么日本的卫生、美国的民主，但我和我的同学就是对中华的历史，高度自信。而我那时候也不太明白GDP世界第三、第二有什么意义，但总隐隐感觉我们会崛起。至于到底为什么，可能还是对历史文化的自信吧。,26196522,叫嚣的-咸鱼,男
"我觉得我们欠缺的不是文化自信，而是对文化的延续。
文化不是静态的，而是随着时代不断发展的。我们需要把传统文化进行现代改编，才可能适应现代世界。
日本忍者武士文化流行，但这些不过是日本古代地主的打手而已，一个类似盗贼一个类似强盗，没什么了不起的。现在之所以能流行，更多的是因为现代影视文学甚至漫画里大量出现这些东西，并且加以现代化改造，才能为世界接受。而不是因为日本人有多自信。
真把日本人古代的那些土贼形象拿出来，现代谁能喜欢那种东西。",135620,Wollaston,保密
"谢谢你的特别关注，这期是广告哈[笑哭]
[doge][doge][doge][doge][doge]",286452195,-Z的绝对值-,保密
我记得以前所说的“崇洋媚外”是指无脑的吹捧西方来贬低中国，后来不知道怎么回事渐渐变成了只要带有西方元素就是崇洋媚外,854248,黄昏の天空,保密
中国人不缺文化，缺的是文化讲述的方式。,495031326,究极白飘怪,保密
看前半句标题，就猜对了后半句[撇嘴],184789743,叶修鸭,保密
但现在有一种所谓的文化自信就是无脑踩国外，容不得别人说中国的半点不行，否则就是移民警告、牧羊犬警告,385448139,修昵改称耗要个6币,男
虽然我对韩国这个国家没什么好感，但有的方面不得不佩服他们。韩国是一直被其他国家欺压，那么小一块土地，硬生生是发展成了发达国家。像韩国没有什么突出历史文化。就把别人的文化学过来，然后经过改造又发扬出去，还赚了外国人的钱。比如电影就不是韩国人发明的，但韩国人学过来以后好好拍电影，还拿了奥斯卡。像男女比例失调问题，以前韩国也发生过，但韩国是硬生生地法揪过来了。中国人一直说韩国人抢中国的文化，但全世界唯一能完整写完孔家乐府的国家不是中国，而是韩国。韩国日本还帮助我保存了一些历史文化。在很多方面，中国还真应该向韩国学习。,177579429,未生WL,保密
国漫容易被某些家长投诉举报,94388082,剑伊尘,保密
6个人的制作组，真的太良心了,16030838,是草履虫也是小丑,男
个人觉得当初央视播的哪吒传奇和老西游记动画片就是国漫自己风格动画片,11515809,王不留行小羽羽,保密
"为什么要坚持走出自己的风格，up一本正经的写了一堆我看不懂的东西（bushi）🌚
我就不一样的，我这种俗人只会这么想。
我中华上下五千年的历史连自己的动漫风格都没有是不是太丢人了？
中华上下五千年的历史积攒了那么多优秀的神话故事，小说话本，如果全用外国动漫风格改成了动漫我们中华还要不要脸了。🌚🌚🌚",28786189,任道闲,女
"提文化自信的事我今天恰好看了点相关的资料，特别想说话，如果说的不对，请见谅

其实国外也有限制，也和谐，也分级
如果默认了小孩子可以看，确实不好

但很多人不明白的是
小孩子学坏绝不是从什么网络，电视上，游戏里
小孩子主要受到的，还是爹妈的影响
爹妈天天狐朋狗友吆五喝六，这孩子就是天天只能看cctv，也得往流氓堆里扎

看个动画就怕孩子学坏了，我认为这就是文化不自信的表现之一
文化自信应该是，感动我就流泪，胡闹我就大笑，大饭店我不嫌装，小饭馆我不嫌脏


再说动画质量

我觉得大家的关注点不对

少年锦衣卫，一人之下，567，等等，诸多国产优秀作品
每一个出来观众老爷门都以望子成龙式的心态一寸一寸的衡量着国产动画与日本动画还差多远
在苦苦探寻有没有超越的迹象

然后扭过头来，又以恨铁不成钢的爸妈心态，拿着放大镜开着扬声器，喷着没那么好，没那么火，甚至有些奇葩，有些**的国产动画

其实，脑洞惊奇，人设奇葩，剧情雷人
实在是再正常不过的事了，
全世界烂片出的最多的就是好莱坞
烂动漫出的最多的就是日本

我们嘲笑着父母辈的保守，审查制度对思想的束缚
但扭过头来就带上了红袖标，攻击所有不合自己眼的内容
怕尴尬，怕丢人
没有任何金字塔是只盖顶部的
我认为这是文化不自信之二

而文化自信应该是反思
国创的问题不是精品不够多
而是奇葩，雷人，肯不嫌丢人不怕血亏瞎j，b弄的人，还太少。


最后说风格

我反对大家一提国漫自己的风格，就是什么水墨，什么大闹天宫，小蝌蚪找妈妈，再不就是什么仙侠古装
但凡和日漫有点像就 开始云云没出息，跟着人家屁股后面跑
再像一点，就骂抄袭
当然我也反对像搞出高铁侠这种赤裸裸抄袭的下三滥
抄袭和借鉴的点在哪里
我认为关键还是***了别人的优点，用了别人的元素
你有没有在其上发展出自己的东西


孙膑弄个风林火山被日本用多少年了
还有孙悟空
隔几个故事就出来蹦达一回
可没有人说这是中国风

虫师通篇的写意山水，没人说这是中国风的动画
这么转到我们自己，别人走过的我们就不敢走了，别人用过的我们就不敢用了
非得像找黄花大姑娘一样，验完一遍又一遍
确认好从历史上，文化上，情感上，确实是我们自己的了，然后才迈腿？

我认为这是文化不自信之三

文化自信的样子该是你没走过的路，我赶走，你走过的路，老子总有一天走到你前头


以上",1455343,不可思议叔,保密
"我觉得画风只是动漫的皮，核心是人设是剧情，应该先把人设剧情做好，再来讨论画风。
剧情和人设不符合中国人的情况，画风再好也白搭，就像看到国漫里面，主角吃饭先说一句“我开动了”，也瞬间没了国漫的感觉。
像一人之下这方面就做的挺好的，背景和打斗招式融入传统文化，比如西游记，武侠门派，神话传说。
人物设定上也不像日漫的塑造，而是符合中国的现实情况，比如老一辈的中庸处世观，中年一代的朴素辩证思想等等。
剧情上即有悬疑的色彩，还夹杂一些对国内现实批判和思考。比如程序员剧情，对小说动漫中的无脑女主的批判。陈朵剧情中，对父母安排的人生规划是否合理的探讨等等
一部动漫能在方方面面体现中国的文化，中国人的思维方式，中国人的处事方法。这才是国漫的文化自信。",1320501,紫夜枫彩,男
"个人觉得吧，等哪一天我们不再纠结于所谓的“中国风”，不再把“大国自信”放在嘴边去评论动画，能够很容易把国内的作品无差别的跟外国的小伙伴讨论，才是真正文化自信。
眼下我们可以鼓励这种艺术动画，也不要急于去批评商业动画，支持所有用心做动画的动画人，笔芯ღ( ´･ᴗ･` )",1590765,黑濑陸,女
汉服也是，明明很好看，但连爱好或者节日穿着都寥寥无几，虽然近几年cos圈兴起带起了一点汉服文化，但那也只是部分一二线城市。可是西方的西装白领就成了主流亦或正式场合的必备着装，这就是文化入侵，不知不觉中，就会被影响。西装我也觉得确实穿起来很精神，但那毕竟是符合白种人体型所衍生出的文化装扮。就连被欧美文化入侵严重的日本，也在节日中会换上自己名族的和服以传承文化且以为美。相应的，我觉得中国的很多优秀文化也应该我们大家自发的传承下去，何况还是那么仙的汉服。,25923994,养了一只猫咪,保密
八门遁甲不也是借鉴奇门遁甲吗？弹幕有脸说什么借鉴火影？剥开日本的文化外衣到底有多少属于日本自己独立的衍生文化大家心里都有B数,17156311,洚梦,男
了解一下前苏联怎么被老美玩死的，现在这个时代不像上个世纪，越是大国就越不会轻易动武，而是选用经济战、文化战这种“相对温和”的方式，说UP阴谋论的，不是人天生就懂阴谋，而是有前车之鉴啊，“和平演变”还没退出历史舞台呢，老美的好莱坞电影有一部分就是为了传播它的价值观来的。而且现在有很多人，逢中必反，无脑舔洋大人，还不能看出文化侵略有没有威力？,26437135,该账号因三连已被封禁,男
"首先分清楚商业动画和艺术动画，再来谈什么是国漫该有的样子。up的标题是把国内这么多学习日漫风格的的动画及其幕后辛苦的制作人画师全否定了？
麻烦搞清楚，二维之所以学日漫风是因为日漫风格及其制作流程是业界这么多年来摸索出的最适合商业化的模式，学习无可厚非，向比自己强的学习很奇怪吗？
再搞清楚一点，类似水墨等中国画的技法在商业动画中真的能完全拿来用？连日漫都没学明白就想着创新了？
还有画风只是形式，内在精神是不是中国的才是主要的，一人之下偏日漫风但是内在是中华道家文化的东西，有问题吗？
不去纠结内在是否有中国精神，偏偏在形式上求什么中国风，完全是舍本逐末的做法。",24995311,计之云,男
"本人初三，正在学下册政治，今天在政治书上看到这么一段话：20世纪中期，我国动画片的艺术水平曾作为“中国学派”蜚声国际动画界，以《牧笛》，《鹿铃》，和《山水情》等为代表的中国水墨动画片更是以轻灵优雅的独具东方神韵的意境享誉海内外。
而如今我国当前的动画制作却呈现出一味模仿日韩和欧美风格的倾向。动漫专家克里夫曾说过：“中国动漫多是模仿日本作品，没有形成自身特点。”他认为中国动漫的自身特点应该从中国传统文化中去寻找，因为“现在整个世界对中国文化都非常感兴趣”。
——纯手打ヽ(ﾟ´∀`°)ﾉ",310761424,拿雨伞的猫,保密
看字幕里的喷子真心影响心情，火影和这一样吗？麻烦你到医院看看眼睛，还有血是绿色的这个梗都用多久了，有没有完了，人家up主又没贬低日漫美漫，就是发扬中华文化，喷个鸡毛啊（情不自禁）不服来喷就是，让我看看这些养不熟的白眼狼到底有多少。,289502593,再战苍穹龙傲天,保密
"当一个作为ACG文化圈子内的创作者，拿着为国家争口气的目的去努力的时候，便已经输在了起点上。因为目的不够纯粹。
动画作为一种文化载体，与书籍、真人电影比起来也毫不逊色，他也有前两者所不及的表现手法。
比如，宫崎骏老爷子，他做动画的目的绝不是以让日本人歌颂他“让日本成为世界动画标杆”这类肤浅的理由来当作创作源泉的。
他所描绘的动画里，有更深层面的东西引发人们去思考。
过于追求画面与主题上所谓的“中国风”，无疑就是故步自封。
我认为，跳出这个框架，选择与时俱进的表达方式，认真地展现出一个好的的故事，用内容引起观众思考，和才能有可能塑造出大家想要的东西。
我们需要的不是只有“中国人看得懂的故事”，我们需要的是“全世界都看得懂的故事”。",11553986,并没有什么银魂用,男
忘记是在哪里看过的话，给我印象很深刻，（不知道真假，但是还是有一定的道理的）大约是一个建筑工程师（应该是）在非洲给当地黑人造基建，这好像是国内的免费资助。在那里建设的时候，那个工程师问黑人“我们给你们送吃的，还帮你们盖房子，修路，你们很感激我们吧。”黑人好像意思是（上帝要拿黄种人给白人当奴隶，但是黄种人跑了，于是抓黑种人替代，现在轮到你们来还了）那个工程师回来说，他们吃的是汉堡，喝的是可口可乐，信的是上帝，学习的是人家的思想，你基建恩惠做再多，也不如人家文化入侵强。动画漫画也是文化入侵，小孩子看的是人家的故事，接受人家的审美，听的歌是外国歌，追的星是外国人，连脑袋都快成别人的了，怎么不会对别人亲近。,26821703,阿斯瑞特,保密
