企业代号,企业名称,信誉评级,是否违约,进项价税合计,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比,行业
E11,***建设工程有限公司,C,否,144211948.1,466,465,11237620.67,56,7.792433858,12.01716738,4227179.06,32,4506623.377,24,0.883977901,148439127.1,4,4,11237620.67,56,7.570524623,1400,23,6453875.093,1,0.095147479,建筑业
E12,***建筑劳务有限公司,B,否,95447012.7,395,394,15775701.93,26,16.52823015,6.582278481,128237390.4,36,2651305.908,13,0.739897553,223684403.1,5,5,15775701.93,26,7.052660674,520,24,9320183.462,1,0.380228137,服务业
E13,***汽车贸易有限公司,A,否,103628503,722,722,6495664.99,106,6.268222356,14.68144044,108826268,37,2800770.351,39,0.294228593,212454771,3182,3171,6495664.99,106,3.057434276,3.331238215,37,5742020.838,73,1.07226792,批发零售业
E14,个体经营E14,C,否,125103670.2,906,905,13267406.13,182,10.60512941,20.08830022,83980361.55,35,3574390.578,130,1.991726674,209084031.8,820,820,13267406.13,182,6.345489905,22.19512195,35,5973829.48,42,1.356151114,个体
E15,***劳务有限公司,A,否,4803944.44,33,33,0,0,0,0,207020394.8,29,165653.2566,0,0,211824339.2,2,2,0,0,0,0,36,5884009.422,0,0,服务业
E16,***建筑劳务有限公司,A,否,292748.42,77,77,500,1,0.170795115,1.298701299,209117687.1,32,9148.388125,1,0.346020761,209410435.5,53,53,500,1,0.000238766,1.886792453,36,5816956.542,0,0,服务业
E17,***消防工程有限公司,A,否,142782019.2,869,869,13466922.27,144,9.431805452,16.570771,12198752.25,36,3966167.2,91,1.273974521,154980771.4,182,181,13466922.27,144,8.689414916,79.12087912,36,4305021.429,13,2.317290553,服务业
E18,***消防工程有限责任公司,A,否,137752837.2,642,640,10674052.77,90,7.748699037,14.01869159,49973637.33,36,3826467.7,31,0.568285976,187726474.5,46,46,10674052.77,90,5.685960276,195.6521739,36,5214624.293,2,0.579710145,服务业
E19,***科技有限公司,A,否,212140557.3,167,166,9205182.98,18,4.339190533,10.77844311,-31696671.23,36,5892793.258,3,0.202156334,180443886.1,508,505,9205182.98,18,5.101410295,3.543307087,36,5012330.169,65,2.304147465,科学研究、技术服务和地质勘查业
E20,***贸易有限公司,B,否,204339817.2,70,69,19848544.14,20,9.713498042,28.57142857,-12513413.57,36,5676106.033,3,0.288184438,191826403.6,25,25,19848544.14,20,10.34713875,80,36,5328511.211,0,0,批发零售业
E21,***建设工程有限公司,B,否,123194760.1,480,480,16059446.19,73,13.0358192,15.20833333,-4781821.85,36,3422076.669,22,1.025163094,118412938.2,325,325,16059446.19,73,13.56223942,22.46153846,36,3289248.284,46,3.221288515,建筑业
E22,***物流有限公司,A,否,74890175.94,80,80,7580296.76,14,10.12188403,17.5,37043817.58,36,2080282.665,18,1.184210526,111933993.5,45,45,7580296.76,14,6.772113209,31.11111111,36,3109277.598,12,0.878477306,交通运输、仓储业和邮政业
E23,***贸易有限公司,B,否,200994746.1,682,682,1895683.76,53,0.943150901,7.771260997,-17755814.07,36,5583187.393,74,1.541024573,183238932.1,117,117,1895683.76,53,1.034542026,45.2991453,36,5089970.335,34,0.988084859,批发零售业
E24,***建筑工程有限公司,A,否,86230669.41,367,367,1975174.67,29,2.290570958,7.901907357,54289698.25,36,2395296.373,16,0.798403194,140520367.7,48,46,1975174.67,29,1.405614505,60.41666667,36,3903343.546,28,1.709401709,建筑业
E25,***通讯设备有限公司,C,否,10004188.87,368,368,300618.2,16,3.004923277,4.347826087,27992847.55,33,303157.2385,6,0.431344357,37997036.42,233,232,300618.2,16,0.791162228,6.86695279,33,1151425.346,22,2.702702703,信息传输、计算机服务和软件业
E26,***金属材料有限公司,A,否,42645410.52,117,117,1730168.26,14,4.057103071,11.96581197,-5997407.03,36,1184594.737,1,0.131926121,36648003.49,42,42,1730168.26,14,4.7210437,33.33333333,35,1047085.814,2,0.444444444,制造业
E27,***农业开发有限公司,A,否,48889674.19,403,402,3064709.89,38,6.268624082,9.429280397,-4831453.69,36,1358046.505,22,0.888888889,44058220.5,177,175,3064709.89,38,6.956045558,21.46892655,36,1223839.458,24,1.727861771,农业
E28,***景观工程有限公司,B,否,1414753.47,61,61,119585,2,8.452709432,3.278688525,47614871.96,36,39298.7075,0,0,49029625.43,5,5,119585,2,0.243903556,40,36,1361934.04,0,0,农业
E29,***建筑劳务有限公司,C,是,186618.44,17,17,300,1,0.160755818,5.882352941,44984817.03,35,5331.955429,0,0,45171435.47,3,3,300,1,0.000664137,33.33333333,25,1806857.419,0,0,服务业
E30,***建筑工程有限公司,B,否,24220896.36,169,169,1111178,6,4.587683228,3.550295858,47272551.33,36,672802.6767,2,0.27027027,71493447.69,7,7,1111178,6,1.554237536,85.71428571,28,2553337.418,0,0,建筑业
E31,***食品有限公司,A,否,5059207.58,109,109,47364,5,0.936194043,4.587155963,42222830.02,36,140533.5439,1,0.247524752,47282037.6,151,151,47364,5,0.100173348,3.311258278,36,1313389.933,6,0.239904038,轻工业
E32,***建筑劳务有限公司,B,否,2542575.72,272,270,65287,10,2.56775047,3.676470588,41607906.57,32,79455.49125,6,0.213447172,44150482.29,10,10,65287,10,0.147873809,100,35,1261442.351,2,0.427350427,服务业
E33,***园林有限责任公司,B,否,69644756.16,240,240,15006989.59,46,21.54791031,19.16666667,-33323.52,33,2110447.156,14,1.235657546,69611432.64,84,84,15006989.59,46,21.55822545,54.76190476,33,2109437.353,14,1.535087719,农业
E34,***建设工程有限公司,B,否,52849851.65,447,445,10902888.92,77,20.62993288,17.22595078,37503662.51,36,1468051.435,44,2.124577499,90353514.16,64,63,10902888.92,77,12.06692293,120.3125,36,2509819.838,3,0.503355705,建筑业
E35,***商贸有限公司,B,否,33451922.23,103,103,4243493.58,18,12.68535049,17.47572816,1598193.53,36,929220.0619,11,1.737756714,35050115.76,31,30,4243493.58,18,12.10693171,58.06451613,36,973614.3267,2,0.271370421,批发零售业
E36,***超硬材料有限公司,D,是,22400406.1,417,417,1311567.48,41,5.855105814,9.832134293,12808589.82,31,722593.7452,6,0.384122919,35208995.92,198,198,1311567.48,41,3.725091971,20.70707071,31,1135774.062,33,2.309307208,制造业
E37,***木业有限公司,B,否,50078318.69,79,79,2074331.99,12,4.142175784,15.18987342,-6629385.27,36,1391064.408,2,0.337837838,43448933.42,276,275,2074331.99,12,4.774183914,4.347826087,36,1206914.817,14,1.182432432,轻工业
E38,***建设工程有限公司,B,否,13162533.92,236,236,2801318.39,19,21.28251602,8.050847458,35190101.99,33,398864.6642,4,0.417536534,48352635.91,8,8,2801318.39,19,5.793517431,237.5,31,1559762.449,4,0.724637681,建筑业
E39,***建筑劳务有限公司,C,否,373240.46,54,54,883,2,0.23657671,3.703703704,28797926.85,30,12441.34867,0,0,29171167.31,2,2,883,2,0.003026961,100,26,1121967.973,6,2.542372881,服务业
E40,***财税咨询服务有限公司,C,否,4486335.36,796,796,360685.27,51,8.03964129,6.407035176,29245059.84,33,135949.5564,34,1.10821382,33731395.2,483,482,360685.27,51,1.069286544,10.55900621,34,992099.8588,42,5.25,服务业
E41,***物业发展有限公司,C,否,5388727.33,486,485,499288.16,38,9.265418891,7.818930041,27158648.56,34,158491.9803,13,0.660569106,32547375.89,13,12,499288.16,38,1.534035068,292.3076923,37,879658.8078,18,2.975206612,服务业
E42,***园艺场,A,否,11769,7,7,0,0,0,0,26223684.61,26,452.6538462,0,0,26235453.61,28,25,0,0,0,0,27,971683.467,6,2.040816327,农业
E43,***建设工程有限公司,B,否,3896529.75,19,18,1000000,1,25.66386154,5.263157895,14441031.45,22,177114.9886,10,14.70588235,18337561.2,5,5,1000000,1,5.453287867,20,14,1309825.8,5,2.336448598,建筑业
E44,***商贸有限公司,C,否,34381631.3,211,211,508105.32,18,1.477839476,8.530805687,-1537702.59,36,955045.3139,2,0.163666121,32843928.71,30,29,508105.32,18,1.547029664,60,36,912331.3531,56,2.497769848,批发零售业
E45,个体经营E45,B,是,26918289.2,114,114,246704.11,5,0.916492531,4.385964912,-2401414.54,28,961367.4714,0,0,24516874.66,63,63,246704.11,5,1.006262476,7.936507937,24,1021536.444,7,2.295081967,个体
E46,***广告传媒有限公司,C,否,52703543.41,437,436,2436309.35,24,4.622667078,5.491990847,5871825.08,36,1463987.317,17,0.682182986,58575368.49,140,137,2436309.35,24,4.159272767,17.14285714,36,1627093.569,36,4.049493813,服务业
E47,***控制设备有限责任公司,C,否,47929854.87,374,374,2913955.8,40,6.079625753,10.69518717,1693281.26,36,1331384.857,11,0.391319815,49623136.13,760,760,2913955.8,40,5.872171788,5.263157895,36,1378420.448,20,0.595947557,制造业
E48,***化工有限公司,A,否,14377295.35,232,232,491550.1,12,3.418933033,5.172413793,35683722.34,37,388575.55,5,0.41322314,50061017.69,59,59,491550.1,12,0.981901932,20.33898305,36,1390583.825,6,0.625,制造业
E49,***地球环保科技有限公司,C,否,24500732.04,713,712,4120363.91,42,16.81730939,5.890603086,12386371.2,36,680575.89,19,0.540079591,36887103.24,248,248,4120363.91,42,11.17020191,16.93548387,36,1024641.757,13,2.819956616,科学研究、技术服务和地质勘查业
E50,***建筑劳务有限公司,C,否,1879996.29,66,66,1121239,8,59.64049004,12.12121212,17233682.06,29,64827.45828,1,0.537634409,19113678.35,5,5,1121239,8,5.866160241,160,27,707914.013,18,7.058823529,服务业
E51,***物流有限公司,B,否,22559091.9,61,61,193200,2,0.856417452,3.278688525,5167172.16,36,626641.4417,4,0.88691796,27726264.06,129,129,193200,2,0.696812234,1.550387597,36,770174.0017,3,0.35971223,交通运输、仓储业和邮政业
E52,***商贸有限公司,D,是,18437416.54,131,131,781606,12,4.239238173,9.160305344,341140.35,28,658479.1621,2,0.488997555,18778556.89,11,11,781606,12,4.162226121,109.0909091,26,722252.1881,5,1.748251748,批发零售业
E53,***文化传媒有限公司,C,否,34943306.95,62,62,2264784,11,6.481309864,17.74193548,1025858.4,31,1127203.45,1,0.166944908,35969165.35,43,42,2264784,11,6.296459698,25.58139535,31,1160295.656,4,1.01010101,文化、体育、娱乐业
E54,***新技术开发有限公司,A,否,8163925.74,458,458,1341174.07,57,16.42805328,12.44541485,25510585.63,37,220646.6416,20,1.286173633,33674511.37,1110,1105,1341174.07,57,3.98275733,5.135135135,37,910121.9289,37,1.150855365,科学研究、技术服务和地质勘查业
E55,***集团有限公司***电力设备分公司,C,否,10860768.28,137,136,1497125.2,32,13.78470806,23.35766423,12545562.47,37,293534.2778,30,3.989361702,23406330.75,22,22,1497125.2,32,6.39624047,145.4545455,35,668752.3071,70,15.8013544,电力、热力、燃气及水的生产和供应业
E56,***家居材料***有限公司,C,否,28163715.35,162,162,3599020,15,12.77892478,9.259259259,-1906453.46,35,804677.5814,7,0.607638889,26257261.89,37,37,3599020,15,13.7067605,40.54054054,34,772272.4085,8,1.746724891,制造业
E57,***机械设备有限公司,B,否,31823470.55,41,41,1319200,4,4.145368111,9.756097561,187710.59,36,883985.2931,0,0,32011181.14,25,25,1319200,4,4.121060058,16,36,889199.4761,9,2.331606218,制造业
E58,***油气工程建设有限责任公司,B,否,7112292.24,354,354,996736.44,24,14.01427847,6.779661017,15467725.2,29,245251.4566,9,0.685453161,22580017.44,22,22,996736.44,24,4.414241232,109.0909091,27,836296.9422,6,2.112676056,电力、热力、燃气及水的生产和供应业
E59,***商贸有限公司,A,否,21185926.36,76,76,1182168.82,8,5.579972289,10.52631579,5532848.67,36,588497.9544,0,0,26718775.03,185,185,1182168.82,8,4.424487345,4.324324324,36,742188.1953,2,0.096758587,批发零售业
E60,***机械租赁有限公司,B,否,5375422.57,128,128,120105,7,2.23433597,5.46875,2594427.61,27,199089.7248,0,0,7969850.18,8,8,120105,7,1.506991942,87.5,26,306532.6992,1,0.235849057,租赁和商务服务业
E61,***调味品有限公司,B,否,932031.18,44,44,10889.62,3,1.168375075,6.818181818,15947941.38,36,25889.755,2,0.956937799,16879972.56,65,65,10889.62,3,0.064512072,4.615384615,36,468888.1267,40,2.046035806,轻工业
E62,***工程造价咨询有限公司***分公司,B,否,1238870.98,148,148,60720,3,4.90123677,2.027027027,8251800.91,36,34413.08278,0,0,9490671.89,27,26,60720,3,0.639786105,11.11111111,36,263629.7747,23,12.04188482,租赁和商务服务业
E63,***科技有限公司,B,否,39440184.87,293,293,731497.44,25,1.85470084,8.532423208,7663786.3,37,1065950.942,24,1.572739187,47103971.17,42,42,731497.44,25,1.552942187,59.52380952,27,1744591.525,3,0.48,科学研究、技术服务和地质勘查业
E64,***图书有限责任公司,A,否,90634.05,21,21,0,0,0,0,8794577.67,32,2832.314063,0,0,8885211.72,162,162,0,0,0,0,36,246811.4367,0,0,文化、体育、娱乐业
E65,***商贸有限公司,B,否,4839565.89,38,38,359549.2,4,7.429368835,10.52631579,2601908.83,34,142340.1732,0,0,7441474.72,58,58,359549.2,4,4.831692823,6.896551724,35,212613.5634,7,1.538461538,批发零售业
E66,***快递有限公司,B,否,5378108.31,30,30,78450,2,1.458691337,6.666666667,-616853.4,31,173487.3648,1,0.173913043,4761254.91,151,151,78450,2,1.647674856,1.324503311,26,183125.1888,6,0.955414013,交通运输、仓储业和邮政业
E67,***信息技术有限公司,B,否,1290298.95,195,195,86111.6,15,6.673771222,7.692307692,4332137.29,37,34872.94459,2,0.318979266,5622436.24,23,23,86111.6,15,1.531570948,65.2173913,33,170376.8558,3,1.5625,信息传输、计算机服务和软件业
E68,***花木总公司,C,否,740,2,2,0,0,0,0,5866669.22,14,52.85714286,0,0,5867409.22,7,7,0,0,0,0,22,266700.4191,0,0,农业
E69,***电子器材经营部,C,否,3250,1,1,0,0,0,0,3635968.08,0,3250,0,0,3639218.08,18,18,0,0,0,0,18,202178.7822,39,7.456978967,信息传输、计算机服务和软件业
E70,***科技有限公司,B,否,6089341.94,188,188,416275.25,20,6.836128667,10.63829787,3206700.32,37,164576.8092,6,0.335758254,9296042.26,56,56,416275.25,20,4.477983623,35.71428571,37,251244.3854,14,2.985074627,科学研究、技术服务和地质勘查业
E71,***农业科技有限公司,B,否,10004879.89,282,282,1927350.22,22,19.26410153,7.80141844,2221832.73,34,294261.1732,14,1.161825726,12226712.62,282,282,1927350.22,22,15.76343765,7.80141844,32,382084.7694,1,0.278551532,农业
E72,***图书有限公司,C,否,1547014.77,54,54,1568,2,0.101356498,3.703703704,2812721.23,33,46879.23545,2,1.754385965,4359736,28,28,1568,2,0.03596548,7.142857143,33,132113.2121,0,0,文化、体育、娱乐业
E73,***商贸有限责任公司,C,否,855955.54,118,118,14822.92,5,1.731739478,4.237288136,5283952.17,37,23133.93351,2,0.333333333,6139907.71,58,58,14822.92,5,0.241419264,8.620689655,36,170552.9919,6,2.69058296,批发零售业
E74,***蔬菜专业合作社,B,否,337315,8,8,0,0,0,0,3649524.75,26,12973.65385,0,0,3986839.75,19,19,0,0,0,0,27,147660.7315,14,2.734375,农业
E75,***酒店管理有限公司,C,否,2721424.25,53,53,37256,11,1.36898905,20.75471698,3729730.19,33,82467.40152,2,0.371747212,6451154.44,7484,7484,37256,11,0.577509039,0.146980224,36,179198.7344,12,0.148809524,住宿餐饮
E76,***信息科技有限公司,B,否,929316.61,102,102,8194,4,0.881723184,3.921568627,3101524.49,36,25814.35028,2,0.578034682,4030841.1,73,73,8194,4,0.203282635,5.479452055,36,111967.8083,1,0.448430493,信息传输、计算机服务和软件业
E77,***机电设备有限公司,C,否,807881,16,16,1894,1,0.234440468,6.25,3550998.23,35,23082.31429,0,0,4358879.23,2,1,1894,1,0.043451537,50,29,150306.1803,6,2.380952381,制造业
E78,个体经营E78,C,否,3748968.62,16,16,0,0,0,0,5500005.15,29,129274.78,0,0,9248973.77,37,37,0,0,0,0,31,298353.9926,0,0,个体
E79,***鞋业有限公司,B,否,3318032.58,46,46,6420,2,0.193488154,4.347826087,-28157.06,37,89676.55622,0,0,3289875.52,15,15,6420,2,0.195144162,13.33333333,34,96761.04471,0,0,轻工业
E80,***实业有限责任公司,C,否,2600684.82,105,105,2350.91,4,0.090395806,3.80952381,1013357.21,33,78808.63091,0,0,3614042.03,38,38,2350.91,4,0.065049327,10.52631579,34,106295.3538,0,0,制造业
E81,***机械设备有限公司,A,否,2255424.53,68,68,102812,4,4.558432288,5.882352941,1125226.54,36,62650.68139,3,1.463414634,3380651.07,119,119,102812,4,3.041189341,3.361344538,36,93906.97417,3,0.492610837,制造业
E82,***商贸有限公司,D,是,1693976.72,68,68,83031.6,4,4.901578577,5.882352941,1238315.37,36,47054.90889,3,0.964630225,2932292.09,8,8,83031.6,4,2.831627868,50,35,83779.774,2,0.597014925,批发零售业
E83,***社会福利院（***社会福利社会化服务中心）,B,否,37570784.98,259,258,3615335.18,54,9.622729953,20.84942085,-34191055.78,35,1073450.999,54,2.000741015,3379729.2,160,160,3615335.18,54,106.9711496,33.75,36,93881.36667,3,0.462249615,服务业
E84,***建材有限公司,A,否,1658750.05,19,19,4113.6,1,0.247993964,5.263157895,3172075.6,36,46076.39028,0,0,4830825.65,35,35,4113.6,1,0.085153146,2.857142857,36,134189.6014,6,1.348314607,制造业
E85,***安防科技有限公司,B,否,432211.42,38,38,3800,1,0.879199351,2.631578947,2227280.83,32,13506.60688,1,0.438596491,2659492.25,23,23,3800,1,0.142884417,4.347826087,36,73874.78472,0,0,科学研究、技术服务和地质勘查业
E86,***地质工程勘察院***分院,C,否,1741768.38,36,35,21015.2,1,1.206543892,2.777777778,422358.95,31,56186.07677,1,0.729927007,2164127.33,7,5,21015.2,1,0.971070404,14.28571429,30,72137.57767,6,31.57894737,科学研究、技术服务和地质勘查业
E87,***实业有限责任公司,C,是,1706273.92,82,82,91976.19,6,5.390470365,7.317073171,2211103.83,30,56875.79733,0,0,3917377.75,13,13,91976.19,6,2.347901986,46.15384615,30,130579.2583,0,0,制造业
E88,***贸易有限公司,A,否,683458.46,26,26,0,0,0,0,1842194.41,31,22047.0471,0,0,2525652.87,86,86,0,0,0,0,36,70157.02417,4,1.098901099,批发零售业
E89,***物资有限公司,A,否,2718420.69,12,12,105022,2,3.863346111,16.66666667,-855170.83,34,79953.54971,0,0,1863249.86,24,24,105022,2,5.636495795,8.333333333,36,51756.94056,0,0,批发零售业
E90,***文化传媒有限责任公司,C,否,757788.57,35,35,30088,2,3.970500637,5.714285714,2491333.5,32,23680.89281,0,0,3249122.07,49,49,30088,2,0.926034767,4.081632653,32,101535.0647,6,3.20855615,文化、体育、娱乐业
E91,***科技实业有限公司,A,否,1493945.65,35,35,121236.53,6,8.115190134,17.14285714,841455.71,36,41498.49028,1,0.595238095,2335401.36,73,72,121236.53,6,5.191250295,8.219178082,36,64872.26,1,0.81300813,科学研究、技术服务和地质勘查业
E92,***地质灾害防治有限公司,C,否,159392.41,89,89,374,1,0.234641035,1.123595506,2050160.95,30,5313.080333,0,0,2209553.36,13,13,374,1,0.016926498,7.692307692,36,61376.48222,2,5.555555556,科学研究、技术服务和地质勘查业
E93,***电脑设计事务所,B,否,302914.83,65,64,32472,5,10.71984491,7.692307692,1173140.51,30,10097.161,1,0.480769231,1476055.34,28,28,32472,5,2.199917518,17.85714286,36,41001.53722,5,3.546099291,服务业
E94,***汽车美容有限公司,C,否,16346,4,4,0,0,0,0,1036854.08,22,743,0,0,1053200.08,56,56,0,0,0,0,32,32912.5025,9,5.056179775,服务业
E95,***兰花店,B,否,1138,1,1,0,0,0,0,2309619.26,24,47.41666667,0,0,2310757.26,485,485,0,0,0,0,36,64187.70167,0,0,批发零售业
E96,***土地整理有限公司,C,否,2435469.96,6,6,0,0,0,0,-997266.07,23,105889.9983,0,0,1438203.89,3,3,0,0,0,0,19,75694.94158,0,0,农业
E97,***美工装饰部,B,否,19880,2,2,0,0,0,0,951520.82,16,1242.5,0,0,971400.82,63,62,0,0,0,0,18,53966.71222,4,1.568627451,服务业
E98,***文化传播有限公司,B,否,209282.98,27,27,206,1,0.09843132,3.703703704,1193958.59,30,6976.099333,1,2,1403241.57,25,25,206,1,0.014680295,4,36,38978.9325,6,4.511278195,文化、体育、娱乐业
E99,***建筑工程有限责任公司,D,是,4536061.6,81,80,2465958.01,6,54.36341539,7.407407407,-3354811.31,25,181442.464,11,1.262916188,1181250.29,2,2,2465958.01,6,208.7582988,300,17,69485.31118,0,0,建筑业
E100,***装饰工程有限公司,D,是,23323.02,21,21,0,0,0,0,648025.71,32,728.844375,0,0,671348.73,13,13,0,0,0,0,36,18648.57583,15,15.30612245,服务业
E101,***灯饰工程有限公司,D,是,53158,6,6,0,0,0,0,287387.58,14,3797,0,0,340545.58,2,2,0,0,0,0,12,28378.79833,0,0,服务业
E102,***大药房有限责任公司,D,是,3658317.08,70,70,50566.76,10,1.382241039,14.28571429,-3277764.96,37,98873.43459,7,0.985915493,380552.12,100,100,50566.76,10,13.28773572,10,37,10285.19243,3,1.986754967,医药
E103,***科技有限公司,D,是,738265.61,65,65,31295.6,2,4.239070543,3.076923077,964152.03,31,23815.01968,0,0,1702417.64,19,19,31295.6,2,1.83830332,10.52631579,22,77382.62,2,3.703703704,科学研究、技术服务和地质勘查业
E104,***管理咨询有限责任公司,C,否,280,1,1,0,0,0,0,262370.51,0,280,0,0,262650.51,10,10,0,0,0,0,14,18760.75071,1,5.263157895,服务业
E105,***建材经营部,C,否,8480,4,4,0,0,0,0,916339.37,18,471.1111111,0,0,924819.37,101,101,0,0,0,0,29,31890.3231,4,3.305785124,批发零售业
E106,***财务管理有限公司,B,否,52461.1,19,19,9000,1,17.1555686,5.263157895,533587.76,29,1809.003448,0,0,586048.86,103,103,9000,1,1.535708132,0.970873786,32,18314.02687,4,2.898550725,租赁和商务服务业
E107,***科技有限公司,D,是,110910,7,7,0,0,0,0,675882.39,28,3961.071429,0,0,786792.39,3,3,0,0,0,0,22,35763.29045,0,0,科学研究、技术服务和地质勘查业
E108,***商贸有限公司,D,是,106222.95,70,70,0,0,0,0,85248.16,26,4085.498077,4,1.834862385,191471.11,19,19,0,0,0,0,15,12764.74067,1,3.03030303,批发零售业
E109,***服饰有限公司,D,是,3371,7,7,0,0,0,0,439395.77,20,168.55,0,0,442766.77,17,17,0,0,0,0,24,18448.61542,0,0,轻工业
E110,***通讯器材经营部,C,否,1040,1,1,0,0,0,0,195879.86,24,43.33333333,0,0,196919.86,34,34,0,0,0,0,26,7573.840769,0,0,信息传输、计算机服务和软件业
E111,***科技有限公司,D,是,529274.01,95,95,124022.61,11,23.43259024,11.57894737,193680,30,17642.467,4,1.515151515,722954.01,9,9,124022.61,11,17.15497919,122.2222222,29,24929.44862,28,13.7254902,科学研究、技术服务和地质勘查业
E112,***机械设备有限公司,D,是,920245.89,25,25,68408,3,7.433665365,12,16035.54,28,32865.92464,2,1.960784314,936281.43,2,2,68408,3,7.306350186,150,20,46814.0715,1,6.25,制造业
E113,***美居科技有限公司,D,是,1357580.73,35,35,408,2,0.030053461,5.714285714,-1074000.18,29,46813.12862,0,0,283580.55,3,3,408,2,0.143874465,66.66666667,19,14925.29211,0,0,科学研究、技术服务和地质勘查业
E114,***食品有限责任公司,D,是,644317,20,20,56125,4,8.710774355,20,-424688.22,31,20784.41935,0,0,219628.78,23,23,56125,4,25.55448334,17.39130435,36,6100.799444,1,1.515151515,轻工业
E115,***装饰工程有限公司,D,是,560,2,2,0,0,0,0,54973.98,14,40,0,0,55533.98,3,3,0,0,0,0,13,4271.844615,0,0,服务业
E116,***门窗有限公司,D,是,2806.25,8,8,0,0,0,0,228621.29,19,147.6973684,0,0,231427.54,25,25,0,0,0,0,26,8901.059231,0,0,制造业
E117,***人力资源管理咨询有限公司,D,是,7120,3,3,0,0,0,0,516231.31,16,445,0,0,523351.31,1,1,0,0,0,0,12,43612.60917,0,0,服务业
E118,***体育用品有限公司,D,是,67712.79,9,9,101430,1,149.794448,11.11111111,205031.99,31,2184.283548,0,0,272744.78,117,116,101430,1,37.18861274,0.854700855,34,8021.905294,1,0.735294118,文化、体育、娱乐业
E119,***药房,D,是,249734.83,17,17,62.5,1,0.025026545,5.882352941,-214062.97,31,8055.962258,1,0.318471338,35671.86,14,14,62.5,1,0.175208133,7.142857143,25,1426.8744,0,0,医药
E120,***陈列广告有限公司,D,是,19446.34,16,16,10750,1,55.28032524,6.25,171226.87,20,972.317,0,0,190673.21,6,6,10750,1,5.637918405,16.66666667,25,7626.9284,0,0,服务业
E121,***药业连锁有限公司***药店,D,是,1251119.88,11,11,0,0,0,0,-1149657.86,31,40358.70581,1,2,101462.02,116,116,0,0,0,0,23,4411.392174,0,0,医药
