单词	出现次数
Microwave	 464
its	 464
watts	 465
months	 465
So	 467
"Im"	 474
needed	 476
A	 487
For	 489
rather	 492
open	 498
recommend	 499
around	 499
far	 500
microwaves	 500
large	 500
Sharp	 501
did	 512
oven	 513
If	 523
highly	 525
cook	 533
after	 537
full	 537
price	 538
cabinet	 550
which	 554
do	 556
also	 561
few	 561
inside	 571
button	 573
place	 573
We	 581
me	 598
does	 600
took	 600
more	 606
things	 609
off	 610
"its"	 614
at	 618
get	 620
-	 625
good	 638
/><br	 639
two	 649
because	 653
little	 658
light	 682
"dont"	 686
used	 692
Great	 694
door	 699
cooking	 705
when	 707
need	 707
while	 720
easy	 727
by	 734
bought	 751
some	 757
about	 757
no	 759
most	 770
from	 775
are	 804
size	 815
great	 818
has	 830
unit	 836
looks	 866
old	 874
would	 887
This	 894
just	 895
perfect	 906
as	 909
well	 914
all	 947
like	 959
space	 976
works	 979
so	 988
an	 1030
small	 1045
can	 1073
only	 1076
if	 1105
time	 1114
very	 1119
had	 1132
or	 1143
kitchen	 1147
out	 1183
be	 1215
It	 1247
not	 1293
than	 1331
use	 1340
with	 1442
you	 1460
The	 1461
one	 1502
up	 1510
on	 1655
but	 1788
have	 1807
was	 1925
that	 1996
my	 2028
in	 2131
for	 2259
of	 2392
this	 2490
is	 2530
microwave	 2597
I	 2606
to	 2677
it	 2747
a	 2969
and	 3123
the	 3177
