marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vines,Impact_factor,review_headline,review_body,total_words,words_number,review_date
US,7686469,R1FB7BN6Z0L3XO,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",Major Appliances,5,1,2,N,1,This is a funny story.,"This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL","['been', 'perfect', 'daughter', 'space', 'moved', 'microwave', '$2500', 'sale', 'is', 'found', 'This', 'for', 'etc', 'with', 'me', 'the', 'room', 'would', 'very', 'ithowever', 'has', 'kitchen', 'garage', 'funny', 'these', 'to', 'my', 'Whirlpool', 'of', 'have', 'husband', 'perfectly', 'Love', 'easier', 'one', 'was', 'LOL', 'My', 'as', 'SMALL', 'and', 'corner', 'No', 'lots', 'new', 'It', 'extremely', 'counter', 'an', 'Cube', 'into', 'on', 'home', 'price', 'our', 'over', 'little', 'book', 'a', 'at', 'story', 'I', 'charm', 'storyyears', 'ago', 'it', 'Recently', 'range', 'she', 'fits', 'pocket', 'microwaves', 'older', 'cube']",74,8/24/2015
US,46694531,R3U4EMQXXN5ZWA,B008MD2RH6,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,Love to nuke,"Good price, has continued to work very well since December 2014 (8 months). My only recent complaint is that the glass carousel no longer seems to fit tightly over the plastic gear in the center. It therefore makes a rattling sound as the gear turns. I don't see what could cause the loose fit. Nevertheless, the carousel does turn, just not very quietly.<br /><br />Otherwise, great buy. It is still easy to clean. I love using the 1, 2 and 3 settings for one-touch cooking times of 1, 2 or 3 minutes. I really like being able to turn the microwave on for 30 seconds by simply touching &#34;Start&#34; one time. Some people have complained that the door is hard to open so that when the large &#34;open&#34; button is pushed, the entire microwave moves, but I have not had that experience. I seldom use the programmed settings for vegetables, popcorn, potato, etc. I had a bad experience burning a minibag of popcorn - the microwave didn't sense a need to stop cooking. However, it's fine for baking a potato.<br /><br />I do not understand the benefit of the rather extreme concave back to the interior, which contributes to the 1.4 cu ft interior volume. But the size is right for me regardless. Certainly this was the best buy on Amazon for my purposes.","['or', 'nuke', 'continued', '30', 'rattling', 'plastic', 'seems', '1', 'buy', 'seconds', 'moves', 'size', '2014', 'Good', 'use', 'of', 'time', 'have', 'Love', 'ft', 'love', '14', 'settings', 'in', 'and', 'experience', 'open', 'minibag', 'one-touch', 'complaint', 'by', 'popcorn', 'fine', 'over', 'makes', 'entire', 'gear', 'a', 'I', 'fit', '/>I', 'glass', 'times', 'button', 'right', 'potato', 'me', 'etc', 'longer', 'quietly<br', 'very', 'months)', 'turn', 'volume', 'to', ""don't"", 'recent', 'one', 'no', 'was', 'being', 'Amazon', 'able', '&#34;Start&#34;', 'need', 'so', 'seldom', 'However', 'price', 'loose', 'programmed', 'regardless', 'carousel', 'rather', 'had', 'could', 'since', 'does', 'door', '2', 'work', '3', 'interior', 'best', '/>Otherwise', 'for', 'simply', '/><br', 'but', 'large', 'Some', 'concave', 'hard', 'potato<br', 'my', 'well', 'Nevertheless', 'using', 'pushed', 'burning', 'only', 'extreme', 'My', 'as', 'complained', 'Certainly', 'tightly', 'which', 'sense', 'do', 'cause', '(8', 'benefit', '-', 'not', ""it's"", 'cooking', 'when', 'bad', 'stop', 'see', 'microwave', 'turns', 'But', 'is', 'the', 'purposes', 'clean', 'cu', 'really', 'like', 'has', 'understand', 'sound', 'that', 'easy', 'therefore', 'still', 'what', 'It', ""didn't"", '&#34;open&#34;', 'touching', 'great', 'on', 'people', 'back', 'this', 'center', 'vegetables', 'contributes', 'December', 'baking', 'just', 'minutes']",155,8/24/2015
US,20673186,RCFH27W77OTPH,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,this is a great product. The size is perfect and it works ...,"Although it slides when you open the door, this is a great product. The size is perfect and it works great.<br /><br />Because of how my kitchen is designed, I cant push my microwave against the wall.  If you can, then your microwave will not slide.","['designed', 'perfect', 'The', 'works', 'door', 'push', 'microwave', 'slide', 'how', 'is', 'the', 'your', 'you', '/><br', 'will', 'kitchen', 'size', 'my', 'of', 'then', 'can', 'cant', 'Although', 'and', 'great<br', 'open', 'slides', 'wall', 'great', 'this', 'against', 'a', 'I', 'not', 'it', '/>Because', 'If', 'when', 'product']",39,8/24/2015
US,16397097,R2R63T6FP7G9JL,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,Four Stars,Solid microwave for a good price.,"['Stars', 'price', 'Four', 'microwave', 'good', 'a', 'for', 'Solid']",8,8/24/2015
US,14228362,R3YSEIBEK0XYT,B00DUZ8LBW,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,Major Appliances,5,0,0,N,1,"Timely delivery, good product.","Prompt delivery, my microwave is back up and running.","['back', 'delivery', 'good', 'microwave', 'and', 'my', 'is', 'Timely', 'running', 'product', 'up', 'Prompt']",12,8/24/2015
US,42678211,R9HXJK5NX9IPY,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Five Stars,very attractive and useful mircorwave,"['Stars', 'and', 'Five', 'attractive', 'mircorwave', 'very', 'useful']",7,8/24/2015
US,14546777,R14FJ9TGHJN8X8,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",Major Appliances,5,0,0,N,1,Whirlpool WMC20005YW 0.5 cubic ft. microwave white,Although only .5 it holds a nice size dish.  I love that the controls are at the bottom. Counter space is limited so this is peer.  Would be great in a dorm room too,"['space', 'white', 'microwave', 'Would', 'is', 'the', 'room', 'be', 'size', 'too', 'Whirlpool', 'that', 'ft', 'love', 'only', 'Although', '05', 'in', 'are', 'cubic', 'so', 'great', 'this', 'controls', 'peer', 'a', 'WMC20005YW', '5', 'I', 'at', 'Counter', 'limited', 'it', 'nice', 'holds', 'dish', 'bottom', 'dorm']",38,8/23/2015
US,13560534,R36FKD0RA85LD2,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,3,1,2,N,1,Danby 1.1 cuft microwave good unit,"Unit is lighter than expected. Cooks as expected. Door latch is hard to push, but not hard enough to move unit while opening. Light comes on as unit runs, not as door opens. Buttons are convenient for cooking, but read directions, some difference to set power levels, than other microwaves I have owned. Went with this unit, due to reviews, size and price.","['Buttons', 'push', 'door', 'microwave', 'is', 'for', 'with', 'owned', 'but', 'due', 'than', 'hard', 'size', 'opens', 'levels', 'to', 'convenient', 'expected', 'runs', 'have', 'comes', 'some', 'reviews', 'while', 'Went', 'good', 'as', 'and', 'directions', 'power', 'read', 'other', 'are', 'Cooks', 'opening', 'on', 'this', 'price', 'Light', 'cuft', 'difference', 'set', 'unit', 'Unit', 'Danby', 'lighter', 'move', 'I', 'enough', 'cooking', 'latch', 'not', 'microwaves', '11', 'Door']",55,8/21/2015
US,1316798,RV08WAK7KQ5C8,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,Major Appliances,5,1,2,N,1,Five Stars,Extremly satisfied,"['Five', 'Extremly', 'Stars', 'satisfied']",4,8/21/2015
US,16996448,RUMJPRPFJFIZ2,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,5,0,0,N,1,Worked well on Sharp Carousel II,Worked well on an old Sharp Carousel II Microwave. 1 can was enough for 2 coats. First make sure you sand down and prime any rust spots so they won't show through.,"['show', '2', 'Microwave', 'for', 'you', '1', ""won't"", 'rust', 'they', 'well', 'Sharp', 'can', 'down', 'II', 'prime', 'any', 'through', 'was', 'spots', 'and', 'sure', 'First', 'old', 'Carousel', 'coats', 'make', 'an', 'on', 'so', 'Worked', 'sand', 'enough']",32,8/20/2015
US,42040790,R29HSQ1GJXRRXH,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Great purchase. The microwave does the job and was ...,Great purchase.  The microwave does the job and was a great price.,"['The', 'job', 'does', 'microwave', 'and', 'Great', 'was', 'price', 'a', 'the', 'purchase', 'great']",12,8/20/2015
US,19768842,RRO2C7LNHYSSL,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,5,0,0,N,1,Five Stars,excellent results,"['Five', 'Stars', 'results', 'excellent']",4,8/20/2015
US,36581725,ROKWTKVHCUN0D,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Five Stars,"Works great, product was as describer and delivered promptly and on time.","['Stars', 'was', 'Works', 'as', 'and', 'describer', 'Five', 'time', 'delivered', 'promptly', 'on', 'product', 'great']",13,8/20/2015
US,9939829,R23IP4R4VPCU7W,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,Major Appliances,5,2,2,N,2.0,Truckers Mucrowave,Perfect for semi truck at 750 watts can run on1000 watt inverter,"['Truckers', 'truck', '750', 'run', 'Perfect', 'at', 'for', 'on1000', 'can', 'Mucrowave', 'watts', 'semi', 'inverter', 'watt']",14,8/20/2015
US,38328350,R3ALDVS4RB8YJD,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,47,53,N,41.0,Gap on the top right,"I just received mine and, when it's running, you can see the interior light shinning through a gap on the top corner. Not sure if this is normal or safe, so I've submitted a question about it. For now, I'll give it a 3 star review for looks and the slightly annoying BANG! the door makes when it closes, pending any heating and an answer to my question. I'll update then. I'm attaching pictures of the gap.<br /><br />UPDATE (9/26/2015): Well, the gap doesn't seem to be a normal feature, but it doesn't seem to affect the operation of the microwave oven in any way. I mostly use it for heating up leftovers and it works great for that purpose, have not tried it for any serious cooking. The loud door is far more tolerable now after a few uses, barely noticeable. Updating my review to 4 stars, won't do five only because of that gap.","['or', 'The', 'barely', 'tolerable', 'stars', 'now', 'star', 'use', 'of', '(9/26/2015):', 'have', 'any', 'serious', 'through', 'give', 'heating', 'in', 'and', 'slightly', 'makes', 'Updating', 'a', 'I', 'it', ""doesn't"", 'way', 'BANG', 'right', 'oven', 'five', 'pending', '/>UPDATE', 'purpose', ""won't"", 'Gap', 'to', 'if', ""I've"", 'For', 'question', 'Well', 'mostly', 'affect', 'few', 'after', 'annoying', 'so', 'about', 'looks', 'uses', 'door', '3', 'interior', 'for', 'you', 'far', 'leftovers', '/><br', 'but', ""I'm"", 'my', 'then', 'can', 'more', 'review', 'tried', 'only', 'sure', 'gap<br', ""I'll"", 'do', 'light', 'an', 'loud', 'shinning', ""it's"", 'cooking', 'up', 'when', 'see', 'microwave', 'works', 'is', 'the', 'submitted', 'received', 'feature', 'because', 'be', 'Not', 'attaching', 'that', 'seem', 'noticeable', 'gap', '4', 'corner', 'safe', 'operation', 'normal', 'mine', 'answer', 'on', 'this', 'great', 'top', 'update', 'pictures', 'running', 'closes', 'just', 'not']",112,8/19/2015
US,30384634,R7LFUNGK7ZW6L,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,5,0,0,N,1,Five Stars,Works well with proper preparation.,"['Stars', 'preparation', 'Works', 'well', 'Five', 'with', 'proper']",7,8/19/2015
US,47830216,R2UQX5X29O3ICI,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,But it fits where we wanted it just perfect and we like the looks,We ordered it for a boat that we are rebuilding not real sure how its going to work yet. But it fits where we wanted it just perfect and we like the looks. That is about all I can tell you at the present time.  Terry,"['boat', 'perfect', 'But', 'we', 'rebuilding', 'work', 'how', 'is', 'the', 'for', 'you', 'like', 'present', 'all', 'We', 'to', 'that', 'time', 'can', 'and', 'sure', 'going', 'wanted', 'are', 'That', 'ordered', 'yet', 'real', 'a', 'at', 'where', 'I', 'looks', 'it', 'fits', 'its', 'about', 'Terry', 'just', 'not', 'tell']",41,8/19/2015
US,34078104,R3MSBQ3L6OIFIP,B003KI1W3I,984005611,sharp rmotda252wrzz microwave turntable motor,Major Appliances,5,0,0,N,1,Five Stars,Good,"['Five', 'Stars', 'Good']",3,8/18/2015
US,52830657,RPR2PCYD8LDEM,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,It's pretty powerful. It looks as if there are many ...,Needed one in a hurry and my teen bought this. It's pretty powerful. It looks as if there are many brands that are actually this same machine.,"['hurry', 'same', 'brands', 'actually', 'Needed', ""It's"", 'my', 'that', 'powerful', 'teen', 'if', 'one', 'many', 'in', 'as', 'and', 'are', 'bought', 'It', 'this', 'pretty', 'machine', 'a', 'looks', 'there']",25,8/18/2015
US,48862363,R17Z5LA3XNPOSX,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,Major Appliances,5,0,1,N,-1.0,What a great unit! Took some fiddling to install but the ...,What a great unit!  Took some fiddling to install but the unit itself is really very nice.,"['Took', 'install', 'to', 'unit', 'a', 'really', 'is', 'the', 'nice', 'What', 'some', 'but', 'fiddling', 'very', 'itself', 'great']",16,8/18/2015
US,13408354,R1V1MIFZU32A97,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",Major Appliances,5,3,3,N,3.0,The fabuous whirlpool mini!,"I had found a small blue cube micro wave some years ago.  After 16 years of service it finally wore out.  I love the cube shape and took a risk on ordering this little gem.  I couldn't be happier.  It is the great same size, the outside is fabulous and it has more power than the last microwave. Would not hesitate to purchase this again! Totally worth the price.","['The', 'microwave', 'same', 'Would', 'wore', 'ordering', 'last', '16', 'is', 'found', 'the', 'worth', 'cube', 'wave', 'fabuous', 'took', ""couldn't"", 'be', 'size', 'has', 'than', 'Totally', 'to', 'of', 'fabulous', 'again', 'some', 'more', 'gem', 'mini', 'hesitate', 'love', 'out', 'and', 'power', 'whirlpool', 'happier', 'It', 'outside', 'purchase', 'blue', 'shape', 'on', 'this', 'great', 'price', 'little', 'finally', 'a', 'I', 'micro', 'small', 'years', 'ago', 'it', 'risk', 'service', 'not', 'had', 'After']",60,8/18/2015
US,43476708,R33HSAVWTVNLG6,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,Major Appliances,5,0,1,N,-1.0,Five Stars,Love LG products. Got product in a timely manner.,"['timely', 'Stars', 'in', 'a', 'products', 'Five', 'manner', 'Got', 'Love', 'product', 'LG']",11,8/18/2015
US,43776930,R37VRG2JRLUORR,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,3,2,2,N,2.0,"Nothing special, but fits the bill.","Works well enough for my purposes. Just the right size. I dig the 1 touch feature for 30 seconds (start) and minutes (number buttons). It's also good that it has the removable glass rotator thingy. What brings the star count down are the button sizes themselves – super tiny, and the handle. While this microwave is nice and light and the door seals well, that doesn't make for a good combination for opening the door. So I have to hold one side to apply opposite pressure to open the door. I think this could be solved with some super rubber feet, but I shouldn't have to add them myself.","['special', '30', 'removable', 'with', '1', 'also', 'seconds', 'size', 'Works', ""It's"", 'So', 'star', 'sizes', 'themselves', 'have', 'down', 'Just', 'Nothing', 'and', 'open', 'add', 'are', 'apply', '(number', 'a', 'I', 'it', 'tiny', 'What', 'glass', ""doesn't"", 'button', 'right', 'think', 'bill', 'combination', 'solved', 'to', 'pressure', 'rubber', 'one', 'super', 'side', 'seals', 'them', 'could', 'feet', 'opposite', 'door', 'for', 'but', 'handle', 'touch', 'my', 'hold', 'well', 'dig', 'some', 'buttons)', 'rotator', 'good', 'light', 'count', 'make', 'thingy', ""shouldn't"", 'microwave', 'is', 'the', 'purposes', 'feature', 'be', 'has', '(start)', 'brings', 'that', 'While', 'myself', 'opening', 'this', '–', 'enough', 'nice', 'fits', 'minutes']",85,8/17/2015
US,2200793,R1UFH7URKHIN3E,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,1,1,1,N,1.0,Received defected item,Came in brand new package but item doesn't work at all.,"['Came', 'defected', 'in', 'brand', 'work', 'at', 'new', 'package', ""doesn't"", 'but', 'Received', 'item', 'all']",13,8/17/2015
US,43357025,R3M0JKAJ6MB493,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,1,N,-1.0,but it heats quickly and is very easy to clean,"You can't use the &#34;cook&#34; feature with a timer going on the machine, but it heats quickly and is very easy to clean.","['&#34;cook&#34;', 'is', 'the', 'with', 'feature', 'clean', 'very', 'but', 'to', 'quickly', 'You', 'use', 'timer', 'easy', 'and', 'going', 'on', 'heats', 'machine', 'a', 'it', ""can't""]",22,8/16/2015
US,47563179,RE5FI6X7K940Q,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Five Stars,Got it sooner thank you,"['Stars', 'sooner', 'thank', 'Five', 'it', 'you', 'Got']",7,8/15/2015
US,45699801,R191WJ8DHZTEB3,B00EU7AMX4,991090482,ge pvm9179sfss profile 1.7 cu. ft. stainless steel over-the-range microwave - convection,Major Appliances,1,6,9,N,3.0,it looks like it is cooking but the water is at room ...,"It came slightly damaged but main problem is that it does not heat at all in any functions.  I have tried to heat a cup of water with Microwave Express, it looks like it is cooking but the water is at room temperature after 30 seconds.  Then I have tried all the functions and none of them work.  The surface light and the vent fan works fine.  I really should try it before I install it.  Now I have all the trouble to remove it and install another one.<br /><br />I order it from Amazon and contacted both the seller Home Care Company.  Since it is Saturday so I will have to wait up to two working days to to get a respond from Home Care Company.  I am not sure what will happen but I am not recommend to buy this product or buy it online.","['or', 'The', 'Microwave', '30', 'with', 'seconds', 'before', 'buy', 'from', 'of', 'have', 'working', 'any', 'order', 'in', 'and', 'install', 'days', 'slightly', 'fine', 'surface', 'both', 'a', '/>I', 'I', 'it', 'product', 'water', 'seller', 'room', 'contacted', 'all', 'get', 'should', 'to', 'wait', 'Amazon', 'happen', 'after', 'recommend', 'so', 'am', 'looks', 'them', 'heat', 'Express', 'main', 'Care', 'does', 'work', 'Then', '/><br', 'but', 'will', 'came', 'cup', 'one<br', 'Since', 'tried', 'sure', 'try', 'another', 'temperature', 'light', 'remove', 'cooking', 'up', 'works', 'fan', 'is', 'the', 'damaged', 'really', 'functions', 'like', 'Saturday', 'that', 'respond', 'Now', 'Company', 'online', 'problem', 'two', 'what', 'It', 'this', 'vent', 'at', 'Home', 'trouble', 'not', 'none']",92,8/15/2015
