企业代号,企业名称,信誉评级,是否违约,进项价税合计,合作单位总数,有效合作单位数,作废价税合计,作废合作单位总数,进项作废/有效比%,有效/作废合作单位数比%,净利润,进项月份时长,进项平均每月金额,进项负数发票次数,进项负数发票次数占比,销项金额,销项合作单位总数,销项有效合作单位数,销项作废价税合计,销项作废合作单位总数,销项作废/有效比%,销项有效/作废合作单位数比%,销项月份时长,销项平均每月金额,销项负数发票次数,销项负数发票次数占比
E14,个体经营E14,C,否,125103670.24000013,906,905,13267406.129999999,182,10.605129413507752,20.08830022075055,83980361.54999956,35,3574390.578285718,130,1.9917266738164545,209084031.7899997,820,820,13267406.129999999,182,6.345489904903665,22.195121951219512,35,5973829.479714277,42,1.3561511139812723
E15,***劳务有限公司,A,否,4803944.4399999995,33,33,0,0,0.0,0.0,207020394.75999567,29,165653.25655172413,0,0.0,211824339.19999567,2,2,0,0,0.0,0.0,36,5884009.422222102,0,0.0
E16,***建筑劳务有限公司,A,否,292748.42000000004,77,77,500.0,1,0.17079511479515413,1.2987012987012987,209117687.08000013,32,9148.388125000001,1,0.34602076124567477,209410435.50000012,53,53,500.0,1,0.00023876556046797378,1.8867924528301887,36,5816956.54166667,0,0.0
E17,***消防工程有限公司,A,否,142782019.1899998,869,869,13466922.269999996,144,9.431805451693176,16.570771001150746,12198752.250000209,36,3966167.1997222165,91,1.2739745205095898,154980771.44,182,181,13466922.269999996,144,8.68941491571659,79.12087912087912,36,4305021.428888889,13,2.3172905525846703
E18,***消防工程有限责任公司,A,否,137752837.21000022,642,640,10674052.769999998,90,7.748699036759375,14.018691588785046,49973637.329999566,36,3826467.700277784,31,0.5682859761686526,187726474.53999978,46,46,10674052.769999998,90,5.685960276064113,195.65217391304347,36,5214624.292777772,2,0.5797101449275363
E19,***科技有限公司,A,否,212140557.29999977,167,166,9205182.98,18,4.339190533464301,10.778443113772456,-31696671.2299999,36,5892793.258333327,3,0.20215633423180593,180443886.06999987,508,505,9205182.98,18,5.101410294627007,3.543307086614173,36,5012330.168611107,65,2.3041474654377883
E20,***贸易有限公司,B,否,204339817.17000017,70,69,19848544.139999986,20,9.71349804208106,28.57142857142857,-12513413.570000201,36,5676106.032500004,3,0.2881844380403458,191826403.59999996,25,25,19848544.139999986,20,10.347138750194445,80.0,36,5328511.21111111,0,0.0
E21,***建设工程有限公司,B,否,123194760.08000001,480,480,16059446.19,73,13.035819201702525,15.208333333333332,-4781821.849996179,36,3422076.6688888893,22,1.0251630941286114,118412938.23000383,325,325,16059446.19,73,13.562239422525204,22.46153846153846,36,3289248.2841667733,46,3.221288515406162
E22,***物流有限公司,A,否,74890175.93999988,80,80,7580296.759999999,14,10.121884031989913,17.5,37043817.58000058,36,2080282.6649999965,18,1.1842105263157896,111933993.52000046,45,45,7580296.759999999,14,6.772113208527261,31.11111111111111,36,3109277.5977777904,12,0.8784773060029283
E23,***贸易有限公司,B,否,200994746.13000038,682,682,1895683.7600000002,53,0.9431509014538622,7.771260997067449,-17755814.07000041,36,5583187.39250001,74,1.541024573094544,183238932.05999997,117,117,1895683.7600000002,53,1.0345420259158002,45.2991452991453,36,5089970.334999999,34,0.9880848590526009
E24,***建筑工程有限公司,A,否,86230669.41000003,367,367,1975174.6699999995,29,2.2905709575425632,7.901907356948229,54289698.24999866,36,2395296.3725000005,16,0.7984031936127743,140520367.6599987,48,46,1975174.6699999995,29,1.4056145047806219,60.416666666666664,36,3903343.5461110747,28,1.7094017094017095
E25,***通讯设备有限公司,C,否,10004188.869999997,368,368,300618.2,16,3.0049232767033924,4.3478260869565215,27992847.54999999,33,303157.2384848484,6,0.4313443565780014,37997036.41999999,233,232,300618.2,16,0.7911622282251667,6.866952789699571,33,1151425.3460606057,22,2.7027027027027026
E26,***金属材料有限公司,A,否,42645410.519999996,117,117,1730168.2600000002,14,4.057103071357655,11.965811965811966,-5997407.030000158,36,1184594.7366666666,1,0.13192612137203166,36648003.48999984,42,42,1730168.2600000002,14,4.721043700162581,33.33333333333333,35,1047085.8139999954,2,0.4444444444444444
E27,***农业开发有限公司,A,否,48889674.189999886,403,402,3064709.89,38,6.268624082233851,9.429280397022332,-4831453.689999983,36,1358046.5052777745,22,0.8888888888888888,44058220.4999999,177,175,3064709.89,38,6.956045557945326,21.468926553672315,36,1223839.4583333307,24,1.7278617710583155
E28,***景观工程有限公司,B,否,1414753.4699999997,61,61,119585.0,2,8.452709432124596,3.278688524590164,47614871.95999964,36,39298.70749999999,0,0.0,49029625.42999964,5,5,119585.0,2,0.2439035561687767,40.0,36,1361934.0397222124,0,0.0
E29,***建筑劳务有限公司,C,是,186618.44,17,17,300.0,1,0.16075581812815498,5.88235294117647,44984817.030000165,35,5331.9554285714285,0,0.0,45171435.47000016,3,3,300.0,1,0.0006641365209640944,33.33333333333333,25,1806857.4188000066,0,0.0
E30,***建筑工程有限公司,B,否,24220896.35999999,169,169,1111178.0,6,4.587683228086776,3.5502958579881656,47272551.33000013,36,672802.6766666663,2,0.2702702702702703,71493447.69000012,7,7,1111178.0,6,1.5542375363098093,85.71428571428571,28,2553337.417500004,0,0.0
E31,***食品有限公司,A,否,5059207.579999999,109,109,47364.0,5,0.9361940432576599,4.587155963302752,42222830.01999993,36,140533.54388888887,1,0.24752475247524752,47282037.59999993,151,151,47364.0,5,0.10017334785927261,3.3112582781456954,36,1313389.9333333313,6,0.23990403838464613
E32,***建筑劳务有限公司,B,否,2542575.7200000025,272,270,65287.0,10,2.5677504699840337,3.6764705882352944,41607906.57000019,32,79455.49125000008,6,0.21344717182497333,44150482.290000185,10,10,65287.0,10,0.14787380933047498,100.0,35,1261442.3511428623,2,0.4273504273504274
E33,***园林有限责任公司,B,否,69644756.16000001,240,240,15006989.59,46,21.54791030572832,19.166666666666668,-33323.51999989152,33,2110447.1563636367,14,1.235657546337158,69611432.64000012,84,84,15006989.59,46,21.558225453582583,54.761904761904766,33,2109437.3527272763,14,1.5350877192982455
E34,***建设工程有限公司,B,否,52849851.65000001,447,445,10902888.919999998,77,20.629932875128507,17.225950782997764,37503662.51000001,36,1468051.4347222226,44,2.1245774987928536,90353514.16000003,64,63,10902888.919999998,77,12.06692293195472,120.3125,36,2509819.8377777785,3,0.5033557046979865
E35,***商贸有限公司,B,否,33451922.230000004,103,103,4243493.58,18,12.685350488452332,17.475728155339805,1598193.5299999788,36,929220.0619444445,11,1.7377567140600316,35050115.75999998,31,30,4243493.58,18,12.106931711885457,58.06451612903226,36,973614.3266666662,2,0.27137042062415195
E36,***超硬材料有限公司,D,是,22400406.09999999,417,417,1311567.4800000002,41,5.855105814353967,9.832134292565947,12808589.819999944,31,722593.74516129,6,0.3841229193341869,35208995.919999935,198,198,1311567.4800000002,41,3.725091970756781,20.707070707070706,31,1135774.0619354818,33,2.309307207837649
E37,***木业有限公司,B,否,50078318.68999999,79,79,2074331.9899999998,12,4.142175784376359,15.18987341772152,-6629385.2700001225,36,1391064.4080555553,2,0.33783783783783783,43448933.41999987,276,275,2074331.9899999998,12,4.774183913672711,4.3478260869565215,36,1206914.8172222185,14,1.1824324324324325
E38,***建设工程有限公司,B,否,13162533.920000007,236,236,2801318.39,19,21.282516018769723,8.050847457627118,35190101.99000012,33,398864.6642424245,4,0.41753653444676403,48352635.91000013,8,8,2801318.39,19,5.793517431426403,237.5,31,1559762.4487096816,4,0.7246376811594203
E39,***建筑劳务有限公司,C,否,373240.46,54,54,883.0,2,0.23657670982400997,3.7037037037037033,28797926.850000035,30,12441.348666666667,0,0.0,29171167.310000036,2,2,883.0,2,0.003026961487747193,100.0,26,1121967.97346154,6,2.5423728813559325
E40,***财税咨询服务有限公司,C,否,4486335.359999995,796,796,360685.27,51,8.039641289767523,6.407035175879397,29245059.84,33,135949.5563636362,34,1.108213820078227,33731395.199999996,483,482,360685.27,51,1.0692865440680024,10.559006211180124,34,992099.8588235293,42,5.25
E41,***物业发展有限公司,C,否,5388727.330000003,486,485,499288.16,38,9.2654188906604,7.818930041152264,27158648.559999976,34,158491.98029411773,13,0.660569105691057,32547375.88999998,13,12,499288.16,38,1.53403506841055,292.30769230769226,37,879658.8078378373,18,2.975206611570248
E42,***园艺场,A,否,11769.0,7,7,0,0,0.0,0.0,26223684.609999992,26,452.65384615384613,0,0.0,26235453.609999992,28,25,0,0,0.0,0.0,27,971683.4670370368,6,2.0408163265306123
E43,***建设工程有限公司,B,否,3896529.75,19,18,1000000.0,1,25.663861542440426,5.263157894736842,14441031.450000018,22,177114.98863636365,10,14.705882352941178,18337561.200000018,5,5,1000000.0,1,5.453287866872935,20.0,14,1309825.8000000012,5,2.336448598130841
E44,***商贸有限公司,C,否,34381631.3,211,211,508105.32,18,1.4778394764532305,8.530805687203792,-1537702.5899998322,36,955045.3138888888,2,0.16366612111292964,32843928.710000165,30,29,508105.32,18,1.5470296641013428,60.0,36,912331.3530555601,56,2.4977698483496877
E45,个体经营E45,B,是,26918289.200000007,114,114,246704.11,5,0.9164925310335099,4.385964912280701,-2401414.5400000326,28,961367.4714285716,0,0.0,24516874.659999974,63,63,246704.11,5,1.0062624760345382,7.936507936507936,24,1021536.4441666655,7,2.2950819672131146
E46,***广告传媒有限公司,C,否,52703543.40999995,437,436,2436309.35,24,4.622667077708736,5.491990846681922,5871825.079999737,36,1463987.3169444432,17,0.6821829855537721,58575368.48999969,140,137,2436309.35,24,4.159272767385049,17.142857142857142,36,1627093.569166658,36,4.049493813273341
E47,***控制设备有限责任公司,C,否,47929854.86999997,374,374,2913955.8000000003,40,6.0796257528914195,10.695187165775401,1693281.2600001544,36,1331384.857499999,11,0.39131981501245106,49623136.13000012,760,760,2913955.8000000003,40,5.872171787704368,5.263157894736842,36,1378420.4480555588,20,0.5959475566150179
E48,***化工有限公司,A,否,14377295.350000003,232,232,491550.1,12,3.41893303318694,5.172413793103448,35683722.34000004,37,388575.5500000001,5,0.4132231404958678,50061017.69000004,59,59,491550.1,12,0.9819019322457557,20.33898305084746,36,1390583.8247222234,6,0.625
E49,***地球环保科技有限公司,C,否,24500732.04000002,713,712,4120363.91,42,16.817309390074847,5.890603085553997,12386371.20000001,36,680575.8900000006,19,0.5400795906765207,36887103.24000003,248,248,4120363.91,42,11.170201908215757,16.93548387096774,36,1024641.7566666675,13,2.8199566160520604
E50,***建筑劳务有限公司,C,否,1879996.29,66,66,1121239.0,8,59.640490035222356,12.121212121212121,17233682.06,29,64827.45827586207,1,0.5376344086021506,19113678.349999998,5,5,1121239.0,8,5.8661602412075755,160.0,27,707914.0129629628,18,7.0588235294117645
E51,***物流有限公司,B,否,22559091.9,61,61,193200.0,2,0.8564174518035453,3.278688524590164,5167172.160000049,36,626641.4416666667,4,0.8869179600886918,27726264.060000047,129,129,193200.0,2,0.6968122339955802,1.550387596899225,36,770174.001666668,3,0.3597122302158274
E52,***商贸有限公司,D,是,18437416.54,131,131,781606.0,12,4.239238172573174,9.16030534351145,341140.350000035,28,658479.1621428571,2,0.4889975550122249,18778556.890000034,11,11,781606.0,12,4.162226120880573,109.09090909090908,26,722252.1880769244,5,1.7482517482517483
E53,***文化传媒有限公司,C,否,34943306.94999999,62,62,2264784.0,11,6.481309863547419,17.741935483870968,1025858.4000001028,31,1127203.4499999997,1,0.1669449081803005,35969165.35000009,43,42,2264784.0,11,6.296459698084138,25.581395348837212,31,1160295.6564516157,4,1.0101010101010102
E54,***新技术开发有限公司,A,否,8163925.739999997,458,458,1341174.07,57,16.42805327624159,12.445414847161572,25510585.629999544,37,220646.64162162156,20,1.2861736334405145,33674511.36999954,1110,1105,1341174.07,57,3.9827573302068626,5.135135135135135,37,910121.9289189066,37,1.1508553654743392
E55,***集团有限公司***电力设备分公司,C,否,10860768.279999997,137,136,1497125.2,32,13.784708055662525,23.357664233576642,12545562.470000032,37,293534.27783783776,30,3.9893617021276597,23406330.75000003,22,22,1497125.2,32,6.396240470112977,145.45454545454547,35,668752.307142858,70,15.80135440180587
E56,***家居材料***有限公司,C,否,28163715.35,162,162,3599019.9999999995,15,12.778924780604273,9.25925925925926,-1906453.4599999636,35,804677.5814285715,7,0.607638888888889,26257261.890000038,37,37,3599019.9999999995,15,13.706760495734214,40.54054054054054,34,772272.4085294129,8,1.7467248908296942
E57,***机械设备有限公司,B,否,31823470.549999997,41,41,1319200.0,4,4.145368111021443,9.75609756097561,187710.59000004083,36,883985.2930555554,0,0.0,32011181.140000038,25,25,1319200.0,4,4.121060057829527,16.0,36,889199.4761111122,9,2.33160621761658
E58,***油气工程建设有限责任公司,B,否,7112292.239999998,354,354,996736.44,24,14.014278468399946,6.779661016949152,15467725.200000003,29,245251.45655172408,9,0.6854531607006854,22580017.44,22,22,996736.44,24,4.414241231870368,109.09090909090908,27,836296.9422222222,6,2.112676056338028
E59,***商贸有限公司,A,否,21185926.360000025,76,76,1182168.82,8,5.57997228873592,10.526315789473683,5532848.670000058,36,588497.9544444452,0,0.0,26718775.030000083,185,185,1182168.82,8,4.42448734521942,4.324324324324325,36,742188.1952777801,2,0.09675858732462506
E60,***机械租赁有限公司,B,否,5375422.570000001,128,128,120105.0,7,2.234335969609176,5.46875,2594427.610000046,27,199089.72481481486,0,0.0,7969850.180000047,8,8,120105.0,7,1.506991941973987,87.5,26,306532.69923077105,1,0.2358490566037736
E61,***调味品有限公司,B,否,932031.1800000002,44,44,10889.619999999999,3,1.1683750751772055,6.8181818181818175,15947941.380000006,36,25889.755000000005,2,0.9569377990430622,16879972.560000006,65,65,10889.619999999999,3,0.06451207169497908,4.615384615384616,36,468888.1266666668,40,2.0460358056265986
E62,***工程造价咨询有限公司***分公司,B,否,1238870.9800000002,148,148,60720.0,3,4.901236769627132,2.027027027027027,8251800.91,36,34413.08277777778,0,0.0,9490671.89,27,26,60720.0,3,0.6397861047538542,11.11111111111111,36,263629.77472222224,23,12.041884816753926
E63,***科技有限公司,B,否,39440184.87000001,293,293,731497.44,25,1.8547008397935019,8.532423208191126,7663786.2999999225,37,1065950.9424324327,24,1.5727391874180863,47103971.169999935,42,42,731497.44,25,1.5529421868912054,59.523809523809526,27,1744591.5248148125,3,0.48
E64,***图书有限责任公司,A,否,90634.05,21,21,0,0,0.0,0.0,8794577.670000002,32,2832.3140625,0,0.0,8885211.720000003,162,162,0,0,0.0,0.0,36,246811.43666666673,0,0.0
E65,***商贸有限公司,B,否,4839565.890000001,38,38,359549.2,4,7.429368835393622,10.526315789473683,2601908.8299999963,34,142340.17323529415,0,0.0,7441474.719999997,58,58,359549.2,4,4.831692823381656,6.896551724137931,35,212613.56342857133,7,1.5384615384615385
E66,***快递有限公司,B,否,5378108.309999998,30,30,78450.0,2,1.4586913367685603,6.666666666666667,-616853.3999999948,31,173487.36483870962,1,0.17391304347826086,4761254.910000003,151,151,78450.0,2,1.6476748563752062,1.3245033112582782,26,183125.18884615396,6,0.9554140127388535
E67,***信息技术有限公司,B,否,1290298.949999999,195,195,86111.6,15,6.673771221777719,7.6923076923076925,4332137.290000001,37,34872.94459459457,2,0.3189792663476874,5622436.24,23,23,86111.6,15,1.5315709476146946,65.21739130434783,33,170376.85575757577,3,1.5625
E68,***花木总公司,C,否,740.0,2,2,0,0,0.0,0.0,5866669.219999999,14,52.857142857142854,0,0.0,5867409.219999999,7,7,0,0,0.0,0.0,22,266700.419090909,0,0.0
E69,***电子器材经营部,C,否,3250.0,1,1,0,0,0.0,0.0,3635968.080000001,0,3250.0,0,0.0,3639218.080000001,18,18,0,0,0.0,0.0,18,202178.78222222227,39,7.45697896749522
E70,***科技有限公司,B,否,6089341.940000026,188,188,416275.2499999999,20,6.836128667131446,10.638297872340425,3206700.3199999705,37,164576.80918918987,6,0.33575825405707893,9296042.259999996,56,56,416275.2499999999,20,4.477983623108014,35.714285714285715,37,251244.3854054053,14,2.9850746268656714
E71,***农业科技有限公司,B,否,10004879.889999999,282,282,1927350.22,22,19.264101530358303,7.801418439716312,2221832.7299999967,34,294261.17323529406,14,1.161825726141079,12226712.619999995,282,282,1927350.22,22,15.763437645923837,7.801418439716312,32,382084.76937499986,1,0.2785515320334262
E72,***图书有限公司,C,否,1547014.77,54,54,1568.0,2,0.10135649836103375,3.7037037037037033,2812721.23,33,46879.23545454546,2,1.7543859649122806,4359736.0,28,28,1568.0,2,0.03596548047863449,7.142857142857142,33,132113.21212121213,0,0.0
E73,***商贸有限责任公司,C,否,855955.5399999999,118,118,14822.92,5,1.7317394779640074,4.23728813559322,5283952.169999997,37,23133.93351351351,2,0.33333333333333337,6139907.709999997,58,58,14822.92,5,0.24141926393874097,8.620689655172415,36,170552.99194444437,6,2.690582959641256
E74,***蔬菜专业合作社,B,否,337315.0,8,8,0,0,0.0,0.0,3649524.749999998,26,12973.653846153846,0,0.0,3986839.749999998,19,19,0,0,0.0,0.0,27,147660.7314814814,14,2.734375
E75,***酒店管理有限公司,C,否,2721424.2500000005,53,53,37256.0,11,1.3689890504944238,20.754716981132077,3729730.1899998407,33,82467.40151515153,2,0.37174721189591076,6451154.439999841,7484,7484,37256.0,11,0.5775090388318299,0.1469802244788883,36,179198.73444444002,12,0.1488095238095238
E76,***信息科技有限公司,B,否,929316.6100000002,102,102,8194.0,4,0.8817231836628852,3.9215686274509802,3101524.49000001,36,25814.350277777783,2,0.5780346820809248,4030841.1000000103,73,73,8194.0,4,0.20328263498156696,5.47945205479452,36,111967.80833333363,1,0.4484304932735426
E77,***机电设备有限公司,C,否,807881.0,16,16,1894.0,1,0.23444046833630197,6.25,3550998.2300000098,35,23082.314285714285,0,0.0,4358879.23000001,2,1,1894.0,1,0.04345153650884692,50.0,29,150306.1803448279,6,2.380952380952381
E78,个体经营E78,C,否,3748968.62,16,16,0,0,0.0,0.0,5500005.150000005,29,129274.78,0,0.0,9248973.770000005,37,37,0,0,0.0,0.0,31,298353.9925806453,0,0.0
E79,***鞋业有限公司,B,否,3318032.58,46,46,6420.0,2,0.19348815435682068,4.3478260869565215,-28157.059999999125,37,89676.55621621622,0,0.0,3289875.520000001,15,15,6420.0,2,0.19514416156390008,13.333333333333334,34,96761.04470588238,0,0.0
E80,***实业有限责任公司,C,否,2600684.82,105,105,2350.91,4,0.0903958058247135,3.8095238095238098,1013357.2099999995,33,78808.6309090909,0,0.0,3614042.0299999993,38,38,2350.91,4,0.06504932650160684,10.526315789473683,34,106295.3538235294,0,0.0
E81,***机械设备有限公司,A,否,2255424.5300000003,68,68,102812.0,4,4.558432287689981,5.88235294117647,1125226.5399999963,36,62650.681388888894,3,1.4634146341463417,3380651.0699999966,119,119,102812.0,4,3.0411893410815716,3.361344537815126,36,93906.97416666656,3,0.49261083743842365
E82,***商贸有限公司,D,是,1693976.7199999993,68,68,83031.6,4,4.901578576593428,5.88235294117647,1238315.37,36,47054.908888888865,3,0.964630225080386,2932292.0899999994,8,8,83031.6,4,2.8316278682864784,50.0,35,83779.77399999998,2,0.5970149253731344
E83,***社会福利院（***社会福利社会化服务中心）,B,否,37570784.98000005,259,258,3615335.1799999997,54,9.622729953405393,20.84942084942085,-34191055.780000016,35,1073450.9994285728,54,2.0007410151908114,3379729.2000000332,160,160,3615335.1799999997,54,106.97114964121872,33.75,36,93881.36666666759,3,0.46224961479198773
E84,***建材有限公司,A,否,1658750.05,19,19,4113.6,1,0.2479939638886522,5.263157894736842,3172075.599999981,36,46076.39027777778,0,0.0,4830825.649999981,35,35,4113.6,1,0.08515314561186899,2.857142857142857,36,134189.60138888835,6,1.348314606741573
E85,***安防科技有限公司,B,否,432211.42,38,38,3800.0,1,0.8791993510953505,2.631578947368421,2227280.830000002,32,13506.606875,1,0.43859649122807015,2659492.250000002,23,23,3800.0,1,0.14288441712887104,4.3478260869565215,36,73874.78472222228,0,0.0
E86,***地质工程勘察院***分院,C,否,1741768.38,36,35,21015.2,1,1.2065438919036986,2.7777777777777777,422358.9500000002,31,56186.07677419354,1,0.7299270072992701,2164127.33,7,5,21015.2,1,0.9710704036993978,14.285714285714285,30,72137.57766666666,6,31.57894736842105
E87,***实业有限责任公司,C,是,1706273.9199999995,82,82,91976.19,6,5.390470364805203,7.317073170731707,2211103.83,30,56875.797333333314,0,0.0,3917377.7499999995,13,13,91976.19,6,2.347901986220247,46.15384615384615,30,130579.25833333332,0,0.0
E88,***贸易有限公司,A,否,683458.4600000001,26,26,0,0,0.0,0.0,1842194.4100000034,31,22047.047096774197,0,0.0,2525652.8700000034,86,86,0,0,0.0,0.0,36,70157.02416666676,4,1.098901098901099
E89,***物资有限公司,A,否,2718420.69,12,12,105022.0,2,3.8633461107154834,16.666666666666664,-855170.8300000001,34,79953.54970588235,0,0.0,1863249.8599999999,24,24,105022.0,2,5.636495794503911,8.333333333333332,36,51756.94055555555,0,0.0
E90,***文化传媒有限责任公司,C,否,757788.57,35,35,30088.0,2,3.970500637136821,5.714285714285714,2491333.5000000005,32,23680.8928125,0,0.0,3249122.0700000003,49,49,30088.0,2,0.9260347672933076,4.081632653061225,32,101535.06468750001,6,3.2085561497326207
E91,***科技实业有限公司,A,否,1493945.6500000001,35,35,121236.53,6,8.115190134259569,17.142857142857142,841455.7100000002,36,41498.49027777778,1,0.5952380952380952,2335401.3600000003,73,72,121236.53,6,5.191250295409607,8.21917808219178,36,64872.26000000001,1,0.8130081300813009
E92,***地质灾害防治有限公司,C,否,159392.41,89,89,374.0,1,0.23464103466407216,1.1235955056179776,2050160.9499999995,30,5313.080333333333,0,0.0,2209553.3599999994,13,13,374.0,1,0.0169264977606153,7.6923076923076925,36,61376.48222222221,2,5.555555555555555
E93,***电脑设计事务所,B,否,302914.82999999996,65,64,32472.0,5,10.719844914823089,7.6923076923076925,1173140.5099999998,30,10097.160999999998,1,0.4807692307692308,1476055.3399999999,28,28,32472.0,5,2.1999175179976653,17.857142857142858,36,41001.53722222222,5,3.546099290780142
E94,***汽车美容有限公司,C,否,16346.0,4,4,0,0,0.0,0.0,1036854.0799999998,22,743.0,0,0.0,1053200.0799999998,56,56,0,0,0.0,0.0,32,32912.502499999995,9,5.056179775280898
E95,***兰花店,B,否,1138.0,1,1,0,0,0.0,0.0,2309619.2600000063,24,47.416666666666664,0,0.0,2310757.2600000063,485,485,0,0,0.0,0.0,36,64187.70166666684,0,0.0
E96,***土地整理有限公司,C,否,2435469.96,6,6,0,0,0.0,0.0,-997266.0699999998,23,105889.99826086956,0,0.0,1438203.8900000001,3,3,0,0,0.0,0.0,19,75694.94157894737,0,0.0
E97,***美工装饰部,B,否,19880.0,2,2,0,0,0.0,0.0,951520.8199999996,16,1242.5,0,0.0,971400.8199999996,63,62,0,0,0.0,0.0,18,53966.7122222222,4,1.5686274509803921
E98,***文化传播有限公司,B,否,209282.98,27,27,206.0,1,0.09843132011977276,3.7037037037037033,1193958.5899999999,30,6976.099333333334,1,2.0,1403241.5699999998,25,25,206.0,1,0.014680294854719849,4.0,36,38978.932499999995,6,4.511278195488721
E99,***建筑工程有限责任公司,D,是,4536061.600000001,81,80,2465958.0100000002,6,54.36341539100792,7.4074074074074066,-3354811.3100000005,25,181442.46400000004,11,1.2629161882893225,1181250.29,2,2,2465958.0100000002,6,208.75829880219544,300.0,17,69485.3111764706,0,0.0
E100,***装饰工程有限公司,D,是,23323.02,21,21,0,0,0.0,0.0,648025.7099999998,32,728.844375,0,0.0,671348.7299999999,13,13,0,0,0.0,0.0,36,18648.57583333333,15,15.306122448979592
E101,***灯饰工程有限公司,D,是,53158.0,6,6,0,0,0.0,0.0,287387.58,14,3797.0,0,0.0,340545.58,2,2,0,0,0.0,0.0,12,28378.798333333336,0,0.0
