整租 | 优尚公寓直租，近佐阾购物中心大润发，loft一房一厅,优城商务大厦,2680,https://sz.58.com/zufang/43561408828185x.shtml
整租 | 玉翠新村C区 1室 1厅1卫,山咀头村,2500,https://sz.58.com/zufang/45532457662622x.shtml
﻿整租 | 大一房 红山深圳北站创业花园直租 近地铁民水民电 无,创业花园,2399,https://sz.58.com/zufang/45451061444244x.shtml
整租 | 这么便宜划算的房子您上哪找！！！,潜龙鑫茂花园(A区),3500,https://sz.58.com/zufang/45528191073312x.shtml
整租 | 近地铁 住宅精装两房1厅 家私家电全齐 拎包入住 下,南景新村,2500,https://sz.58.com/zufang/45517675543573x.shtml
整租 | 长湖地铁口滨河花园精装大三房 小区环境舒适 采光好,滨河花园,3100,https://sz.58.com/zufang/44798750797090x.shtml
整租 | 租就对了 文澜轻轨旁 交通便利 业主急租 环境好 宜,招商澜园(南区),3600,https://sz.58.com/zufang/45510301321902x.shtml
整租 | 4.6号线双地铁 民水民电 押一付一 无中介 精装修,元芬新村,2300,https://sz.58.com/zufang/45086446226978x.shtml
整租 | 大浪颐丰华 新百丽旁 华联丰大厦精装2房 家私电全齐,华联丰大厦,2300,https://sz.58.com/zufang/45516712019603x.shtml
整租 | 星河传奇 1室1厅1卫 3500元月 精装修 南北通,星河传奇,3500,https://sz.58.com/zufang/45332533595273x.shtml
整租 | 带出租 龙胜业主自住大两房 民水民电 适合住家,赤岭花园,2000,https://sz.58.com/zufang/44732319572264x.shtml
整租 | 整租美丽365龙华中心 车位足独立阳台大单间 光线好,美丽365花园,2880,https://sz.58.com/zufang/44138088146070x.shtml
整租 | 4号线 清湖地铁200米 精装大两房双阳台 厨卫分离,富泉新村,2200,https://sz.58.com/zufang/45462473108886x.shtml
整租 | 清湖站 富联一区 精装一房一厅 采光好 免中介 配套,富联一区,2400,https://sz.58.com/zufang/45340489708091x.shtml
整租 | 龙华大浪超大两房 民水民电 近地铁 24H安保 直租,翠景园(龙华),2599,https://sz.58.com/zufang/44367493953665x.shtml
整租 | 茜坑地铁口幸福家园精装三房家私家电齐全拎包入住第三外,茜坑新村,3100,https://sz.58.com/zufang/44798672802452x.shtml
整租 | 美佳华首誉 降价急租！！！超近地铁天虹 购物超市社康,美佳华首誉(商住楼),3900,https://sz.58.com/zufang/45452712334378x.shtml
整租 | 菁智舒居 苹果园精装修，闹中取静 众望所归 看房方便,苹果园,2600,https://sz.58.com/zufang/45422550063903x.shtml
整租 | 精装两房一厅 2200（红山）方便（上芬，龙胜）,创业花园,2200,https://sz.58.com/zufang/45529862391087x.shtml
整租 | 丹枫雅苑 2室1厅1卫 3700元月 电梯房 72平,丹枫雅苑,3700,https://sz.58.com/zufang/44725944577543x.shtml
整租 | ID精装一房尽享ID商超商圈环境优美适合宜居诚心出租,大唐时代公寓,2150,https://sz.58.com/zufang/45540226827663x.shtml
整租 | 大浪颐丰华 新百丽旁 华联丰大厦精装3房 带空中花园,华联丰大厦,3400,https://sz.58.com/zufang/45516711591471x.shtml
整租 | 观澜地铁口，精装两房 家私家电齐全 拎包入住,佳华领域广场,2700,https://sz.58.com/zufang/45367366779789x.shtml
整租 | 深圳北红山直租公寓 民水电 免费健身房 通达福田,创业花园,2300,https://sz.58.com/zufang/44897992515844x.shtml
整租 | 民治地铁精装两房一厅拎包入住，采光通风好大阳台，可用,南景新村,2400,https://sz.58.com/zufang/45430835339547x.shtml
整租 | 清湖地铁口超大豪华单间，独立花园，独立阳台，小区房单,富联新村,2880,https://sz.58.com/zufang/45441792499497x.shtml
整租 | 绿景公馆精装一房，户型方正，朝向好,绿景公馆1866(北区),4000,https://sz.58.com/zufang/45439908605347x.shtml
整租 | 阳基御龙山  精装修  采光好，通风透气，环境优美,阳基御龙山,3600,https://sz.58.com/zufang/45408823277615x.shtml
整租 | 世纪春城八号公寓 1室1厅1卫,世纪春城八号公寓,3500,https://sz.58.com/zufang/45428007240969x.shtml
整租 | 大浪九区 2室2厅1卫,大浪九区,2380,https://sz.58.com/zufang/45063820186894x.shtml
整租 | 盛世江南 1室1厅1卫,盛世江南,2500,https://sz.58.com/zufang/41683355829926x.shtml
整租 | 元芬金园大厦 2室1厅1卫,元芬金园大厦,2000,https://sz.58.com/zufang/44754569704321x.shtml
整租 | 横岭二区 2室1厅1卫,横岭二区,2100,https://sz.58.com/zufang/45266276387619x.shtml
整租 | 塘水围一区46栋小区 2室1厅1卫,塘水围一区46栋小区,2700,https://sz.58.com/zufang/45533890438794x.shtml
整租 | 浪口三区 3室1厅1卫,浪口三区,2300,https://sz.58.com/zufang/45441084448691x.shtml
整租 | 上丰花园 1室1厅1卫,上丰花园,2300,https://sz.58.com/zufang/45534889708168x.shtml
整租 | 悦湖大厦 2室1厅1卫,悦湖大厦,3500,https://sz.58.com/zufang/45529560694689x.shtml
﻿整租 | 民治地铁 东边老村 1室1厅1卫  电梯房 南北通透,东边老村,2000,https://sz.58.com/zufang/44148539891846x.shtml
整租 | 好消息！新到房源龙华大浪地铁元芬站旁精装修俩房高楼的,上早新村,2450,https://sz.58.com/zufang/45422795433498x.shtml
整租 | 苹果园单身公寓2300出租,苹果园,2300,https://sz.58.com/zufang/45353600283671x.shtml
整租 | 立减2000免租一个月 拎包入住 近地铁 公寓直租,创业花园,2069,https://sz.58.com/zufang/44588596653574x.shtml
整租 | 近U创谷 精装两房 家具家电齐全 拎包入住,上油松村,2300,https://sz.58.com/zufang/45318377243420x.shtml
整租 | 46线地铁红山站押一付一可短租 免中介家私家电齐全,东泉新村,2199,https://sz.58.com/zufang/45352088267927x.shtml
整租 | 长湖地铁口 泰莱雅苑精装2房2厅 家私家电齐全 福城,泰莱雅苑,2800,https://sz.58.com/zufang/45444173366450x.shtml
整租 | 民治大单间立减800 民水民电 拎包入住 带阳台 免,鑫茂公寓,2050,https://sz.58.com/zufang/41292307156117x.shtml
整租 | 沙元埔48栋小区 2室1厅1卫 2988元月 精装修,沙元埔48栋小区,2988,https://sz.58.com/zufang/44691720983974x.shtml
整租 | 清湖地铁站300米 大单2250元月 豪华装修,美丽365花园,2250,https://sz.58.com/zufang/45513509337403x.shtml
整租 | 可做宿舍 多床带阳台精装 长租折上折，民治 白石龙地,横岭三区,2300,https://sz.58.com/zufang/42221922645385x.shtml
整租 | 4号线红山地铁站附近500米家具家电齐全拎包入住可押,创业花园,2299,https://sz.58.com/zufang/45035273078816x.shtml
整租 | 小巧玲珑天一阁精装一房民乐地铁旁醉笋3300,书香门第名苑,3300,https://sz.58.com/zufang/45320679553041x.shtml
整租 | 管家直租，地铁口300米，押一付一民水民电，拎包入住,上早新村,2599,https://sz.58.com/zufang/45433509908638x.shtml
整租 | 4号线红山近地铁民水民电拎包入住精装修一房一厅229,创业花园,2299,https://sz.58.com/zufang/45454439088043x.shtml
整租 | 观澜二小，华盛观荟，四号线地铁口 长湖站，一房一厅齐,华盛观荟,2700,https://sz.58.com/zufang/45342952771723x.shtml
整租 | 龙华观澜体育公园旁精装全齐大两房设施齐全拎包入住。,鸿基新都,3800,https://sz.58.com/zufang/45442790053906x.shtml
整租 | 创业花园一居室 民水民电 押一付一 签约送一个月 电,创业花园,2499,https://sz.58.com/zufang/45097092600198x.shtml
整租 | 观澜医院附近，4号线 长湖地铁口，华盛观荟，一房一厅,华盛观荟,2700,https://sz.58.com/zufang/45420268662960x.shtml
整租 | 诚心出租福城天虹比邻新天地楼上 3房2厅 3800月,美佳华首誉(商住楼),4000,https://sz.58.com/zufang/45284589537153x.shtml
整租 | 直租清湖北宝湖新村精装修大三房两厅两卫，拎包入住，随,宝湖新村,3300,https://sz.58.com/zufang/45287759165185x.shtml
整租 | 新鲜一房，现有招租。不多说看品质！,金亨利都荟首府,2000,https://sz.58.com/zufang/45439973121208x.shtml
整租 | 壹城中心 共和花园 油松 带阳台 采光好 随时可以看,共和花园,2600,https://sz.58.com/zufang/45308331102214x.shtml
整租 | 元芬新村 2室1厅1卫 民水民电 押一付一 电梯房,元芬新村,2999,https://sz.58.com/zufang/45097514813462x.shtml
整租 | 白石龙地铁站附近，一房一厅，小区房，带阳台独立厨卫，,中航阳光新苑,2380,https://sz.58.com/zufang/45462947476516x.shtml
整租 | 元芬龙胜地铁口 物业直租 全新精装 拎包入住 随时看,元芬新村,2000,https://sz.58.com/zufang/45517540210838x.shtml
整租 | 通博花园 3室 2厅1卫,通博花园,3600,https://sz.58.com/zufang/45509600977544x.shtml
整租 | 金泽花园 4室2厅2卫,金泽花园,3700,https://sz.58.com/zufang/45387273301938x.shtml
整租 | 高坳新村 2室2厅1卫,高坳新村,2100,https://sz.58.com/zufang/43517230702213x.shtml
单间 | 金众繁华里 1室1厅1卫 主卧 南,金众繁华里,3900,https://sz.58.com/hezu/45529334565407x.shtml
整租 | 玉翠新村A区 3室2厅2卫,玉翠新村A区,2200,https://sz.58.com/zufang/45529130706317x.shtml
整租 | 紫汇花园 3室 2厅2卫,紫汇花园,2300,https://sz.58.com/zufang/45495410396549x.shtml
整租 | 樟坑三区 2室1厅1卫,樟坑三区,2600,https://sz.58.com/zufang/45495541942452x.shtml
整租 | 尚品雅居 1室1厅1卫,尚品雅居,2000,https://sz.58.com/zufang/45529100642728x.shtml
整租 | 民乐花园 2室1厅1卫,民乐花园,2300,https://sz.58.com/zufang/45528941169324x.shtml
整租 | 上丰花园 1室1厅1卫 2000元月 45平 电梯房,上丰花园,2000,https://sz.58.com/zufang/45298064811784x.shtml
整租 | 展滔大厦 牛栏前 U创谷 （两房整租）年底特价 精装,上油松村,2000,https://sz.58.com/zufang/44644159529118x.shtml
整租 | 出租，精装1房1厅，高楼层视野好，家私家电齐全拎包入,百丽名苑,2100,https://sz.58.com/zufang/45472185893639x.shtml
整租 | 龙华公寓大三房拎包入住 松和小学附 可随时看房 民水,警备区龙华公寓,3100,https://sz.58.com/zufang/45508886463931x.shtml
整租 | 龙华壹方天地附近（两室整租）停车.WIFI配套齐全,集瑞楼一区,2000,https://sz.58.com/zufang/44588586575784x.shtml
整租 | 小区房 龙华文化广场 松和小学旁 龙华公寓高层两房,警备区龙华公寓,3200,https://sz.58.com/zufang/45509347847559x.shtml
整租 | 大浪服装基地附近 华联丰大厦精装3房 花园小区 月卡,华联丰大厦,3500,https://sz.58.com/zufang/45516711526178x.shtml
整租 | 鸿华中心 清湖北 三房一厅 押一付一 采光好 随时入,玉翠新村A区,2700,https://sz.58.com/zufang/45453309035653x.shtml
整租 | 民治天虹附近 潜龙学校对面单间降价出租 看房方便,潜龙鑫茂花园(C区),2300,https://sz.58.com/zufang/45322778581932x.shtml
整租 | 地铁口 阳基御龙山 精装俩房  空房出租 看房方便,阳基御龙山,3100,https://sz.58.com/zufang/45486764097432x.shtml
整租 | 4号线清湖北地铁口富联新村近保利悦都清泉小区富士康尚,富联新村,2480,https://sz.58.com/zufang/44622128304032x.shtml
整租 | 吐血价福田上班的看过来，红山地铁站精装大两房拎包入住,创业花园,2000,https://sz.58.com/zufang/44422866509586x.shtml
整租 | 茜坑地铁口 幸福家园3房2厅 采光通风好 拎包入住,茜坑新村,2800,https://sz.58.com/zufang/45444037584654x.shtml
整租 | 汇海广场，龙华天虹商场，超大阳台两房，家私齐全，可明,郭吓新村,2300,https://sz.58.com/zufang/44492114855310x.shtml
整租 | 茜坑地铁口幸福家园 三房两厅 精装修 家私家电齐全,茜坑新村,3000,https://sz.58.com/zufang/45310450971529x.shtml
整租 | 红山地铁口 东泉新村 6979商圈 采光好 民水民电,东泉新村,2299,https://sz.58.com/zufang/45275945372826x.shtml
整租 | 直租居家精装修拎包入住，视野无遮挡，厨卫分离可用燃气,悦湖大厦,3000,https://sz.58.com/zufang/44557213621907x.shtml
整租 | 4号线直达福田 家电齐全电梯房 高楼层南北通透 大阳,逸秀新村,2500,https://sz.58.com/zufang/45329243078300x.shtml
整租 | 带空中花园，地下车库  大三房,金威大厦,3200,https://sz.58.com/zufang/45421853258117x.shtml
整租 | 5号线 塘朗城 二房一厅 这是我们梦想的寄托，温馨小,沙元埔村132号,2980,https://sz.58.com/zufang/38550302023949x.shtml
整租 | 长湖地铁口 华盛峰汇豪装复式大三房小区居住环境舒适,华盛峰荟名庭,4000,https://sz.58.com/zufang/45322438948909x.shtml
整租 | 福田上班还在找房的看过来 一房一厅价格优惠 超近地铁,白石龙一区,2000,https://sz.58.com/zufang/45519748234031x.shtml
整租 | 双地铁口 泰莱雅苑3房2厅2卫 采光好 家私家电齐全,泰莱雅苑,3800,https://sz.58.com/zufang/44798284388261x.shtml
整租 | 1866绿景公馆，诚心出租，看房方便，有钥匙,绿景公馆1866(北区),4000,https://sz.58.com/zufang/45439905756331x.shtml
整租 | 装修豪华面积51平的高品质一房，高性价比,星河传奇,3200,https://sz.58.com/zufang/44988318268941x.shtml
整租 | 五号线民治近地铁 精装两房1厅 家私家电全齐 拎包入,南景新村,2800,https://sz.58.com/zufang/45474827795858x.shtml
整租 | 警备区龙华公寓 2室2厅1卫,警备区龙华公寓,2600,https://sz.58.com/zufang/45346862662446x.shtml
整租 | 高盛公寓 3室1厅2卫,高盛公寓,2600,https://sz.58.com/zufang/45354904149930x.shtml
整租 | 展通大厦 3室2厅2卫,展通大厦,3500,https://sz.58.com/zufang/45532376489096x.shtml
整租 | 下油松村 3室2厅2卫,下油松村,2800,https://sz.58.com/zufang/45531211275311x.shtml
整租 | 锦绣花园(龙华) 2室2厅1卫,锦绣花园(龙华),2600,https://sz.58.com/zufang/44216247725727x.shtml
整租 | 清湖老村 2室1厅1卫,清湖老村,2098,https://sz.58.com/zufang/45532092243893x.shtml
整租 | 东环大厦 3室2厅2卫,东环大厦,4000,https://sz.58.com/zufang/45064351935879x.shtml
整租 | 弓村 2室1厅1卫,弓村,2900,https://sz.58.com/zufang/45496255337878x.shtml
整租 | 民乐一区 2室 1厅1卫,民乐一区,2800,https://sz.58.com/zufang/45531922544802x.shtml
整租 | ID精装一房尽享ID商超商圈环境优美适合宜居诚心出租,大唐时代公寓,2150,https://sz.58.com/zufang/45540226827663x.shtml
整租 | 大浪颐丰华 新百丽旁 华联丰大厦精装3房 带空中花园,华联丰大厦,3400,https://sz.58.com/zufang/45516711591471x.shtml
整租 | 观澜地铁口，精装两房 家私家电齐全 拎包入住,佳华领域广场,2700,https://sz.58.com/zufang/45367366779789x.shtml
整租 | 深圳北红山直租公寓 民水电 免费健身房 通达福田,创业花园,2300,https://sz.58.com/zufang/44897992515844x.shtml
整租 | 民治地铁精装两房一厅拎包入住，采光通风好大阳台，可用,南景新村,2400,https://sz.58.com/zufang/45430835339547x.shtml
整租 | 清湖地铁口超大豪华单间，独立花园，独立阳台，小区房单,富联新村,2880,https://sz.58.com/zufang/45441792499497x.shtml
整租 | 绿景公馆精装一房，户型方正，朝向好,绿景公馆1866(北区),4000,https://sz.58.com/zufang/45439908605347x.shtml
整租 | 阳基御龙山  精装修  采光好，通风透气，环境优美,阳基御龙山,3600,https://sz.58.com/zufang/45408823277615x.shtml
整租 | 龙华 上芬地铁站旁 大两房一厅 阳台光线好 家电齐全,西头瓜地新村68号小区,2600,https://sz.58.com/zufang/45302693804438x.shtml
整租 | 龙华观澜4号线地铁口，深业泰然玫瑰苑温馨一房一厅,深业泰然观澜玫瑰苑,2800,https://sz.58.com/zufang/45486995119897x.shtml
整租 | 整租 五号线 民治 潜龙花园一房一厅 单间   拎包,潜龙花园,2400,https://sz.58.com/zufang/45412332453414x.shtml
整租 | 龙华清湖北地铁口金湖雅苑精装大两房户型方正，南北通透,金湖雅苑,3300,https://sz.58.com/zufang/45495488341380x.shtml
整租 | 滢水山庄 精装大两房 家私齐全 拎包入住 随时看房,滢水山庄(一区),3400,https://sz.58.com/zufang/44867692794502x.shtml
整租 | 创业花园 免租一个月 立减2000 民用水电精装公寓,创业花园,2069,https://sz.58.com/zufang/45507881399092x.shtml
整租 | 龙华 观澜 万科九龙山 精装大三房 随时看房,万科九龙山,3500,https://sz.58.com/zufang/45499825980979x.shtml
整租 | 丰润花园90平三房租3100元，可申请学校，真实价格,丰润花园,3300,https://sz.58.com/zufang/45499955634067x.shtml
整租 | 都知道的地段 都知道的装修 赶紧过来 看见就是还在！,龙光玖钻,2999,https://sz.58.com/zufang/44613478585127x.shtml
整租 | 壹城中心 展滔大厦 精装一房一厅 停车方便 环境好,鸿荣源壹成中心花园,2000,https://sz.58.com/zufang/45454564342971x.shtml
整租 | 急租急租急租茜坑地铁300米交通方便周边有福城天虹比,美佳华首誉,3700,https://sz.58.com/zufang/45495248070913x.shtml
整租 | 壹方天地AB区300米（两房整租）押一付一开年特价,共和花园,2000,https://sz.58.com/zufang/44490944918808x.shtml
整租 | 观澜新天虹，观澜二小对面，观澜四号线地铁口长湖站，泰,泰莱雅苑,3800,https://sz.58.com/zufang/45421273115137x.shtml
整租 | 中航格澜阳光花园  2室2厅1卫 3900元月,中航格澜阳光花园(一期),3900,https://sz.58.com/zufang/45497048634669x.shtml
整租 | 龙华富士康南门旁百丽名苑精装三房拎包入住带地面免费停,百丽名苑,3000,https://sz.58.com/zufang/45508456327814x.shtml
整租 | 大浪商业中心三合附近精装修小产权出租家私家电齐全双阳,佳运大厦,2999,https://sz.58.com/zufang/45485859233064x.shtml
整租 | 五号线民治近地铁 精装两房1厅 家私家电全齐 拎包入,南景新村,2800,https://sz.58.com/zufang/45475303776013x.shtml
整租 | 人民公园旁华盛观荟，观澜四号线地铁口长湖站，三房家电,华盛观荟(商住楼),3200,https://sz.58.com/zufang/45364223961491x.shtml
整租 | 高盛公寓 3室2厅1卫,高盛公寓,3800,https://sz.58.com/zufang/40056468974489x.shtml
单间 | 东龙新村 1室1厅1卫 主卧 东南,东龙新村,2150,https://sz.58.com/hezu/45358491070483x.shtml
整租 | 潜龙景园 2室1厅1卫,潜龙景园,2880,https://sz.58.com/zufang/44487401308806x.shtml
单间 | 特发和平里(一期) 3室2厅2卫 次卧 南,特发和平里(一期),2200,https://sz.58.com/hezu/45534543660955x.shtml
整租 | 警备区龙华公寓 1室0厅1卫,警备区龙华公寓,2400,https://sz.58.com/zufang/45534529663654x.shtml
整租 | 1980科技文化产业园 1室1厅1卫,1980科技文化产业园,3000,https://sz.58.com/zufang/45445147800588x.shtml
整租 | 潜龙景园 3室1厅1卫,潜龙景园,3900,https://sz.58.com/zufang/45345011721656x.shtml
整租 | 上油松村 2室1厅1卫,上油松村,2100,https://sz.58.com/zufang/45312632909858x.shtml
整租 | 澳华花园 4室2厅2卫,澳华花园,3800,https://sz.58.com/zufang/45399609753519x.shtml
整租 | 新鲜一房，现有招租。不多说看品质！,金亨利都荟首府,2000,https://sz.58.com/zufang/45439973121208x.shtml
整租 | 壹城中心 共和花园 油松 带阳台 采光好 随时可以看,共和花园,2600,https://sz.58.com/zufang/45308331102214x.shtml
整租 | 元芬新村 2室1厅1卫 民水民电 押一付一 电梯房,元芬新村,2999,https://sz.58.com/zufang/45097514813462x.shtml
整租 | 白石龙地铁站附近，一房一厅，小区房，带阳台独立厨卫，,中航阳光新苑,2380,https://sz.58.com/zufang/45462947476516x.shtml
整租 | 元芬龙胜地铁口 物业直租 全新精装 拎包入住 随时看,元芬新村,2000,https://sz.58.com/zufang/45517540210838x.shtml
整租 | 龙华西坑地铁旁美佳华首誉全齐两房两卫随时看房合正观澜,美佳华首誉,3600,https://sz.58.com/zufang/45497395226413x.shtml
整租 | 公交多白石地铁口，拎包入住，通风采光好，精装两房，潜,潜龙花园,4000,https://sz.58.com/zufang/45002142419465x.shtml
整租 | 地铁六号线新房源大三房  学校方便,三合新村,2800,https://sz.58.com/zufang/45352794374581x.shtml
整租 | 租房无中介民水民电近地铁红山深圳北双地铁口精装修带家,创业花园,2009,https://sz.58.com/zufang/45340563215547x.shtml
整租 | 上塘地铁站300米精装一房一厅，采光好拎包入住,龙塘新村,2300,https://sz.58.com/zufang/45253356581010x.shtml
整租 | 近红山地铁站附近  东泉新村，精装修2房，独立阳台,东泉新村,2280,https://sz.58.com/zufang/44230596837018x.shtml
整租 | 白石龙地铁口！可短租3个月 精装全齐家私 民用水电,鑫茂公寓,2280,https://sz.58.com/zufang/41292275213470x.shtml
整租 | 白石龙一区 2室1厅1卫 2988元月 68平 电梯,白石龙一区,2988,https://sz.58.com/zufang/45345659574838x.shtml
整租 | 清湖地铁站 1室1厅 2780元月 45平 豪华装修,美丽365花园,2780,https://sz.58.com/zufang/45513434458889x.shtml
整租 | 行知学校旁 观澜百丽名苑精装2房出租 免费停车 装修,百丽名苑,2400,https://sz.58.com/zufang/45506621301689x.shtml
整租 | 实图实价嘉龙山庄别墅一房,嘉龙山庄,3000,https://sz.58.com/zufang/45386074726288x.shtml
整租 | 龙胜地铁站两房一厅折扣价 家私家电齐全 朝向好 无遮,龙胜新村,2200,https://sz.58.com/zufang/45497621781892x.shtml
整租 | 地铁口150米   龙光玖钻 民用水电燃 40平拎包,鑫海公寓(龙华),3900,https://sz.58.com/zufang/44557654485539x.shtml
整租 | 如果可以 真想天天和你在一起 答应我房子在等你,港铁天颂,2500,https://sz.58.com/zufang/45431056929177x.shtml
整租 | 潜龙鑫茂花园 小区绿化高 停车充足白石龙民治双地铁,潜龙鑫茂花园(A区),2600,https://sz.58.com/zufang/45355851516949x.shtml
整租 | 连着地图的小区俩房，看到证明是缘分了。来咨询吧，,特发和平里(商住楼),3200,https://sz.58.com/zufang/45377705091369x.shtml
整租 | 红山双地铁口 创业花园 超好视野 精装修 民水民电,创业花园,2299,https://sz.58.com/zufang/45033744215189x.shtml
整租 | 近大润发海韵大厦两房一厅电梯房采光好,塘水围一区,2480,https://sz.58.com/zufang/45411302517420x.shtml
整租 | 白石龙二区 豪华一室一厅 全新配置 环境好 安静,白石龙二区,2280,https://sz.58.com/zufang/45410439366549x.shtml
整租 | 真实在租 清铭泉旁 DT时代公寓 精装欧式一房一厅,大唐时代公寓,2800,https://sz.58.com/zufang/44136583963034x.shtml
整租 | 6号线 元芬站 特价两房 直租价格优惠 家私齐全拎包,元芬新村,2100,https://sz.58.com/zufang/45527410749621x.shtml
整租 | 简上村 2室1厅1卫,简上村,2000,https://sz.58.com/zufang/45507987901083x.shtml
整租 | 惠鑫公寓 2室1厅1卫,惠鑫公寓,3300,https://sz.58.com/zufang/45285951966991x.shtml
整租 | 瓜地村 2室1厅1卫,瓜地村,2000,https://sz.58.com/zufang/43808034101763x.shtml
整租 | 万众生活村 3室2厅1卫,万众生活村,2700,https://sz.58.com/zufang/45528564888634x.shtml
整租 | 茜坑路214号小区 2室1厅1卫,茜坑路214号小区,2580,https://sz.58.com/zufang/42565903594780x.shtml
整租 | 富泉新村 1室0厅1卫,富泉新村,2080,https://sz.58.com/zufang/45528355478566x.shtml
整租 | 清湖社区新村 2室1厅1卫,清湖社区新村,2158,https://sz.58.com/zufang/44792581392934x.shtml
整租 | 潜龙阁 2室2厅1卫,潜龙阁,3800,https://sz.58.com/zufang/40619040491424x.shtml
整租 | 陶吓新村 2室1厅1卫,陶吓新村,2400,https://sz.58.com/zufang/45410534294546x.shtml
﻿整租 | 地铁口  招商观园 2室1厅1卫 光线好 电梯房,招商观园,3550,https://sz.58.com/zufang/45531482960402x.shtml
整租 | 地铁口旁，高楼层采光好 3室1厅1卫 3000元月,华盛峰荟名庭,3000,https://sz.58.com/zufang/45538824788027x.shtml
整租 | 集体围观租房 美佳华首誉 社康在楼下 福成天虹附近,美佳华首誉,3900,https://sz.58.com/zufang/45488087094798x.shtml
