marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,review_headline,review_body,review_date
US,45009431,RTYQK30NMOCM6,B001BOFIRO,26711891,andis tourmaline ionic/ceramic 1875 watt hair dryer,Beauty,1,0,0,N,HOT AIR!,"I've had this blow dryer for just over a year, and it finally started smoking and sparking so bad, I believe it would have caught on fire if I didn't turn it off.  For the last 6months, if not longer,  I've noticed that when I 1st turn it on it smells really hot and the air flow is very low.  But after fiddling with the heat controls and the cool button it will gradually begin to blow at the normal flow.  I've used cheaper blow dryers in the past that I get a minimum of 3-5 yrs out of!!!!  I'ts the weekend and Andis is closed, but I'll attempt to contact them to see if there is anything that they are willing to do, refund/repair or even replace this unit.  Please note that on their website over half of their blow dryers seem to be discontinued, hmm wonder why. I'll update my review once I hear, or don't hear back from this company.",8/29/2015
US,16030865,R3GELVX38EM91L,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,Beauty,5,0,0,N,Works just like the ones in the hotels.,"So handy, works great, frees up counter top space in my small bathroom.",8/29/2015
US,28248079,ROMFVXSLZP6HW,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,5,0,0,N,I am obsessed,"After using the same blowdryer for probably 8-10years, I decided to upgrade to a new one. I have very thick (*VERY THICK!*) moderately wavy shoulder length hair. Due to my hair thickness, drying times were typically 30-45minutes. I wish I was joking. This dryer dries completely in under 15 minutes (about 10-12minutes more precisely). I am so thrilled with this dryer!! Can't say enough good things about it! I like the texture of the dryer itself, love the speed of drying and the cord is long enough to actually be able to use it! SCORE!",8/29/2015
US,15040037,R1MNTJKIK8FETW,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",Beauty,5,0,0,N,Works great. Just wish it had a medium setting,Works great.  Just wish it had a medium setting.,8/29/2015
US,39094191,R1PVX4QFWHMCWO,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,5,0,0,N,No complaints!,"I blowdry my hair at least 3 times a week and I was using a really, really old, cheap, bulky one to get the job done. This dryer gets the job done a lot better! It's smaller, lighter, more ergonomic if you will, and dries my long, thick hair (not always a good thing!) reasonably quick! Great purchase, as long as it lasts as long as my old ones did :)",8/29/2015
US,49609338,RSJM2TUS1RV7B,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,Beauty,5,0,0,N,Five Stars,"Love this, keeps my curls nice and not frizzes out.",8/29/2015
US,48907213,R3QWLLEFDJAE1S,B0002G214U,685652978,conair soft bonnet hair dryer 1 ea,Beauty,2,0,0,N,Two Stars,Bonnet is too small,8/29/2015
US,24609384,R3KD277RB5OGGF,B00092M2XW,196041133,hot tools professional 1600 watt super quiet turbo lightweight hair dryer,Beauty,3,0,0,N,Great blowdryer. it gets the job done,Great blowdryer. it gets the job done. the only thing i dislike is how it is not compatible with universal comb attachments. also as i blowdry my hair the attachment keeps falling off,8/28/2015
US,16117804,R1CH89SEVYIHW0,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",Beauty,5,0,0,N,Well worth the money!,Amazing amount of air that comes out of it! My wife and I love it... My waiting time to go out is cut in more than half!! Highly recommended. Feels solid like you are getting your money's worth. Has a nice long cord too..,8/28/2015
US,37828852,R3N3KZ7ZP8HJQV,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,4,0,0,N,Buy this,"So far, an excellent hair dryer. Not too noisy. Good controls. The handle is well contoured. My only nit is that the little plastic attachment that directs the stream of warm or hot air pops off a little too easily.",8/28/2015
US,2591476,R1PCG4HG8GZJBE,B007ROD3O2,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,5,0,0,N,Five Stars,"This item it's been working perfectly fine, I'm glad i ordered!!",8/28/2015
US,10881188,R38Q9W9BNZN2C4,B0009XH6V4,670161917,andis micro turbo hair dryer,Beauty,5,0,0,N,Great little dryer!,It is so hard to find a small blowdryer. I'm very happy with this!,8/28/2015
US,16209825,R1WXXPRNQWE7Y6,B0009XH6WI,197856712,andis 1600w quiet hangup hair dryer with night light,Beauty,5,0,0,N,Perfect,Perfect,8/28/2015
US,15821693,R3SS843K1CWOIY,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,5,0,0,N,Five Stars,Great dryer.,8/28/2015
US,22054162,R1CBKQKQYW50UX,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,5,0,0,N,Great blow dryer,looks exactly as in photo. light weight and works like a charm. would definitely recommend,8/27/2015
US,42192723,R3DTN85N6X9SIS,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,Beauty,5,0,0,N,Great dryer for travel,Small and strong.  Great dryer for travel.  Also has dual voltage.  Glad I bought it!,8/27/2015
US,37151655,R3LY7MANJ71HBW,B004INUY06,303775294,"conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue",Beauty,3,37,38,N,This Conair Is Full of Air,"Not as good as the original Conair 1875. Makeovers and upgrades don't always yield the best results. For instance, this 1875 replica. Lacks the basic functions a blow dryer should have, such as temperature adjustment. There is only a setting for high and low fan speed. Also, in order to use the air only feature with no heat, the cooling button has to be pressed and held down to use this basic function. This causes a person's fingers to get tired, holding a button over using a sliding switch. Then there is the retracted cord that is missing. That was probably the most valuable feature for the original Conair 1875. Made the dryer much more portable. Even useful when not traveling. Now the new 1875 has its cord sprawled all over the bathroom counter. The original is much better. This is slightly smaller with about 10 watts more power and a directional air controller, but overall not worth the investment.",8/27/2015
US,15701257,R24QP0W6EEOHUS,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,Beauty,5,0,0,N,was easy to mount on the wall,"Seems to be working well, was easy to mount on the wall.",8/27/2015
US,47174340,RLQUFMAV4PDJV,B0009XH6V4,670161917,andis micro turbo hair dryer,Beauty,5,2,2,N,"Petite, but Powerful Performance","This is the 2nd time I bought this little hair dryer because I like it so much. My first one finally bit the dust after about 3 years. It's very small and lightweight--a plus for the suitcase, but still powerful enough to blow dry my hair fast. I have short hair, and this sweet little dryer is all I need to dry and style my hair--no need for a comb or brush. It's no frills--only 2 speeds--high and low. But it does exactly what I need it to, and it does it fast!",8/27/2015
US,50141876,RO9KNA385PZML,B001LQY1X4,748065701,conair 1875 watt mid-size hair dryer,Beauty,5,0,0,N,Five Stars,No complaints,8/27/2015
US,655525,R2XSDRSLLGC750,B001LQY1X4,748065701,conair 1875 watt mid-size hair dryer,Beauty,1,0,0,N,One Star,not good,8/27/2015
US,52417166,R1GNASF5UI5MFK,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",Beauty,5,0,1,N,but it worked great. Dried my hair in about 15 minutes,"I have just used it once, but it worked great. Dried my hair in about 15 minutes.",8/27/2015
US,42322138,R20ZGQIMYDIS4H,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,5,0,0,N,Great hair dryer.,"Powerful, lots of fan settings, cold air button, and best of all, a retractable cord! I like the folding handle for traveling, too.Great product. I can blow my hair dry and blow out of here for a quick appointment!",8/27/2015
US,17346402,R17M5MZ51QMVCK,B000H0XV3G,963066492,vidal sassoon vs547 1875w tourmaline ceramic hair dryer,Beauty,3,0,0,N,so good..,"So far, so good ...",8/26/2015
US,19362492,R3F0HVXSBUC4ZA,B00APV7OWG,443954263,onei mk-ii air ionique hair dryer with ionic generator for professional blowouts,Beauty,1,0,0,N,Just annoying to have to deal with this,The cold button stuck on the 2nd use.  Now have to have it replaced.  Just annoying to have to deal with this.,8/26/2015
US,14658089,RVQC05SNQCV7U,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,1,0,0,N,Piece of crap,It broke the third time I used it piece of crap,8/26/2015
US,14338649,R2CNQVPGS12Q9U,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,0,N,Five Stars,Very powerful. Dries my hair quickly.,8/26/2015
US,33442218,R2DCN3LVLN029S,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,3,0,0,N,Three Stars,The ends are pink. Not what I expected,8/26/2015
US,46032702,R3U2Q8FK78NL25,B003ICX810,415057628,pro beauty tools professional turbo hair dryer,Beauty,5,0,0,N,happy with product,Product is just as described. Super fast delivery,8/26/2015
US,17077054,R1VR5BNNT6O42J,B000H0XV3G,963066492,vidal sassoon vs547 1875w tourmaline ceramic hair dryer,Beauty,4,0,0,N,Good for the price,It's a good hair dryer for the price.  I do find that it smells like it's burning on High/Hot. I use it on warm and low so it's just fine for my needs.<br />I tried a SalonSalon hair dryer at a friends house which was fabulous - turns out it costs $169!  Way out of my budget. This one will probably last a year and then I'll probably buy another Sassoon tourmaline ceramic - helps keep the fly aways from flying away!,8/26/2015
US,48160709,R1NRG8W14M4CLG,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,0,0,N,Five Stars,This is a great hair dryer with loads of power.  It feels like a salon dryer.,8/26/2015
US,48321845,R3L5SKZ80SISVL,B000065DJY,919751065,revlon 1875w volumizing hair dryer,Beauty,2,1,1,N,Diffuser made curls frizzy,The diffuser made my curly hair really frizzy and messy.,8/26/2015
US,7755701,R3TK7ALY9OX6AU,B003L0LWYY,531585937,bed head hot head 1875w hair dryer for massive shine,Beauty,5,0,0,N,Five Stars,Cute and stylish,8/26/2015
US,8341992,R14H2YRC78LPRI,B008O1V33A,569841544,professional lightweight hair dryer,Beauty,3,0,0,N,Not as hot and powerful as I expected and somehow ...,Not as hot and powerful as I expected and somehow it does not deliver any kind of expected shining usually produced by professional ceramic dryers...,8/26/2015
US,45005186,R325ASXFQ8D66J,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,Beauty,2,0,0,N,Disappointed in the packaging.,This product arrived in an open box. The cord was pushed into the box. Looked as if it had been returned. But it arrived quickly and it works. Small easy to travel with.,8/26/2015
US,11160296,RXTB7K8FZ2CUI,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",Beauty,4,0,0,N,Not bad!!,"Not a bad dryer! Yes, heavy, but sleek as can be and doesn't burn my hair.",8/25/2015
US,44681219,R2B9QSQYIMD9IQ,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,0,N,Mom Loves It!,"I bought this for my girl to keep her from buying another Walmart bargain. I can tell it's quieter than most and she says it dries her hair faster. Nice lightweight unit, ergonomically designed. The cleanable filter on the back is a nice feature.",8/25/2015
US,49305973,R2CWOY8AIVXR78,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,0,N,Five Stars,Bang for the buck very good. Good quality,8/25/2015
US,47273846,RGCXNOF41RJUV,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,4,0,0,N,It works,Less heat and more blow would be better,8/25/2015
US,3856212,R27KFIYH6UN3Z9,B00005O0MZ,694290590,conair corp pers care 146np conair ionic conditioning 1875-watt hair dryer,Beauty,1,0,0,N,One Star,It suddenly can't turn on days ago.,8/25/2015
US,33864168,R2MAVSNJJ62S54,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,4,2,2,N,Great Hairdryer,"Great Hairdryer, affordable price, delivery was quick, like the packaging and the extra hair drying tips you get by email. Wishing it had a little bit more power in the cool blast but no big deal. Im pleased that I bought this product to replace my old hairdryer which took 20mins to dry my hair, happy to say it has cut the timing of drying my long hair down to 8minutes and leaves my hair smooth enough not to use the GHD hair irons. Only major downside is that it is quite noisy.",8/24/2015
US,47058494,R1VTV0AKB52C9H,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",Beauty,4,1,1,N,I love this hair dryer,"I love this hair dryer; the available speeds and temperatures are perfect and it's the most quiet hair dryer I've ever owned.  The only drawback for me is the placement of the on-off switch; it's located at the very bottom of the handle so I have to use two hands to turn it on or off.  A better design would be to reverse the placement of the buttons so it could be turned on/off easily with my thumb; currently, the speed/temperature button is easily reached with my thumb, but I don't change that very often.  That is the only reason I didn't give it five stars.  Nevertheless, I still highly recommend it and would buy it again.",8/24/2015
US,37126096,R1V4NOB6BPAQP7,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,5,0,1,N,Great,This dryer is exactly what I wanted very lightweight and does the job,8/24/2015
US,43251367,RJRW0RDNSZ6I1,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,0,0,N,This is the best dryer I have ever used,"This is the best dryer I have ever used. It isn't all that quiet, and though it's not really heavy, it is bigger than I'm used to and so still a bit unwieldy in my unpracticed hands, but it dries my thick, coarse, shoulder-length hair faster than any other device I have ever used. It also leaves my hair notably silkier and more manageable than other dryers. The Allure would seem to offer the benefits of an expensive professional tool at a surprisingly reasonable price. Hoping it holds up over time, and planning to purchase another to keep at my summer cottage.",8/24/2015
US,43649610,R6TDV0VZY8MJ2,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,0,N,Great product.  My wife loves it.,"My wife is very happy with this hair dryer and she has very full, THICK hair!",8/24/2015
US,13327551,R19QC4I6XAFVRT,B0026ZD0WM,57056668,sunbeam 1632-040 global economizer hair dryer,Beauty,4,0,0,N,Four Stars,So far so good,8/24/2015
US,139704,R5QPK9FEGOJMS,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",Beauty,2,1,1,N,Two Stars,blow holes are only at the top would be great if they were at the sides,8/24/2015
US,17651331,R3ATL80Z74M7OG,B004YZMKKU,258419037,"john frieda(r) jf1r 1,875-watt hair dryer",Beauty,3,0,0,N,Three Stars,Never had a blow dryer tangle my hair and make it limp. It does get your hair dry slowly.,8/24/2015
US,139034,R7GF4Y91VF0QF,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,Beauty,4,0,0,N,Four Stars,Good as expected,8/24/2015
US,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",Beauty,5,13,16,N,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015
US,51376596,R1JPB4C7WUPASJ,B0026ZD0WM,57056668,sunbeam 1632-040 global economizer hair dryer,Beauty,5,0,0,N,Quality and good looks.,"Nice quality, fairly quiet, nice looking and not too big.  I bought two.",8/23/2015
US,27951590,R2O4W8PM98H3XE,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",Beauty,5,0,0,N,Five Stars,Very Much Worth It!,8/23/2015
US,49909852,RAKZYMW6TR3GS,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,3,0,0,N,Not as Quiet as the Reviews said,"I was hoping for a quieter blow dryer. This is definitely quieter than my other dryer, but still not quiet. I also read all kinds of reviews that said this dries your hair so it's smooth and silky. The only thing that makes my hair smooth and silky is product!",8/23/2015
US,15018460,R1BHICCLA0TLA3,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,Beauty,5,0,0,N,Five Stars,Best blow dryer i have purchased in a long time,8/23/2015
US,241383,R3MUY94GYQOVXT,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,3,0,0,N,Three Stars,needs an expensive transformer,8/23/2015
US,41395106,RX4KK6EUQL2UU,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,Beauty,5,0,0,N,Five Stars,I love how compact it is and how amazing it works!!!,8/23/2015
US,12121525,R2XBF2DRY15JIU,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,0,1,N,Happy with this purchase.,"This is a great dryer for the price. I haven't noticed my strands being shiny or silky,  but the dryer dries quickly and isn't very loud.  I appreciate the different heat and speed settings. The barrel is longer than most other dryers I've used but it isn't hard to grip or control. It is boxed nicely and comes with a diffuser attachment. I would recommend this productIf you check out the pictures in other's reviews you'll see they have had luck with smooth, shiny hair. I have not gotten a chance to use it that much to see results and I've been using texturing product which also isn't conducive to smooth or shiny hair.",8/23/2015
US,36636816,R2NIAGVHHIJBYH,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,4,0,0,N,Big and heavy,"It's not that small, and quite heavy. It works reall well! But not really portable, or light enough to be a travel dryer.",8/23/2015
US,793739,R3NYBF74UO3OLT,B000S8JB36,276205451,"herstyler pro-fusion dryer – negative ion technology, far infrared heat, ergonomic design – best hair dryer – professional quality",Beauty,5,0,0,N,Five Stars,Good experience will order again,8/22/2015
US,9905521,R1PR84OBE7Q3KM,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",Beauty,4,0,0,N,Four Stars,will dry hair very fast,8/22/2015
US,31047016,R1EESPDTO6C4EE,B001UE7D2I,127343313,andis 1875-watt tourmaline ceramic ionic styling hair dryer,Beauty,5,0,0,N,Five Stars,Great blow dryer !!!!,8/22/2015
US,3683375,R3PLPPJMD961Z0,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",Beauty,5,0,0,N,Great price!! Great dryer,Great for the price!! Glad I didn't spend hundreds like I've seen on others!! Love it!!,8/22/2015
US,1975758,R8X1RMK5JDGKM,B006QREFI4,168649310,panasonic kurukuru hair dryer eh-ka25-p pink | ac100v 50/60hz (japan model),Beauty,3,0,0,N,I enjoyed using this at the beginning,"I enjoyed using this at the beginning.  After few months of use, it gets over hot easily and I have to stop and wait until it cools down.",8/22/2015
US,22818653,RIGRO8YAV5XL6,B0012HEGCI,66259499,hot tools tourmaline ionic standing hair dryer hood rolling salon wheels stand,Beauty,5,1,1,N,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015
US,143938,R1Q31WY7K8V9JI,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,1,2,2,N,Well they refund my money but I don't recommend this product,A non working product. Just west of time and energy. Well they refund my money but I don't recommend this product.,8/22/2015
US,5937828,R19CPR1IAL5XFP,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,5,0,0,N,Best ever,Best one,8/22/2015
US,49949511,R6SBBM9ZB8U9W,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",Beauty,5,0,1,N,Love it!,"This had terrible reviews but it was the only one I could find with the 3 things I wanted: diffuser, retractable cord, and folding handle. I figured for the price it was with a try. I'm so glad I did because I love it! I don't understand the negative reviews. It dries my hair quickly and my very curly hair looks great!",8/22/2015
US,47871420,R2ULR8J582ZZ07,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,3,0,0,N,Fairly decent but causes some frustration,"This hair dryer is one of the fastest drying hair dryers I've ever used. It also looks sleek and professional. I like that it comes with multiple attachments to give you the best blow dry you can get.<br /><br />I only have a few issues with this particular hair dryer. It blows really hard. Even on the slowest setting, the air blows out very forcefully. If I need precision drying, I have to use the diffuser attachment, otherwise my hair gets blown to smithereens. Another problem is the rocker switch design. When I'm using this, the rocker switch controls on the handle are very easy to push and I'm regularly having to reset my settings. After I while this gets very annoying.<br /><br />It seems to be lasting me pretty well. I've been using it almost one year and haven't had any trouble with its performance. I hope it lasts me a few more years.<br /><br />Overall, this hair dryer is usable but might cause some frustration.",8/22/2015
US,137113,R1F9U7LHF7K0TZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,5,1,1,N,my new favorite hair dryer,Absolutely the best hair dryer I've ever owned hands down!!!! I love this dryer so freakin fast it's amazing. Came in less than a weeks time. Very pleased!,8/22/2015
US,13627408,RHF4JD5B0L6D0,B000A3I2X4,235105995,"revlon essentials 1875w fast dry hair dryer, rv408",Beauty,5,0,0,N,Love it,So far so good.,8/22/2015
US,32249718,RJ4HTF6UC3JGC,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,1,0,0,N,Overheated in 2 minutes.,Over heated in 2 minute! We had to return it and had to pay bubble rap to sent it back to Amazon. Good luck if you want to order this through online.,8/22/2015
US,44761264,R1D72NF092PCWS,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,0,N,Five Stars,Nice quality.,8/21/2015
US,46858877,RGVZGNOFRC020,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,Beauty,4,0,0,N,Four Stars,It works great and I haven't had any issues at all.,8/21/2015
US,42317249,R1506FPZA7NAQR,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",Beauty,2,0,0,N,Two Stars,I only had the blow dryer for less than 3 months and the heating element went.,8/21/2015
US,24988312,R187LAPCJM7V4J,B007ROD3AG,614083399,"salon sundry professional bonnet style hood 1,000 watt salon hair dryer - multiple colors available",Beauty,1,2,2,N,I purchased the dryer about 9 month ago. It ...,I purchased the dryer about 9 month ago. It is alway stay at my home in one place. I occasionally used it and never moved it. Now it can not stand anymore. The plastic base and 3 legs are broken. I called the customer service and they said the warranty only for 60 days.,8/21/2015
US,14698506,R36VT59GYKQGCS,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,0,2,N,Five Stars,works great ! love it!,8/21/2015
US,44860250,R2MZ0FT53TI9TL,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",Beauty,5,0,0,N,Five Stars,This thing is still going almost a year later,8/21/2015
